Ticker,Date/Time,Open,High,Low,Close,Volume
ADS,6/30/2016 00:00:00,5.69935,6.07376,5.40814,6.07376,14000
ADS,7/1/2016 00:00:00,6.07376,6.48977,6.07376,6.48977,10650
ADS,7/4/2016 00:00:00,6.78098,6.78098,6.07376,6.07376,14350
ADS,7/5/2016 00:00:00,5.82415,6.07376,5.65775,5.65775,19760
ADS,7/6/2016 00:00:00,5.40814,5.61615,5.28334,5.28334,23650
ADS,7/7/2016 00:00:00,4.99213,5.40814,4.95053,5.40814,4650
ADS,7/8/2016 00:00:00,5.28334,5.49134,5.07533,5.20014,1100
ADS,7/11/2016 00:00:00,4.90893,5.44974,4.90893,5.03373,1640
ADS,7/12/2016 00:00:00,5.24174,5.36654,5.24174,5.36654,16540
ADS,7/13/2016 00:00:00,5.57455,5.69935,5.57455,5.69935,13590
ADS,7/14/2016 00:00:00,5.74095,5.74095,5.69935,5.74095,10960
ADS,7/15/2016 00:00:00,5.74095,5.82415,5.74095,5.82415,5350
ADS,7/18/2016 00:00:00,5.82415,5.86575,5.78255,5.82415,9880
ADS,7/19/2016 00:00:00,5.82415,5.86575,5.82415,5.86575,19900
ADS,7/20/2016 00:00:00,5.82415,5.86575,5.53294,5.82415,9500
ADS,7/21/2016 00:00:00,5.82415,5.82415,5.49134,5.49134,4910
ADS,7/22/2016 00:00:00,5.40814,5.40814,5.40814,5.40814,4110
ADS,7/25/2016 00:00:00,5.40814,5.74095,5.40814,5.69935,6610
ADS,7/26/2016 00:00:00,5.53294,5.82415,5.53294,5.69935,31050
ADS,7/27/2016 00:00:00,5.69935,5.78255,5.69935,5.78255,3320
ADS,7/28/2016 00:00:00,5.69935,5.86575,5.69935,5.86575,28500
ADS,7/29/2016 00:00:00,5.69935,5.82415,5.69935,5.78255,18620
ADS,8/1/2016 00:00:00,5.74095,5.74095,5.74095,5.74095,1000
ADS,8/2/2016 00:00:00,5.74095,5.82415,5.40814,5.82415,11800
ADS,8/4/2016 00:00:00,5.61615,5.82415,5.57455,5.69935,24100
ADS,8/5/2016 00:00:00,5.69935,5.86575,5.69935,5.86575,11530
ADS,8/8/2016 00:00:00,5.82415,5.82415,5.82415,5.82415,7000
ADS,8/9/2016 00:00:00,5.82415,6.03216,5.82415,5.82415,20190
ADS,8/10/2016 00:00:00,5.82415,5.82415,5.69935,5.82415,9500
ADS,8/11/2016 00:00:00,5.82415,5.82415,5.69935,5.69935,520
ADS,8/12/2016 00:00:00,5.69935,5.78255,5.69935,5.78255,4510
ADS,8/15/2016 00:00:00,5.78255,5.78255,5.78255,5.78255,1020
ADS,8/16/2016 00:00:00,5.78255,5.78255,5.69935,5.78255,2040
ADS,8/17/2016 00:00:00,5.78255,5.78255,5.69935,5.78255,5980
ADS,8/18/2016 00:00:00,5.78255,5.78255,5.78255,5.78255,2000
ADS,8/19/2016 00:00:00,5.74095,6.07376,5.74095,6.07376,39360
ADS,8/22/2016 00:00:00,5.90735,5.99056,5.90735,5.99056,110
ADS,8/23/2016 00:00:00,5.94896,5.99056,5.82415,5.99056,12060
ADS,8/24/2016 00:00:00,5.69935,6.03216,5.69935,6.03216,28410
ADS,8/25/2016 00:00:00,6.03216,6.03216,5.90735,5.94896,40170
ADS,8/26/2016 00:00:00,5.99056,6.11536,5.99056,6.03216,72400
ADS,8/29/2016 00:00:00,6.11536,6.24016,6.03216,6.15696,59390
ADS,8/30/2016 00:00:00,6.03216,6.15696,5.90735,6.11536,49980
ADS,8/31/2016 00:00:00,6.03216,6.24016,5.94896,6.24016,62120
ADS,9/1/2016 00:00:00,6.15696,6.44817,6.15696,6.44817,121450
