Ticker,Date/Time,Open,High,Low,Close,Volume
BEL,7/27/2016 00:00:00,4.81021,4.81021,4.81021,4.81021,500
BEL,8/1/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,1000
BEL,8/2/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,2000
BEL,8/4/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,1500
BEL,8/29/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,28000
BEL,9/9/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,15000
BEL,9/15/2016 00:00:00,4.5614,4.97608,4.22967,4.3126,3500
BEL,9/16/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,13400
BEL,9/20/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,1000
BEL,9/21/2016 00:00:00,4.22967,5.05901,4.22967,5.05901,1100
BEL,9/22/2016 00:00:00,4.3126,4.3126,4.3126,4.3126,100
BEL,9/23/2016 00:00:00,4.89314,4.89314,3.98086,4.89314,1600
BEL,9/27/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,1000
BEL,9/28/2016 00:00:00,5.05901,5.05901,5.05901,5.05901,500
BEL,10/6/2016 00:00:00,4.47847,4.97608,4.47847,4.97608,2200
BEL,10/18/2016 00:00:00,4.5614,4.5614,4.5614,4.5614,100
BEL,10/21/2016 00:00:00,5.22488,5.22488,5.22488,5.22488,1000
BEL,11/7/2016 00:00:00,4.97608,4.97608,4.97608,4.97608,100
BEL,2/8/2017 00:00:00,6.88357,6.88357,6.88357,6.88357,100
BEL,3/2/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,3300
BEL,3/3/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,5000
BEL,3/6/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,8000
BEL,3/7/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,2700
BEL,3/13/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,8500
BEL,3/21/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,5000
BEL,3/22/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,1000
BEL,3/28/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,100
BEL,3/29/2017 00:00:00,5.88836,5.88836,5.88836,5.88836,300
BEL,6/4/2018 00:00:00,5.80542,5.80542,5.80542,5.80542,100
BEL,10/25/2018 00:00:00,7.46411,7.54705,7.46411,7.54705,1100
BEL,10/30/2018 00:00:00,8.54226,8.54226,8.54226,8.54226,1000
BEL,11/1/2018 00:00:00,9.78628,9.78628,9.70335,9.70335,300
BEL,12/19/2018 00:00:00,13.5183,13.5183,5.88836,12.4402,400
BEL,12/20/2018 00:00:00,13.0207,13.0207,13.0207,13.0207,100
BEL,4/22/2019 00:00:00,7.87879,7.87879,7.87879,7.87879,500
BEL,4/24/2019 00:00:00,6.7177,6.7177,6.7177,6.7177,500
BEL,5/2/2019 00:00:00,5.72249,5.72249,5.72249,5.72249,200
BEL,5/10/2019 00:00:00,4.89314,4.89314,4.89314,4.89314,100
BEL,5/16/2019 00:00:00,4.22967,4.22967,4.22967,4.22967,700
BEL,5/17/2019 00:00:00,3.64912,3.64912,3.64912,3.64912,100
BEL,5/20/2019 00:00:00,3.23445,3.23445,3.23445,3.23445,300
BEL,5/28/2019 00:00:00,2.81978,2.81978,2.81978,2.81978,2000
BEL,5/29/2019 00:00:00,2.4051,3.23445,2.4051,3.23445,3700
BEL,5/31/2019 00:00:00,2.4051,2.4051,2.4051,2.4051,100
BEL,6/4/2019 00:00:00,2.73684,2.73684,2.73684,2.73684,900
BEL,6/5/2019 00:00:00,2.73684,2.73684,2.73684,2.73684,100
BEL,6/11/2019 00:00:00,2.73684,2.73684,2.73684,2.73684,100
BEL,6/12/2019 00:00:00,2.73684,2.73684,2.73684,2.73684,200
BEL,6/17/2019 00:00:00,3.06858,3.06858,3.06858,3.06858,2300
BEL,6/18/2019 00:00:00,3.31738,3.48325,3.31738,3.48325,1000
BEL,6/19/2019 00:00:00,3.89793,3.89793,3.89793,3.89793,700
BEL,6/20/2019 00:00:00,4.47847,4.47847,4.47847,4.47847,200
BEL,6/21/2019 00:00:00,5.14195,5.14195,5.14195,5.14195,600
BEL,6/24/2019 00:00:00,5.88836,5.88836,5.88836,5.88836,6100
BEL,6/26/2019 00:00:00,5.88836,5.88836,5.88836,5.88836,100
BEL,6/28/2019 00:00:00,5.88836,5.88836,5.88836,5.88836,1200
BEL,7/1/2019 00:00:00,5.88836,6.7177,5.88836,6.30303,5400
BEL,7/2/2019 00:00:00,6.63477,7.13238,6.63477,7.13238,25300
BEL,7/3/2019 00:00:00,8.12759,8.12759,8.12759,8.12759,44100
BEL,7/4/2019 00:00:00,9.28868,9.28868,9.28868,9.28868,40400
BEL,7/5/2019 00:00:00,10.6156,10.6156,10.6156,10.6156,84600
BEL,7/8/2019 00:00:00,12.1914,12.1914,10.9474,10.9474,39000
BEL,7/9/2019 00:00:00,10.9474,11.5279,10.0351,10.0351,49400
BEL,7/10/2019 00:00:00,10.201,11.1962,10.201,10.3668,17000
BEL,7/11/2019 00:00:00,10.118,10.6156,10.0351,10.0351,9700
BEL,7/12/2019 00:00:00,10.0351,10.0351,8.54226,8.54226,18800
BEL,7/15/2019 00:00:00,8.54226,10.201,7.54705,9.12281,26100
BEL,7/16/2019 00:00:00,10.3668,10.8644,9.45455,10.8644,66500
BEL,7/17/2019 00:00:00,11.1962,11.6108,11.1962,11.445,56300
BEL,7/18/2019 00:00:00,11.5279,12.3573,11.445,11.5279,17800
BEL,7/19/2019 00:00:00,10.2839,11.6938,10.2839,11.6938,12100
BEL,7/22/2019 00:00:00,9.95215,11.362,9.95215,10.118,32800
BEL,7/23/2019 00:00:00,10.118,10.5327,9.95215,9.95215,10600
BEL,7/24/2019 00:00:00,11.0303,11.0303,10.7815,10.8644,2500
BEL,7/25/2019 00:00:00,9.53748,9.53748,9.53748,9.53748,3500
BEL,7/26/2019 00:00:00,10.201,10.201,10.201,10.201,600
