Ticker,Date/Time,Open,High,Low,Close,Volume
BLN,10/5/2016 00:00:00,9.10675,9.10675,9.10675,9.10675,300
BLN,10/28/2016 00:00:00,9.56209,9.56209,9.56209,9.56209,10300
BLN,1/19/2017 00:00:00,9.01569,9.01569,9.01569,9.01569,1000
BLN,11/14/2017 00:00:00,7.90034,7.90034,7.90034,7.90034,200
BLN,12/1/2017 00:00:00,6.785,6.785,6.785,6.785,100
BLN,9/11/2019 00:00:00,4.13,4.13,4.13,4.13,100
BLN,9/16/2019 00:00:00,3.54,3.54,3.54,3.54,100
BLN,9/20/2019 00:00:00,3.04833,3.04833,3.04833,3.04833,100
BLN,9/26/2019 00:00:00,2.655,2.655,2.655,2.655,100
BLN,10/2/2019 00:00:00,2.26167,2.26167,2.26167,2.26167,100
BLN,10/7/2019 00:00:00,1.96667,1.96667,1.96667,1.96667,100
BLN,11/27/2019 00:00:00,1.18,1.18,1.18,1.18,100
BLN,3/13/2020 00:00:00,1.18,1.18,1.18,1.18,100
BLN,7/21/2020 00:00:00,1.57333,1.57333,1.57333,1.57333,100
BLN,10/19/2020 00:00:00,1.57333,1.57333,1.57333,1.57333,100
BLN,5/12/2021 00:00:00,2.16333,2.16333,2.16333,2.16333,600
BLN,6/22/2021 00:00:00,2.95,2.95,2.95,2.95,100
BLN,6/23/2021 00:00:00,3.34333,3.34333,3.34333,3.34333,100
BLN,6/28/2021 00:00:00,3.835,3.835,3.835,3.835,100
BLN,6/29/2021 00:00:00,4.32667,4.32667,4.32667,4.32667,100
BLN,6/30/2021 00:00:00,4.91667,4.91667,4.91667,4.91667,100
BLN,7/1/2021 00:00:00,5.605,5.605,5.605,5.605,100
BLN,7/2/2021 00:00:00,6.39167,6.39167,6.39167,6.39167,200
BLN,7/7/2021 00:00:00,7.27667,7.27667,7.27667,7.27667,100
BLN,7/8/2021 00:00:00,8.35833,8.35833,8.35833,8.35833,400
BLN,7/9/2021 00:00:00,9.44,9.44,9.44,9.44,200
BLN,7/12/2021 00:00:00,10.8167,10.8167,9.44,10.8167,900
BLN,7/13/2021 00:00:00,10.8167,10.8167,10.8167,10.8167,100
BLN,7/14/2021 00:00:00,12.2917,12.2917,12.2917,12.2917,100
BLN,7/15/2021 00:00:00,12.2917,12.2917,12.2917,12.2917,100
BLN,7/16/2021 00:00:00,12.2917,12.2917,12.2917,12.2917,100
BLN,7/20/2021 00:00:00,12.2917,12.2917,12.2917,12.2917,100
BLN,7/21/2021 00:00:00,12.2917,12.2917,12.2917,12.2917,200
