Ticker,Date/Time,Open,High,Low,Close,Volume
BMN,5/23/2018 00:00:00,5,5,5,5,700
BMN,6/4/2021 00:00:00,7,7,7,7,100
BMN,6/7/2021 00:00:00,8,8,8,8,100
BMN,6/8/2021 00:00:00,9.2,9.2,9.2,9.2,100
BMN,6/9/2021 00:00:00,10.5,10.5,10.5,10.5,100
BMN,6/10/2021 00:00:00,12,12,12,12,300
BMN,6/11/2021 00:00:00,13.8,13.8,13.8,13.8,100
BMN,6/14/2021 00:00:00,15.8,15.8,15.8,15.8,200
BMN,8/2/2021 00:00:00,9.5,9.5,9.5,9.5,200
BMN,8/3/2021 00:00:00,9.5,9.5,9.5,9.5,100
BMN,8/18/2021 00:00:00,9.5,9.5,9.5,9.5,100
BMN,8/27/2021 00:00:00,8.1,8.5,8.1,8.5,300
BMN,8/31/2021 00:00:00,8.4,8.4,8.4,8.4,100
BMN,10/20/2021 00:00:00,11.7,11.7,11.7,11.7,300
BMN,10/21/2021 00:00:00,13.4,13.4,13.4,13.4,100
BMN,11/9/2021 00:00:00,11.5,11.5,11.5,11.5,200
BMN,11/19/2021 00:00:00,13.2,13.2,13.2,13.2,200
BMN,1/7/2022 00:00:00,11.6,11.6,11.6,11.6,400
BMN,1/18/2022 00:00:00,13.2,13.2,13.2,13.2,400
BMN,1/21/2022 00:00:00,15.1,15.1,15.1,15.1,100
BMN,1/24/2022 00:00:00,17.3,17.3,17.3,17.3,100
BMN,1/25/2022 00:00:00,19.8,19.8,19.8,19.8,100
BMN,1/26/2022 00:00:00,22.7,22.7,22.7,22.7,100
BMN,1/27/2022 00:00:00,26.1,26.1,26.1,26.1,100
BMN,2/8/2022 00:00:00,30,30,30,30,100
BMN,2/9/2022 00:00:00,34.5,34.5,34.5,34.5,300
BMN,2/15/2022 00:00:00,39.6,39.6,39.6,39.6,300
BMN,2/16/2022 00:00:00,34,34,34,34,200
BMN,3/9/2022 00:00:00,28.9,28.9,28.9,28.9,300
BMN,3/22/2022 00:00:00,24.6,24.6,24.6,24.6,100
BMN,4/5/2022 00:00:00,21,21,21,21,200
