Ticker,Date/Time,Open,High,Low,Close,Volume
BSD,5/3/2017 00:00:00,28.5342,28.5342,28.5342,28.5342,100
BSD,5/22/2017 00:00:00,28.8953,28.8953,28.8953,28.8953,100
BSD,6/7/2017 00:00:00,28.8953,28.8953,28.8953,28.8953,100
BSD,6/20/2017 00:00:00,31.0625,31.0625,31.0625,31.0625,100
BSD,10/6/2017 00:00:00,31.0625,31.0625,31.0625,31.0625,500
BSD,8/13/2020 00:00:00,26.25,26.25,26.25,26.25,200
BSD,8/26/2020 00:00:00,26.25,26.25,26.25,26.25,200
BSD,1/21/2021 00:00:00,25.7639,25.7639,25.7639,25.7639,200
BSD,4/7/2021 00:00:00,35,35,35,35,100
BSD,5/17/2021 00:00:00,35,35,35,35,100
BSD,9/9/2021 00:00:00,37,37,37,37,100
BSD,11/16/2021 00:00:00,32,32,32,32,100
BSD,12/7/2021 00:00:00,30,30,30,30,200
BSD,12/8/2021 00:00:00,28,28,28,28,300
BSD,12/13/2021 00:00:00,26,26,26,26,4500
BSD,12/14/2021 00:00:00,26,26,26,26,5000
BSD,12/21/2021 00:00:00,25.5,25.5,25.5,25.5,16900
BSD,12/22/2021 00:00:00,25.5,25.5,24.5,24.5,6100
BSD,12/24/2021 00:00:00,25,25,25,25,300
BSD,1/21/2022 00:00:00,25,25,25,25,100
BSD,1/24/2022 00:00:00,28.6,28.7,28.6,28.7,3000
BSD,2/9/2022 00:00:00,33,33,33,33,400
BSD,2/15/2022 00:00:00,31,31,31,31,100
BSD,3/1/2022 00:00:00,30,30,30,30,100
