Ticker,Date/Time,Open,High,Low,Close,Volume
CI5,9/28/2012 00:00:00,2.94284,2.94284,2.94284,2.94284,110900
CI5,12/20/2013 00:00:00,3.67855,3.67855,3.67855,3.67855,5800
CI5,2/12/2014 00:00:00,3.71534,3.71534,3.71534,3.71534,20000
CI5,4/8/2014 00:00:00,5.18676,5.18676,5.18676,5.18676,600
CI5,4/14/2014 00:00:00,4.78212,4.78212,4.78212,4.78212,2000
CI5,5/23/2014 00:00:00,5.26033,5.26033,5.26033,5.26033,100
CI5,5/26/2014 00:00:00,5.77533,5.77533,5.77533,5.77533,1900
CI5,5/29/2014 00:00:00,6.17997,6.17997,6.17997,6.17997,500
CI5,7/7/2014 00:00:00,8.64361,8.64361,8.64361,8.64361,500
CI5,7/9/2014 00:00:00,9.47874,9.47874,9.47874,9.47874,100
CI5,7/11/2014 00:00:00,10.3974,10.3974,10.3974,10.3974,300
CI5,7/18/2014 00:00:00,11.3995,11.3995,11.3995,11.3995,100
CI5,8/6/2014 00:00:00,12.4852,12.4852,12.4852,12.4852,500
CI5,9/3/2014 00:00:00,13.6961,13.6961,13.6961,13.6961,100
CI5,9/5/2014 00:00:00,15.0324,15.0324,15.0324,15.0324,100
CI5,9/8/2014 00:00:00,16.5356,16.5356,16.5356,16.5356,100
CI5,9/19/2014 00:00:00,18.1641,18.1641,18.1641,18.1641,100
CI5,10/2/2014 00:00:00,16.3686,16.3686,16.3686,16.3686,100
CI5,10/6/2014 00:00:00,14.7401,14.7401,14.7401,14.7401,100
CI5,10/10/2014 00:00:00,13.3203,13.3203,13.3203,13.3203,100
CI5,10/13/2014 00:00:00,12.0676,12.0676,12.0676,12.0676,100
CI5,10/15/2014 00:00:00,11.0655,11.0655,11.0655,11.0655,100
CI5,10/17/2014 00:00:00,9.97981,9.97981,9.97981,9.97981,100
CI5,10/22/2014 00:00:00,9.06117,9.06117,9.06117,9.06117,100
CI5,10/23/2014 00:00:00,8.18428,8.18428,8.18428,8.18428,100
CI5,10/24/2014 00:00:00,7.47442,7.47442,7.47442,7.47442,100
CI5,10/28/2014 00:00:00,6.76456,6.76456,6.76456,6.76456,100
CI5,10/29/2014 00:00:00,6.13821,6.13821,6.13821,6.13821,100
CI5,11/3/2014 00:00:00,5.59538,6.7228,5.59538,6.7228,2200
CI5,11/5/2014 00:00:00,6.01294,6.01294,6.01294,6.01294,100
CI5,11/7/2014 00:00:00,5.42835,5.42835,5.42835,5.42835,200
CI5,11/27/2014 00:00:00,5.97119,5.97119,5.97119,5.97119,500
CI5,12/23/2014 00:00:00,6.55578,6.55578,6.55578,6.55578,100
CI5,12/31/2014 00:00:00,7.18213,7.18213,7.18213,7.18213,100
CI5,2/3/2015 00:00:00,7.76672,7.76672,7.76672,7.76672,1000
CI5,2/4/2015 00:00:00,7.09861,7.09861,7.09861,7.09861,1500
CI5,2/10/2015 00:00:00,6.68105,6.68105,6.68105,6.68105,100
