Ticker,Date/Time,Open,High,Low,Close,Volume
CKV,3/12/2010 00:00:00,9.02433,9.02433,9.02433,9.02433,63900
CKV,3/15/2010 00:00:00,9.65289,9.65289,9.65289,9.65289,14500
CKV,3/16/2010 00:00:00,10.3263,10.3263,10.3263,10.3263,47200
CKV,3/17/2010 00:00:00,11.0447,11.0447,10.3263,11.0447,259300
CKV,3/18/2010 00:00:00,10.9549,11.5835,10.2815,10.3712,135800
CKV,3/19/2010 00:00:00,9.78758,10.461,9.78758,10.3263,71300
CKV,3/22/2010 00:00:00,10.5508,10.5957,10.1019,10.5508,46300
CKV,3/23/2010 00:00:00,10.7753,10.7753,9.74269,9.83248,29100
CKV,3/24/2010 00:00:00,9.83248,9.83248,9.24882,9.33861,33000
CKV,3/25/2010 00:00:00,9.20392,9.29371,8.93454,8.97943,27400
CKV,3/26/2010 00:00:00,8.97943,8.97943,8.48557,8.84474,73700
CKV,3/29/2010 00:00:00,8.97943,9.24882,8.79985,9.20392,17800
CKV,3/30/2010 00:00:00,8.97943,8.97943,8.39577,8.39577,56300
CKV,3/31/2010 00:00:00,8.08149,8.30598,7.9468,7.9468,29600
CKV,4/1/2010 00:00:00,8.08149,8.39577,8.08149,8.39577,4200
CKV,4/2/2010 00:00:00,8.53046,8.53046,8.17128,8.30598,8400
CKV,4/5/2010 00:00:00,8.53046,8.53046,8.03659,8.12639,14900
CKV,4/6/2010 00:00:00,8.30598,8.35087,7.9468,8.03659,41100
CKV,4/7/2010 00:00:00,7.9468,8.17128,7.9468,8.17128,30300
CKV,4/8/2010 00:00:00,8.44067,8.62026,8.17128,8.62026,49100
CKV,4/9/2010 00:00:00,9.02433,9.06923,8.75495,8.97943,66600
CKV,4/12/2010 00:00:00,9.42841,9.42841,8.53046,8.62026,33300
CKV,4/13/2010 00:00:00,9.15902,9.15902,8.12639,8.30598,36700
CKV,4/14/2010 00:00:00,8.53046,8.53046,7.9917,8.08149,20800
CKV,4/15/2010 00:00:00,8.21618,8.30598,8.12639,8.26108,20200
CKV,4/16/2010 00:00:00,8.53046,8.75495,8.48557,8.75495,44700
CKV,4/19/2010 00:00:00,8.75495,9.20392,8.75495,8.97943,88600
CKV,4/20/2010 00:00:00,8.97943,9.06923,8.88964,9.06923,76600
CKV,4/21/2010 00:00:00,9.20392,9.60799,9.20392,9.60799,65400
CKV,4/22/2010 00:00:00,10.2366,10.2366,8.97943,9.11413,61400
CKV,4/26/2010 00:00:00,8.71005,8.75495,8.71005,8.71005,12200
CKV,4/27/2010 00:00:00,8.97943,8.97943,8.12639,8.79985,31900
CKV,4/28/2010 00:00:00,8.35087,8.71005,8.30598,8.53046,28000
CKV,4/29/2010 00:00:00,8.48557,8.79985,8.35087,8.62026,68500
CKV,5/4/2010 00:00:00,9.06923,9.15902,9.06923,9.15902,104500
CKV,5/5/2010 00:00:00,9.78758,9.78758,9.78758,9.78758,104300
CKV,5/6/2010 00:00:00,10.461,10.461,10.461,10.461,49500
CKV,5/7/2010 00:00:00,11.1794,11.1794,10.3712,11.1794,468500
CKV,5/10/2010 00:00:00,10.3712,11.1345,10.3712,10.3712,16600
CKV,5/11/2010 00:00:00,10.7753,10.7753,9.74269,9.74269,6000
CKV,5/12/2010 00:00:00,9.11413,9.11413,9.11413,9.11413,15700
CKV,5/13/2010 00:00:00,8.53046,8.88964,8.48557,8.53046,59500
CKV,5/14/2010 00:00:00,8.75495,9.11413,8.75495,9.11413,42900
CKV,5/17/2010 00:00:00,9.65289,9.65289,8.44067,8.75495,18700
CKV,5/18/2010 00:00:00,8.48557,8.53046,8.35087,8.53046,28700
CKV,5/19/2010 00:00:00,8.35087,8.35087,7.81211,7.81211,68300
CKV,5/20/2010 00:00:00,7.9917,8.17128,7.54272,8.08149,48900
CKV,5/21/2010 00:00:00,7.31824,7.63252,7.31824,7.31824,38800
CKV,5/24/2010 00:00:00,7.40803,7.72231,7.40803,7.58762,8900
CKV,5/25/2010 00:00:00,8.03659,8.03659,7.63252,7.67742,7400
CKV,5/26/2010 00:00:00,7.857,8.17128,7.63252,8.08149,22600
CKV,5/27/2010 00:00:00,8.26108,8.26108,7.9917,8.03659,11100
CKV,5/28/2010 00:00:00,8.44067,8.62026,8.30598,8.57536,33900
CKV,5/31/2010 00:00:00,8.71005,9.06923,8.71005,8.88964,48500
CKV,6/1/2010 00:00:00,8.53046,8.53046,8.35087,8.48557,22100
CKV,6/2/2010 00:00:00,8.35087,8.35087,8.21618,8.21618,27500
CKV,6/3/2010 00:00:00,8.7774,8.7774,8.26108,8.26108,6100
CKV,6/4/2010 00:00:00,8.44883,8.44883,7.93251,8.40189,14600
CKV,6/7/2010 00:00:00,8.82434,8.82434,7.97945,7.97945,13200
CKV,6/8/2010 00:00:00,8.30802,8.30802,7.74476,7.93251,70600
CKV,6/9/2010 00:00:00,8.35496,8.35496,8.1672,8.21414,25900
CKV,6/10/2010 00:00:00,8.35496,8.35496,8.07333,8.12027,5900
CKV,6/11/2010 00:00:00,8.21414,8.40189,8.21414,8.21414,10500
CKV,6/14/2010 00:00:00,8.35496,8.63658,8.26108,8.63658,70200
CKV,6/15/2010 00:00:00,8.63658,8.87127,8.44883,8.68352,47600
CKV,6/16/2010 00:00:00,8.7774,8.7774,8.40189,8.44883,14600
CKV,6/17/2010 00:00:00,8.54271,8.54271,8.30802,8.35496,21600
CKV,6/18/2010 00:00:00,8.58965,8.91821,8.30802,8.73046,45400
CKV,6/21/2010 00:00:00,8.82434,8.87127,8.63658,8.82434,33600
CKV,6/22/2010 00:00:00,8.87127,8.87127,8.26108,8.44883,9000
CKV,6/23/2010 00:00:00,8.35496,8.54271,8.30802,8.44883,24000
CKV,6/24/2010 00:00:00,8.44883,8.96515,8.44883,8.96515,190200
CKV,6/25/2010 00:00:00,9.48147,9.48147,8.87127,9.48147,152000
CKV,6/28/2010 00:00:00,9.85697,9.85697,9.43453,9.76309,44800
CKV,6/29/2010 00:00:00,9.95085,9.95085,9.19984,9.19984,26900
CKV,6/30/2010 00:00:00,8.73046,8.91821,8.63658,8.91821,35800
CKV,7/1/2010 00:00:00,8.44883,8.87127,8.44883,8.87127,38300
CKV,7/2/2010 00:00:00,8.91821,9.1529,8.91821,9.1529,49600
CKV,7/5/2010 00:00:00,9.48147,9.62228,8.91821,8.96515,31400
CKV,7/6/2010 00:00:00,9.38759,9.38759,8.68352,8.87127,37900
CKV,7/7/2010 00:00:00,9.29371,9.34065,8.63658,8.68352,45700
CKV,7/8/2010 00:00:00,9.29371,9.29371,8.58965,8.68352,26800
CKV,7/9/2010 00:00:00,9.19984,9.24678,8.58965,8.7774,41100
CKV,7/12/2010 00:00:00,8.73046,8.7774,8.73046,8.73046,8100
CKV,7/13/2010 00:00:00,8.91821,8.91821,8.49577,8.87127,13400
CKV,7/14/2010 00:00:00,8.91821,8.91821,8.73046,8.73046,11300
CKV,7/15/2010 00:00:00,8.35496,8.82434,8.35496,8.63658,23100
CKV,7/16/2010 00:00:00,8.7774,9.10596,8.7774,9.10596,84100
CKV,7/19/2010 00:00:00,9.38759,9.71616,9.24678,9.71616,160500
CKV,7/20/2010 00:00:00,10.0917,10.2325,9.85697,9.99778,92700
CKV,7/21/2010 00:00:00,10.3263,10.561,9.48147,9.62228,40700
CKV,7/22/2010 00:00:00,9.1529,9.38759,9.05902,9.1529,36800
CKV,7/23/2010 00:00:00,9.29371,9.29371,9.01209,9.1529,23100
CKV,7/26/2010 00:00:00,9.05902,9.1529,8.68352,8.68352,65900
CKV,7/27/2010 00:00:00,8.91821,8.91821,8.58965,8.73046,19800
CKV,7/28/2010 00:00:00,8.82434,8.82434,8.49577,8.54271,36100
CKV,7/29/2010 00:00:00,8.68352,8.96515,8.58965,8.87127,11800
CKV,7/30/2010 00:00:00,8.7774,8.91821,8.7774,8.87127,21500
CKV,8/2/2010 00:00:00,8.82434,8.87127,8.58965,8.58965,13500
CKV,8/3/2010 00:00:00,8.63658,8.63658,8.49577,8.63658,30900
CKV,8/4/2010 00:00:00,8.26108,8.54271,8.26108,8.54271,11100
CKV,8/5/2010 00:00:00,8.54271,8.54271,8.40189,8.40189,25000
CKV,8/6/2010 00:00:00,8.68352,8.68352,8.35496,8.35496,14800
CKV,8/9/2010 00:00:00,8.1672,8.1672,7.83864,7.83864,39600
CKV,8/10/2010 00:00:00,7.74476,8.44883,7.51007,8.44883,25100
CKV,8/11/2010 00:00:00,8.02639,8.02639,7.7917,7.97945,20500
CKV,8/12/2010 00:00:00,7.93251,7.93251,7.4162,7.4162,18500
CKV,8/13/2010 00:00:00,7.46313,7.51007,7.04069,7.36926,19500
CKV,8/16/2010 00:00:00,7.51007,7.74476,7.51007,7.74476,24400
CKV,8/17/2010 00:00:00,7.97945,7.97945,7.55701,7.55701,3700
CKV,8/18/2010 00:00:00,7.55701,7.55701,7.4162,7.4162,5500
CKV,8/19/2010 00:00:00,7.83864,7.83864,7.51007,7.51007,8600
CKV,8/20/2010 00:00:00,7.32232,7.51007,7.32232,7.51007,9200
CKV,8/23/2010 00:00:00,7.36926,7.51007,7.04069,7.51007,3400
CKV,8/24/2010 00:00:00,7.18151,7.18151,6.89988,6.89988,29300
CKV,8/25/2010 00:00:00,6.57131,6.57131,6.4305,6.4305,34600
CKV,8/26/2010 00:00:00,6.47744,6.806,6.47744,6.57131,2600
