Ticker,Date/Time,Open,High,Low,Close,Volume
DRG,12/11/2019 00:00:00,17.7,17.7,17.7,17.7,100
DRG,12/12/2019 00:00:00,20.3,20.3,20,20,2400
DRG,12/13/2019 00:00:00,17.3,18,17.3,18,1400
DRG,12/19/2019 00:00:00,15,15,15,15,200
DRG,12/20/2019 00:00:00,13,14.5,13,14.5,800
DRG,12/27/2019 00:00:00,12,12,12,12,100
DRG,1/3/2020 00:00:00,10.2,10.2,10.2,10.2,200
DRG,1/8/2020 00:00:00,8.7,8.7,8.7,8.7,200
DRG,1/9/2020 00:00:00,7.4,7.4,7.4,7.4,200
DRG,1/10/2020 00:00:00,6.3,6.3,6.3,6.3,100
DRG,1/13/2020 00:00:00,5.4,5.4,5.4,5.4,500
DRG,1/14/2020 00:00:00,4.6,4.6,4.6,4.6,500
DRG,1/20/2020 00:00:00,5.2,5.2,5.2,5.2,100
DRG,1/21/2020 00:00:00,5.9,5.9,5.9,5.9,100
DRG,1/22/2020 00:00:00,6.7,6.7,6.7,6.7,200
DRG,1/30/2020 00:00:00,7.7,7.7,7.7,7.7,200
DRG,1/31/2020 00:00:00,8.8,8.8,8.8,8.8,200
DRG,2/3/2020 00:00:00,10.1,10.1,10.1,10.1,100
DRG,2/7/2020 00:00:00,8.6,8.6,8.6,8.6,100
DRG,2/10/2020 00:00:00,7.4,7.4,7.4,7.4,300
DRG,2/27/2020 00:00:00,8.5,8.5,8.5,8.5,100
DRG,3/18/2020 00:00:00,7.3,7.3,7.3,7.3,200
DRG,4/8/2020 00:00:00,8.1,8.1,8.1,8.1,100
DRG,4/16/2020 00:00:00,6.9,6.9,6.9,6.9,200
DRG,4/21/2020 00:00:00,7.5,7.5,7.5,7.5,100
DRG,4/24/2020 00:00:00,8.6,8.6,8.6,8.6,100
DRG,5/6/2020 00:00:00,7.4,7.4,7.4,7.4,100
DRG,5/7/2020 00:00:00,6.3,6.3,6.3,6.3,100
DRG,5/11/2020 00:00:00,5.5,5.5,5.4,5.5,1500
DRG,5/12/2020 00:00:00,4.8,4.8,4.8,4.8,100
DRG,5/14/2020 00:00:00,4.2,4.2,4.2,4.2,100
DRG,5/18/2020 00:00:00,3.7,3.7,3.7,3.7,100
DRG,5/19/2020 00:00:00,3.3,3.3,3.3,3.3,100
DRG,5/26/2020 00:00:00,3.5,3.5,3.5,3.5,100
DRG,5/27/2020 00:00:00,4,4,4,4,100
DRG,5/28/2020 00:00:00,4.6,4.6,4.6,4.6,100
DRG,5/29/2020 00:00:00,5.2,5.2,4.8,4.8,2000
DRG,6/1/2020 00:00:00,5.1,5.2,5.1,5.2,200
DRG,6/3/2020 00:00:00,5.9,5.9,5.9,5.9,300
DRG,6/4/2020 00:00:00,6.7,6.7,6.7,6.7,300
DRG,6/5/2020 00:00:00,7.7,7.7,7.7,7.7,200
DRG,6/8/2020 00:00:00,8.8,8.8,8.7,8.7,1200
DRG,6/9/2020 00:00:00,10,10,9.2,10,400
DRG,7/14/2020 00:00:00,9,9.6,9,9.6,1700
DRG,8/18/2020 00:00:00,8.1,10.9,8.1,10.9,800
DRG,8/21/2020 00:00:00,8.8,8.8,8.8,8.8,100
DRG,10/8/2020 00:00:00,12.3,12.3,12.3,12.3,100
DRG,10/27/2020 00:00:00,12.3,12.3,12.3,12.3,2000
DRG,12/25/2020 00:00:00,12.2,12.2,12.2,12.2,100
DRG,1/6/2021 00:00:00,11,11,11,11,100
DRG,1/8/2021 00:00:00,9.4,9.4,9.4,9.4,2100
DRG,1/13/2021 00:00:00,8.1,8.1,8.1,8.1,800
DRG,1/15/2021 00:00:00,9,9,9,9,100
DRG,2/8/2021 00:00:00,9.1,9.1,9.1,9.1,100
DRG,3/5/2021 00:00:00,8,8,8,8,100
DRG,3/10/2021 00:00:00,8,8,8,8,1100
DRG,4/15/2021 00:00:00,7,7,7,7,100
DRG,4/28/2021 00:00:00,8,8,8,8,100
DRG,5/4/2021 00:00:00,9.2,9.2,9.2,9.2,1100
DRG,5/5/2021 00:00:00,10.5,10.5,10.5,10.5,2200
DRG,5/6/2021 00:00:00,12,12,12,12,1000
DRG,5/7/2021 00:00:00,13.8,13.8,13.8,13.8,1300
DRG,5/10/2021 00:00:00,15.8,15.8,15.8,15.8,1300
DRG,5/11/2021 00:00:00,18.1,18.1,18.1,18.1,3000
DRG,5/12/2021 00:00:00,20.8,20.8,20.8,20.8,5300
DRG,5/13/2021 00:00:00,23.8,23.9,23.5,23.9,9200
DRG,5/14/2021 00:00:00,23.9,23.9,20.4,20.4,1300
DRG,5/17/2021 00:00:00,20.7,20.7,20.7,20.7,100
DRG,5/18/2021 00:00:00,17.6,17.6,17.6,17.6,700
DRG,5/19/2021 00:00:00,20,20,15.1,20,700
DRG,5/20/2021 00:00:00,18,18,15.3,15.3,700
DRG,5/21/2021 00:00:00,15,15,14.1,14.1,600
DRG,5/24/2021 00:00:00,12.2,12.2,12.2,12.2,4000
DRG,5/25/2021 00:00:00,14,14,14,14,100
DRG,5/26/2021 00:00:00,15,16.1,15,16.1,2500
DRG,5/27/2021 00:00:00,17.7,17.7,17.6,17.7,500
DRG,5/28/2021 00:00:00,20.2,20.3,20.2,20.3,1500
DRG,5/31/2021 00:00:00,20.3,23.3,20.3,23,4100
DRG,6/1/2021 00:00:00,19.6,25,19.6,19.6,1800
DRG,6/2/2021 00:00:00,21.6,21.6,18.4,18.4,3100
DRG,6/3/2021 00:00:00,18.3,21.5,18.3,21.5,3900
DRG,6/4/2021 00:00:00,16.1,21.5,16.1,21.4,2100
DRG,6/7/2021 00:00:00,15.6,15.6,15.5,15.5,3000
DRG,6/8/2021 00:00:00,15.6,17.7,15.5,17.7,900
DRG,6/9/2021 00:00:00,16,16,15,15.3,1200
DRG,6/11/2021 00:00:00,15.4,15.4,15.4,15.4,1900
DRG,6/15/2021 00:00:00,15.4,15.4,15.4,15.4,300
DRG,6/16/2021 00:00:00,15.5,15.5,15.5,15.5,100
DRG,6/18/2021 00:00:00,15.5,15.5,15.5,15.5,100
DRG,6/23/2021 00:00:00,15.4,15.4,15.4,15.4,100
DRG,6/24/2021 00:00:00,15.1,15.1,15.1,15.1,200
DRG,6/25/2021 00:00:00,14.1,14.1,14.1,14.1,500
DRG,6/28/2021 00:00:00,14.1,14.1,14.1,14.1,200
DRG,6/29/2021 00:00:00,13.3,15,13.3,15,200
DRG,6/30/2021 00:00:00,15,15,15,15,500
