Ticker,Date/Time,Open,High,Low,Close,Volume
EVF,8/8/2018 00:00:00,7.4057,8.93791,7.4057,8.08668,452300
EVF,8/9/2018 00:00:00,8.42717,8.59742,7.32057,8.42717,256600
EVF,8/10/2018 00:00:00,7.91643,8.42717,7.4057,7.49082,213400
EVF,8/13/2018 00:00:00,8.08668,8.42717,7.23545,8.42717,608000
EVF,8/14/2018 00:00:00,8.1718,8.25693,7.32057,7.66107,215300
EVF,8/15/2018 00:00:00,8.00156,8.08668,7.32057,7.57594,309900
EVF,8/16/2018 00:00:00,7.66107,8.00156,7.49082,7.66107,254300
EVF,8/17/2018 00:00:00,7.66107,8.00156,7.49082,7.74619,232500
EVF,8/20/2018 00:00:00,7.83131,7.91643,7.57594,7.57594,312500
EVF,8/21/2018 00:00:00,7.83131,7.91643,7.32057,7.57594,286400
EVF,8/22/2018 00:00:00,7.49082,7.74619,7.23545,7.49082,414700
EVF,8/23/2018 00:00:00,7.66107,7.83131,7.4057,7.49082,170300
EVF,8/24/2018 00:00:00,7.66107,8.85279,7.66107,7.83131,680200
EVF,8/27/2018 00:00:00,7.83131,8.68254,7.66107,7.66107,403400
EVF,8/28/2018 00:00:00,8.00156,8.1718,7.49082,7.66107,280400
EVF,8/29/2018 00:00:00,7.57594,7.66107,7.49082,7.49082,68300
EVF,8/30/2018 00:00:00,7.49082,7.66107,7.4057,7.66107,91900
EVF,8/31/2018 00:00:00,7.4057,7.83131,7.4057,7.49082,181300
EVF,9/4/2018 00:00:00,7.49082,7.49082,7.23545,7.49082,60400
EVF,9/5/2018 00:00:00,7.49082,7.57594,7.0652,7.32057,168700
EVF,9/6/2018 00:00:00,6.98008,7.4057,6.98008,7.15033,185500
EVF,9/7/2018 00:00:00,7.23545,7.23545,6.89496,7.0652,163800
EVF,9/10/2018 00:00:00,7.0652,7.0652,6.72471,6.80984,185500
EVF,9/11/2018 00:00:00,6.72471,7.4057,6.38422,7.4057,370100
EVF,9/12/2018 00:00:00,6.89496,7.15033,6.72471,6.80984,176200
EVF,9/13/2018 00:00:00,6.89496,6.98008,6.80984,6.89496,197900
EVF,9/14/2018 00:00:00,6.98008,7.32057,6.80984,7.0652,181000
EVF,9/17/2018 00:00:00,7.23545,7.23545,6.89496,6.98008,151500
EVF,9/18/2018 00:00:00,6.98008,6.98008,6.80984,6.89496,134900
EVF,9/19/2018 00:00:00,6.80984,6.89496,6.72471,6.80984,196300
EVF,9/20/2018 00:00:00,6.80984,6.80984,6.72471,6.80984,193400
EVF,9/21/2018 00:00:00,6.89496,7.4057,6.80984,7.0652,359800
EVF,9/24/2018 00:00:00,7.23545,7.66107,6.98008,7.0652,248300
EVF,9/25/2018 00:00:00,7.23545,8.1718,7.23545,7.57594,493000
EVF,9/26/2018 00:00:00,7.91643,8.08668,7.4057,7.66107,435300
EVF,9/27/2018 00:00:00,8.00156,8.51229,7.66107,8.00156,728200
EVF,9/28/2018 00:00:00,8.08668,8.51229,7.91643,8.08668,803400
EVF,10/1/2018 00:00:00,8.08668,8.08668,7.49082,7.49082,39900
EVF,10/2/2018 00:00:00,7.32057,7.49082,6.80984,7.32057,24800
