Ticker,Date/Time,Open,High,Low,Close,Volume
FUEKIV30,1/7/2022 00:00:00,12.14,12.14,10.06,10.15,3.2183e+006
FUEKIV30,1/10/2022 00:00:00,10.25,10.35,10.02,10.03,288200
FUEKIV30,1/11/2022 00:00:00,10.73,10.73,9.86,9.99,291900
FUEKIV30,1/12/2022 00:00:00,9.95,10.04,9.78,10.04,171500
FUEKIV30,1/13/2022 00:00:00,10.12,10.74,10,10.1,152500
FUEKIV30,1/14/2022 00:00:00,10,10.12,9.96,10.03,152700
FUEKIV30,1/17/2022 00:00:00,10.02,10.02,9.75,9.76,82700
FUEKIV30,1/18/2022 00:00:00,9.76,9.76,9.65,9.7,69500
FUEKIV30,1/19/2022 00:00:00,9.76,9.81,9.7,9.71,55800
FUEKIV30,1/20/2022 00:00:00,9.73,9.8,9.69,9.8,65900
FUEKIV30,1/21/2022 00:00:00,9.8,9.85,9.76,9.83,58600
FUEKIV30,1/24/2022 00:00:00,9.81,9.81,9.6,9.6,89700
FUEKIV30,1/25/2022 00:00:00,9.59,9.84,9.59,9.8,60600
FUEKIV30,1/26/2022 00:00:00,9.9,9.99,9.9,9.93,82400
FUEKIV30,1/27/2022 00:00:00,9.95,9.95,9.85,9.94,82600
FUEKIV30,1/28/2022 00:00:00,9.93,10.01,9.93,10.01,142900
FUEKIV30,2/7/2022 00:00:00,10.2,10.2,10.05,10.08,95300
FUEKIV30,2/8/2022 00:00:00,10.1,10.12,9.95,10.1,87900
FUEKIV30,2/9/2022 00:00:00,10.09,10.22,10.09,10.16,63900
FUEKIV30,2/10/2022 00:00:00,10.2,10.2,10.06,10.06,107100
FUEKIV30,2/11/2022 00:00:00,10.1,10.15,10.1,10.14,65600
FUEKIV30,2/14/2022 00:00:00,10.14,10.14,9.97,9.97,68600
FUEKIV30,2/15/2022 00:00:00,9.93,9.97,9.9,9.97,104000
FUEKIV30,2/16/2022 00:00:00,10.03,10.03,9.93,9.95,62100
FUEKIV30,2/17/2022 00:00:00,9.98,10.04,9.98,10.04,84400
FUEKIV30,2/18/2022 00:00:00,10.05,10.05,9.95,9.98,59000
FUEKIV30,2/21/2022 00:00:00,10.08,10.08,9.95,9.96,121400
FUEKIV30,2/22/2022 00:00:00,10.03,10.03,9.83,9.89,130700
FUEKIV30,2/23/2022 00:00:00,9.96,10.09,9.96,10,65700
FUEKIV30,2/24/2022 00:00:00,10,10.03,9.9,9.95,75500
FUEKIV30,2/25/2022 00:00:00,10,10.05,9.95,9.95,56900
FUEKIV30,2/28/2022 00:00:00,9.96,9.96,9.87,9.95,83400
FUEKIV30,3/1/2022 00:00:00,9.95,9.97,9.93,9.96,56900
FUEKIV30,3/2/2022 00:00:00,9.96,9.96,9.82,9.92,82100
FUEKIV30,3/3/2022 00:00:00,9.91,9.93,9.83,9.92,80200
FUEKIV30,3/4/2022 00:00:00,9.94,9.96,9.9,9.9,57200
FUEKIV30,3/7/2022 00:00:00,9.9,9.9,9.8,9.82,97000
FUEKIV30,3/8/2022 00:00:00,9.82,9.82,9.75,9.75,62000
FUEKIV30,3/9/2022 00:00:00,9.73,9.75,9.7,9.72,57200
FUEKIV30,3/10/2022 00:00:00,9.74,9.84,9.74,9.76,54900
FUEKIV30,3/11/2022 00:00:00,9.75,9.75,9.65,9.69,64600
FUEKIV30,3/14/2022 00:00:00,9.65,9.65,9.53,9.57,60500
FUEKIV30,3/15/2022 00:00:00,9.57,9.58,9.5,9.57,65100
FUEKIV30,3/16/2022 00:00:00,9.58,9.6,9.58,9.59,54000
FUEKIV30,3/17/2022 00:00:00,9.69,9.69,9.58,9.58,52600
FUEKIV30,3/18/2022 00:00:00,9.66,9.66,9.62,9.65,54100
FUEKIV30,3/21/2022 00:00:00,9.62,9.7,9.62,9.65,55400
FUEKIV30,3/22/2022 00:00:00,9.89,9.89,9.75,9.8,54700
FUEKIV30,3/23/2022 00:00:00,9.8,9.87,9.76,9.81,53600
FUEKIV30,3/24/2022 00:00:00,9.81,9.81,9.73,9.8,52300
FUEKIV30,3/25/2022 00:00:00,9.8,9.8,9.72,9.79,53500
FUEKIV30,3/28/2022 00:00:00,9.79,9.79,9.63,9.7,56200
FUEKIV30,3/29/2022 00:00:00,9.7,9.74,9.7,9.71,63200
FUEKIV30,3/30/2022 00:00:00,9.74,9.8,9.73,9.76,52100
FUEKIV30,3/31/2022 00:00:00,9.76,9.9,9.76,9.9,79300
FUEKIV30,4/1/2022 00:00:00,9.81,9.99,9.77,9.9,76800
FUEKIV30,4/4/2022 00:00:00,10.02,10.03,9.89,9.97,57400
FUEKIV30,4/5/2022 00:00:00,9.99,10.2,9.98,10.04,63900
FUEKIV30,4/6/2022 00:00:00,10,10.06,9.99,10.04,62100
