Ticker,Date/Time,Open,High,Low,Close,Volume
GDW,6/24/2010 00:00:00,5.16565,5.16565,5.16565,5.16565,1010
GDW,6/25/2010 00:00:00,5.68222,5.68222,5.68222,5.68222,1000
GDW,6/28/2010 00:00:00,6.24575,6.24575,6.19879,6.24575,2720
GDW,6/29/2010 00:00:00,6.24575,6.85623,6.24575,6.24575,9300
GDW,6/30/2010 00:00:00,7.3728,7.3728,6.71535,6.71535,5100
GDW,7/1/2010 00:00:00,8.07721,8.07721,8.07721,8.07721,2000
GDW,7/2/2010 00:00:00,8.87553,8.87553,7.27888,7.51368,15680
GDW,7/5/2010 00:00:00,7.98328,7.98328,7.74848,7.74848,14400
GDW,7/6/2010 00:00:00,8.49985,8.49985,7.74848,7.98328,10130
GDW,7/7/2010 00:00:00,7.74848,8.64073,7.74848,8.64073,700
GDW,7/9/2010 00:00:00,9.34514,9.34514,7.65456,7.65456,320
GDW,7/12/2010 00:00:00,8.45289,8.45289,6.95015,7.27888,8840
GDW,7/13/2010 00:00:00,8.12417,8.12417,7.04407,7.04407,20480
GDW,7/14/2010 00:00:00,8.07721,8.07721,7.98328,8.07721,1800
GDW,7/15/2010 00:00:00,8.12417,8.12417,8.12417,8.12417,5110
GDW,7/16/2010 00:00:00,8.92249,8.92249,8.21809,8.21809,6210
GDW,7/19/2010 00:00:00,9.6269,9.6269,7.93632,7.93632,3100
GDW,7/20/2010 00:00:00,7.98328,7.98328,7.98328,7.98328,100
GDW,7/21/2010 00:00:00,7.18496,7.18496,7.18496,7.18496,100
GDW,7/22/2010 00:00:00,6.48055,7.18496,6.48055,6.57447,1800
GDW,7/23/2010 00:00:00,6.48055,6.48055,6.10486,6.10486,1000
GDW,7/26/2010 00:00:00,5.68222,5.68222,5.68222,5.68222,3200
GDW,7/27/2010 00:00:00,6.10486,6.10486,6.10486,6.10486,100
GDW,7/29/2010 00:00:00,6.52751,6.52751,6.52751,6.52751,100
GDW,7/30/2010 00:00:00,6.80927,6.80927,6.80927,6.80927,100
GDW,8/2/2010 00:00:00,6.15183,6.15183,6.15183,6.15183,200
GDW,8/3/2010 00:00:00,6.76231,6.76231,6.29271,6.29271,300
GDW,8/4/2010 00:00:00,6.10486,6.10486,5.8231,5.8231,600
GDW,8/5/2010 00:00:00,6.48055,6.48055,6.48055,6.48055,100
GDW,8/6/2010 00:00:00,7.09104,7.09104,6.01094,6.01094,600
GDW,8/9/2010 00:00:00,5.63526,5.63526,5.63526,5.63526,100
GDW,8/10/2010 00:00:00,5.5883,5.5883,5.16565,5.16565,200
GDW,8/11/2010 00:00:00,5.87006,5.87006,5.87006,5.87006,100
GDW,8/12/2010 00:00:00,5.30654,5.30654,5.30654,5.30654,100
GDW,8/16/2010 00:00:00,5.21262,5.25958,4.88389,4.88389,5100
GDW,8/17/2010 00:00:00,4.46125,4.46125,4.46125,4.46125,1200
GDW,8/18/2010 00:00:00,4.22644,4.22644,4.22644,4.22644,500
GDW,8/20/2010 00:00:00,4.50821,4.60213,4.46125,4.60213,1500
GDW,8/24/2010 00:00:00,4.22644,4.22644,4.08556,4.08556,3300
GDW,8/30/2010 00:00:00,4.50821,4.50821,3.75684,3.75684,10100
GDW,8/31/2010 00:00:00,4.08556,4.08556,3.42812,3.42812,1100
GDW,9/1/2010 00:00:00,3.85076,3.85076,3.85076,3.85076,500
GDW,9/6/2010 00:00:00,4.22644,4.22644,4.22644,4.22644,2600
GDW,9/7/2010 00:00:00,3.85076,3.85076,3.8038,3.8038,1500
GDW,9/9/2010 00:00:00,4.17948,4.17948,3.75684,3.75684,1600
GDW,9/10/2010 00:00:00,3.75684,3.89772,3.66292,3.89772,4000
GDW,9/13/2010 00:00:00,3.66292,3.66292,3.66292,3.66292,100
GDW,9/14/2010 00:00:00,3.94468,3.94468,3.94468,3.94468,200
GDW,9/15/2010 00:00:00,4.22644,4.22644,3.85076,3.85076,1100
GDW,9/16/2010 00:00:00,3.85076,3.85076,3.85076,3.85076,200
GDW,9/17/2010 00:00:00,3.89772,3.89772,3.85076,3.85076,1600
GDW,9/20/2010 00:00:00,4.08556,4.08556,3.89772,3.99164,3500
GDW,9/21/2010 00:00:00,4.08556,4.08556,4.08556,4.08556,100
GDW,9/22/2010 00:00:00,3.89772,3.89772,3.89772,3.89772,1900
GDW,9/23/2010 00:00:00,4.13252,4.22644,4.13252,4.22644,200
GDW,9/24/2010 00:00:00,3.85076,3.85076,3.85076,3.85076,1200
GDW,9/28/2010 00:00:00,3.61596,4.17948,3.61596,4.17948,900
GDW,9/29/2010 00:00:00,4.17948,4.17948,3.85076,3.85076,200
GDW,10/1/2010 00:00:00,4.17948,4.17948,4.17948,4.17948,100
GDW,10/4/2010 00:00:00,3.8038,3.8038,3.8038,3.8038,200
GDW,10/5/2010 00:00:00,3.47508,4.13252,3.47508,3.569,800
