Ticker,Date/Time,Open,High,Low,Close,Volume
GE2,5/7/2021 00:00:00,34.4,34.4,34.4,34.4,25000
GE2,5/10/2021 00:00:00,39.5,39.5,39.5,39.5,4000
GE2,5/11/2021 00:00:00,45.4,45.4,45.4,45.4,5000
GE2,5/12/2021 00:00:00,52.2,52.2,52.2,52.2,4400
GE2,5/13/2021 00:00:00,60,60,44.4,44.4,5700
GE2,5/14/2021 00:00:00,43.5,43.5,43.5,43.5,900
GE2,5/17/2021 00:00:00,37,37,37,37,5100
GE2,5/18/2021 00:00:00,37,37,37,37,100
GE2,5/19/2021 00:00:00,35.9,35.9,31.6,31.6,2700
GE2,5/20/2021 00:00:00,32.4,32.4,28.5,30,1900
GE2,5/21/2021 00:00:00,28.8,28.8,28.8,28.8,2200
GE2,5/24/2021 00:00:00,26.5,28.8,26.5,28.8,2600
GE2,5/25/2021 00:00:00,27,27.1,26.8,26.9,1700
GE2,5/26/2021 00:00:00,30.2,30.9,30.2,30.9,900
GE2,5/27/2021 00:00:00,35.3,35.3,35.1,35.1,4800
GE2,5/28/2021 00:00:00,37.5,37.5,37.5,37.5,100
GE2,5/31/2021 00:00:00,37.5,37.5,37.4,37.5,600
GE2,6/1/2021 00:00:00,37.5,37.5,37,37.5,3400
GE2,6/2/2021 00:00:00,32,35,32,35,500
GE2,6/3/2021 00:00:00,33,33,27.9,28,3300
GE2,6/4/2021 00:00:00,30,31.5,30,31.5,400
GE2,6/7/2021 00:00:00,29,31,28.5,31,1900
GE2,6/8/2021 00:00:00,30.5,30.5,29,29,800
GE2,6/9/2021 00:00:00,29,29,29,29,100
GE2,6/10/2021 00:00:00,30,30,29,29,300
GE2,6/11/2021 00:00:00,31,31,31,31,600
GE2,6/14/2021 00:00:00,30,30,30,30,200
GE2,6/16/2021 00:00:00,33,33,26.6,31,800
GE2,6/17/2021 00:00:00,33,33,32.9,33,400
GE2,6/18/2021 00:00:00,31,31,31,31,3200
GE2,6/22/2021 00:00:00,34,34,33.9,33.9,300
GE2,6/23/2021 00:00:00,34,34,32,32,700
GE2,6/24/2021 00:00:00,30,30,30,30,200
GE2,6/25/2021 00:00:00,30,30,30,30,100
GE2,6/28/2021 00:00:00,30,30.1,30,30,1000
GE2,6/29/2021 00:00:00,32,32.1,30,32.1,2300
GE2,7/1/2021 00:00:00,32.2,33.5,32.2,32.5,2300
GE2,7/9/2021 00:00:00,28,28,28,28,100
GE2,7/12/2021 00:00:00,28.1,29,28.1,28.1,1000
GE2,7/13/2021 00:00:00,32.4,32.4,32.4,32.4,100
GE2,7/16/2021 00:00:00,37.2,37.2,34.9,34.9,200
GE2,7/28/2021 00:00:00,38,38,38,38,100
GE2,7/30/2021 00:00:00,33,33,32.3,32.3,1000
GE2,8/2/2021 00:00:00,32,32,32,32,100
GE2,8/3/2021 00:00:00,32.3,32.3,32.3,32.3,100
GE2,8/5/2021 00:00:00,32.3,32.3,32.3,32.3,700
GE2,8/10/2021 00:00:00,32.3,32.3,32.3,32.3,100
GE2,8/11/2021 00:00:00,32,32,32,32,100
GE2,8/12/2021 00:00:00,36.8,36.8,31,31,700
GE2,8/17/2021 00:00:00,33,33,32.5,32.5,400
GE2,8/18/2021 00:00:00,28.6,28.6,28.6,28.6,500
GE2,8/20/2021 00:00:00,28.6,28.6,28.6,28.6,500
GE2,8/24/2021 00:00:00,28.6,28.6,28.6,28.6,300
GE2,8/25/2021 00:00:00,32.1,32.6,32.1,32.6,2200
GE2,8/31/2021 00:00:00,32.6,32.6,32.6,32.6,1200
GE2,9/8/2021 00:00:00,32.5,32.5,32.5,32.5,100
GE2,9/9/2021 00:00:00,32.4,32.4,32.4,32.4,100
GE2,9/10/2021 00:00:00,37.2,37.2,32.5,32.5,400
GE2,9/13/2021 00:00:00,39.3,39.3,33,33,400
GE2,9/14/2021 00:00:00,34,34,34,34,100
GE2,9/16/2021 00:00:00,33,33,31,31,1300
GE2,9/23/2021 00:00:00,37,37,37,37,100
GE2,9/27/2021 00:00:00,42.5,42.5,42.5,42.5,100
GE2,9/30/2021 00:00:00,36.8,36.8,36.8,36.8,1200
GE2,10/4/2021 00:00:00,36.8,36.8,36.8,36.8,400
GE2,10/6/2021 00:00:00,36,36,33.6,33.6,1000
GE2,10/7/2021 00:00:00,33,36.5,33,36.5,1500
GE2,10/18/2021 00:00:00,30.3,35.5,30.3,35.5,200
GE2,10/26/2021 00:00:00,32,32,32,32,300
GE2,10/28/2021 00:00:00,36.8,36.8,36.5,36.7,400
GE2,10/29/2021 00:00:00,36,36,36,36,300
GE2,11/1/2021 00:00:00,36,36,36,36,1200
GE2,11/2/2021 00:00:00,30.7,31,30.7,30.7,1600
GE2,11/8/2021 00:00:00,34.7,34.7,34.7,34.7,1100
GE2,11/11/2021 00:00:00,29.6,29.6,29.6,29.6,1400
GE2,11/15/2021 00:00:00,30.5,30.5,30.5,30.5,100
GE2,11/17/2021 00:00:00,31.5,31.5,31.5,31.5,100
GE2,11/19/2021 00:00:00,30.6,30.6,30.6,30.6,100
GE2,11/22/2021 00:00:00,30.7,30.7,30.7,30.7,300
GE2,11/23/2021 00:00:00,30.6,30.6,30.6,30.6,100
GE2,11/30/2021 00:00:00,35.1,35.1,35.1,35.1,800
GE2,12/1/2021 00:00:00,30,30,30,30,500
GE2,12/2/2021 00:00:00,30.1,34,30.1,31,1500
GE2,12/8/2021 00:00:00,31,31,31,31,500
GE2,12/13/2021 00:00:00,31,31,31,31,500
GE2,12/15/2021 00:00:00,31,31,31,31,1000
GE2,12/21/2021 00:00:00,31,33,31,33,2100
GE2,12/29/2021 00:00:00,28,28,28,28,500
