Ticker,Date/Time,Open,High,Low,Close,Volume
GSM,4/9/2015 00:00:00,5.2,5.2,5.2,5.2,5000
GSM,4/16/2015 00:00:00,5.3,5.5,5.3,5.3,11000
GSM,4/17/2015 00:00:00,5.9,5.9,5.9,5.9,3000
GSM,4/21/2015 00:00:00,6.3,6.3,6.3,6.3,3000
GSM,4/22/2015 00:00:00,5.7,6.9,5.7,6.9,25100
GSM,4/27/2015 00:00:00,7.4,7.4,7.4,7.4,100
GSM,5/4/2015 00:00:00,6.7,7.7,6.7,7.7,200
GSM,5/5/2015 00:00:00,7.7,7.7,7.7,7.7,100
GSM,5/6/2015 00:00:00,7,7.8,7,7.8,200
GSM,5/7/2015 00:00:00,6.8,6.8,6.8,6.8,100
GSM,5/8/2015 00:00:00,6.2,6.2,6.2,6.2,100
GSM,5/11/2015 00:00:00,5.6,5.6,5.6,5.6,100
GSM,5/12/2015 00:00:00,6.1,6.1,6.1,6.1,100
GSM,5/13/2015 00:00:00,5.5,5.8,5.5,5.8,600
GSM,5/14/2015 00:00:00,6.3,6.3,5.8,5.8,10000
GSM,5/15/2015 00:00:00,5.6,5.6,5.6,5.6,500
GSM,5/18/2015 00:00:00,6.1,6.1,6.1,6.1,100
GSM,5/19/2015 00:00:00,5.5,6.7,5.5,6.7,1900
GSM,5/20/2015 00:00:00,7,7,5.8,7,13000
GSM,5/25/2015 00:00:00,6.5,7,6.5,7,5000
GSM,5/26/2015 00:00:00,7,7,7,7,1000
GSM,5/27/2015 00:00:00,7.2,7.3,7.2,7.3,2100
GSM,5/28/2015 00:00:00,7.4,7.6,7.4,7.6,3000
GSM,5/29/2015 00:00:00,7.6,7.6,7.6,7.6,1000
GSM,6/1/2015 00:00:00,7.7,7.7,7.7,7.7,2000
GSM,6/2/2015 00:00:00,7.8,7.9,7.8,7.8,15000
GSM,6/3/2015 00:00:00,8,8,7.6,7.6,10000
GSM,6/4/2015 00:00:00,7.5,8,7.5,8,51500
GSM,6/5/2015 00:00:00,8,8.3,8,8.3,35100
GSM,6/8/2015 00:00:00,8.3,8.5,8.3,8.5,38400
GSM,6/9/2015 00:00:00,9.2,9.2,9,9,200
GSM,6/11/2015 00:00:00,8.6,8.6,8.4,8.4,5500
GSM,6/12/2015 00:00:00,8.4,8.4,8.2,8.4,21600
GSM,6/15/2015 00:00:00,8.3,8.4,8.3,8.4,16000
GSM,6/16/2015 00:00:00,8.5,8.5,8.5,8.5,128000
GSM,6/17/2015 00:00:00,8.6,8.6,8.6,8.6,500
GSM,6/18/2015 00:00:00,8.7,8.7,8.5,8.5,8800
GSM,6/19/2015 00:00:00,8.6,8.6,8.6,8.6,7000
GSM,6/22/2015 00:00:00,8.6,8.7,8.6,8.7,16400
GSM,6/23/2015 00:00:00,8.8,8.8,8.8,8.8,5100
GSM,6/24/2015 00:00:00,8.7,8.7,8.7,8.7,2500
GSM,6/26/2015 00:00:00,9,9,9,9,100
GSM,6/30/2015 00:00:00,8.5,8.5,8.5,8.5,4600
GSM,7/1/2015 00:00:00,8.5,8.6,8.5,8.6,6100
GSM,7/2/2015 00:00:00,8.6,8.6,8.5,8.6,124500
GSM,7/3/2015 00:00:00,8.6,8.6,8.5,8.5,2200
GSM,7/6/2015 00:00:00,8.5,8.5,8.5,8.5,9700
GSM,7/7/2015 00:00:00,8.5,8.5,7.3,8.5,3000
GSM,7/8/2015 00:00:00,8.5,8.5,8.4,8.5,30500
GSM,7/9/2015 00:00:00,8.3,8.4,8.3,8.3,10400
GSM,7/10/2015 00:00:00,8.4,8.5,8.4,8.5,12000
GSM,7/13/2015 00:00:00,8.5,8.5,8.5,8.5,1500
GSM,7/14/2015 00:00:00,8.5,8.5,8.5,8.5,1100
GSM,7/16/2015 00:00:00,7.3,8.4,7.3,8.4,3600
GSM,7/17/2015 00:00:00,8.3,8.5,8.3,8.5,8900
GSM,7/21/2015 00:00:00,8.4,8.6,8.4,8.5,19700
GSM,7/22/2015 00:00:00,8.5,8.5,8.5,8.5,60000
GSM,7/23/2015 00:00:00,7.5,7.5,7.5,7.5,100
GSM,7/28/2015 00:00:00,7.1,7.1,7.1,7.1,100
GSM,7/31/2015 00:00:00,8.1,8.1,8.1,8.1,1800
GSM,8/3/2015 00:00:00,7.2,7.2,7.2,7.2,100
GSM,8/7/2015 00:00:00,8.2,8.2,8.2,8.2,5000
GSM,8/10/2015 00:00:00,7,8.5,7,8.5,13600
GSM,8/11/2015 00:00:00,7.3,8.5,7.3,8.5,29200
GSM,8/12/2015 00:00:00,8.5,8.5,8.5,8.5,36000
GSM,8/13/2015 00:00:00,7.3,8.5,7.3,8.5,8200
GSM,8/14/2015 00:00:00,8.5,8.5,8.5,8.5,4500
GSM,8/17/2015 00:00:00,8.3,8.3,8.3,8.3,5000
GSM,8/25/2015 00:00:00,8.3,8.4,8.3,8.4,60000
GSM,8/26/2015 00:00:00,8.4,8.5,8.4,8.5,22000
GSM,8/27/2015 00:00:00,8.5,8.6,8.5,8.6,79600
GSM,8/28/2015 00:00:00,7.3,8.5,7.3,8.5,200
GSM,8/31/2015 00:00:00,8.5,8.8,8.5,8.8,10800
GSM,9/3/2015 00:00:00,8.9,9.8,8.9,9.8,3400
GSM,9/4/2015 00:00:00,9.3,9.3,9.3,9.3,900
GSM,9/7/2015 00:00:00,9.9,9.9,9.9,9.9,100
GSM,9/8/2015 00:00:00,10.3,10.3,10.3,10.3,100
GSM,9/9/2015 00:00:00,10.6,10.6,10.6,10.6,100
GSM,9/10/2015 00:00:00,11,11,11,11,100
GSM,9/14/2015 00:00:00,9.4,9.4,9.4,9.4,200
GSM,9/15/2015 00:00:00,8,8.5,8,8.5,200
GSM,9/17/2015 00:00:00,9.4,9.4,9.4,9.4,2700
GSM,9/18/2015 00:00:00,10.7,10.7,10.7,10.7,900
GSM,9/21/2015 00:00:00,9.1,9.1,9.1,9.1,16400
GSM,9/22/2015 00:00:00,10.2,10.2,10.2,10.2,100
GSM,9/23/2015 00:00:00,10.9,10.9,9.7,9.7,600
GSM,9/25/2015 00:00:00,8.9,9,8.8,9,22000
GSM,9/28/2015 00:00:00,9.7,9.7,9.5,9.5,169200
GSM,9/29/2015 00:00:00,9.6,9.6,9.6,9.6,1800
GSM,10/1/2015 00:00:00,9.3,9.3,9.2,9.3,14200
GSM,10/5/2015 00:00:00,8.5,8.5,8.5,8.5,14000
GSM,10/6/2015 00:00:00,9.3,9.3,9,9.3,140100
GSM,10/7/2015 00:00:00,9.2,9.5,9.2,9.4,43500
GSM,10/8/2015 00:00:00,9.2,9.2,9.2,9.2,1000
GSM,10/9/2015 00:00:00,10.5,10.5,10.5,10.5,100
GSM,10/13/2015 00:00:00,9,9,9,9,200
GSM,10/15/2015 00:00:00,8.1,8.1,8.1,8.1,100
GSM,10/21/2015 00:00:00,8.7,8.7,8.7,8.7,1000
GSM,10/30/2015 00:00:00,9,9,9,9,800
GSM,11/5/2015 00:00:00,9,9,9,9,600
GSM,12/15/2015 00:00:00,9,9,9,9,1000
GSM,12/16/2015 00:00:00,9,9,9,9,1600
GSM,12/18/2015 00:00:00,7.7,7.7,7.7,7.7,300
GSM,12/21/2015 00:00:00,8.8,8.8,6.6,8.8,16500
GSM,12/22/2015 00:00:00,8.8,8.8,7.5,8.8,500
GSM,12/23/2015 00:00:00,7.5,7.7,7.5,7.5,21600
GSM,12/24/2015 00:00:00,6.7,6.7,6.7,6.7,300
GSM,12/25/2015 00:00:00,7.7,7.7,7.7,7.7,100
GSM,12/28/2015 00:00:00,7.7,8,7.7,7.7,2500
GSM,12/29/2015 00:00:00,8,8,8,8,2000
GSM,12/30/2015 00:00:00,8,8.1,8,8.1,4000
GSM,12/31/2015 00:00:00,8.1,8.2,8.1,8.2,5600
GSM,1/5/2016 00:00:00,8.2,8.2,8.2,8.2,7400
GSM,1/6/2016 00:00:00,7.5,8.3,7.5,8.3,7300
GSM,1/7/2016 00:00:00,8,8.1,8,8.1,5000
GSM,1/14/2016 00:00:00,8.2,8.5,8.2,8.5,5000
GSM,1/15/2016 00:00:00,8.4,8.4,8.4,8.4,3000
GSM,1/25/2016 00:00:00,8.4,8.6,8.4,8.6,5000
GSM,1/26/2016 00:00:00,8.5,8.5,8.5,8.5,4000
GSM,1/28/2016 00:00:00,8.5,8.5,8.5,8.5,2000
GSM,1/29/2016 00:00:00,8.7,8.7,8.3,8.3,1100
GSM,2/3/2016 00:00:00,8.3,8.3,8.3,8.3,1500
GSM,2/4/2016 00:00:00,8.7,8.7,8.7,8.7,100
GSM,2/15/2016 00:00:00,8.7,8.7,8.7,8.7,1800
GSM,2/16/2016 00:00:00,8.7,8.7,8.6,8.7,10000
GSM,2/17/2016 00:00:00,9.4,9.4,9.4,9.4,100
GSM,2/18/2016 00:00:00,8.6,8.6,8.6,8.6,3000
GSM,2/22/2016 00:00:00,8,8,8,8,100
GSM,2/23/2016 00:00:00,8.5,8.5,8.5,8.5,2000
GSM,2/25/2016 00:00:00,8.5,8.5,8.5,8.5,3000
GSM,2/26/2016 00:00:00,8.5,8.5,8.5,8.5,3600
GSM,2/29/2016 00:00:00,8.5,8.6,8.5,8.6,4800
GSM,3/3/2016 00:00:00,8.5,8.5,8.5,8.5,13000
GSM,3/4/2016 00:00:00,9,9,9,9,100
GSM,3/10/2016 00:00:00,9,9,9,9,4500
GSM,3/11/2016 00:00:00,9,9,9,9,200
GSM,3/17/2016 00:00:00,7.7,7.7,7.7,7.7,200
GSM,3/18/2016 00:00:00,8.8,8.8,8.8,8.8,100
GSM,3/28/2016 00:00:00,7.5,7.5,7.5,7.5,2100
GSM,3/29/2016 00:00:00,8,8,8,8,1100
GSM,3/30/2016 00:00:00,7.5,7.5,7.5,7.5,200
GSM,4/1/2016 00:00:00,7,7,7,7,1000
GSM,4/4/2016 00:00:00,8,8,8,8,1100
GSM,4/5/2016 00:00:00,8.3,8.3,8.2,8.2,20000
GSM,4/6/2016 00:00:00,8.3,8.3,8.3,8.3,900
GSM,4/8/2016 00:00:00,8,8,8,8,1000
GSM,4/11/2016 00:00:00,7,7,6.8,6.8,5000
GSM,4/12/2016 00:00:00,7.5,7.8,7,7.8,3000
GSM,4/13/2016 00:00:00,8.3,8.3,8.3,8.3,2000
GSM,4/14/2016 00:00:00,7.6,8,7.5,8,45000
GSM,4/15/2016 00:00:00,7.9,7.9,7.9,7.9,1000
GSM,4/19/2016 00:00:00,8.5,8.5,8.5,8.5,100
GSM,4/20/2016 00:00:00,8.2,8.2,8.2,8.2,4500
GSM,4/21/2016 00:00:00,8.1,8.2,8.1,8.2,10200
GSM,4/22/2016 00:00:00,8.2,9.4,8.2,8.2,8200
GSM,4/25/2016 00:00:00,8.3,8.3,8.3,8.3,5000
GSM,4/26/2016 00:00:00,8.5,8.5,8.5,8.5,4200
GSM,4/27/2016 00:00:00,8.9,8.9,8.9,8.9,100
GSM,4/29/2016 00:00:00,7.8,7.8,7.8,7.8,5000
GSM,5/4/2016 00:00:00,8.2,8.3,8.2,8.2,24600
GSM,5/6/2016 00:00:00,8.2,8.2,8.2,8.2,5000
GSM,5/9/2016 00:00:00,9,9,9,9,1000
GSM,5/10/2016 00:00:00,8.3,8.4,8.2,8.4,2400
GSM,5/13/2016 00:00:00,8.5,8.5,8.5,8.5,1600
GSM,5/16/2016 00:00:00,9,9,9,9,5500
GSM,5/18/2016 00:00:00,8.9,8.9,8.9,8.9,700
GSM,5/24/2016 00:00:00,8.5,8.5,8.5,8.5,700
GSM,6/3/2016 00:00:00,8.6,8.6,8.6,8.6,1000
GSM,6/6/2016 00:00:00,8.6,8.6,8.6,8.6,1000
GSM,6/7/2016 00:00:00,8.5,8.5,8.4,8.4,1200
GSM,6/9/2016 00:00:00,8.5,8.5,8.5,8.5,300
GSM,6/13/2016 00:00:00,8.5,8.5,8.5,8.5,1400
GSM,6/15/2016 00:00:00,8.5,8.5,8.5,8.5,8000
GSM,6/16/2016 00:00:00,8.5,8.5,8.5,8.5,1000
GSM,6/21/2016 00:00:00,8.5,8.5,8.5,8.5,2000
GSM,6/29/2016 00:00:00,8.6,8.6,8.6,8.6,200
GSM,7/1/2016 00:00:00,9.8,9.8,9.8,9.8,100
GSM,7/5/2016 00:00:00,8.4,8.4,8.4,8.4,1000
GSM,7/14/2016 00:00:00,8.2,8.5,7.2,8.5,4500
GSM,7/15/2016 00:00:00,8,8,8,8,2000
GSM,7/22/2016 00:00:00,7.5,7.5,7.5,7.5,1000
GSM,7/25/2016 00:00:00,8.5,8.5,8.5,8.5,300
GSM,7/27/2016 00:00:00,8,8.5,8,8.5,12400
GSM,7/28/2016 00:00:00,8.2,8.2,8.2,8.2,2500
GSM,8/1/2016 00:00:00,7.6,7.6,7.6,7.6,5000
GSM,8/2/2016 00:00:00,8.3,8.3,7.6,7.6,5100
GSM,8/3/2016 00:00:00,8.5,8.5,8.5,8.5,100
GSM,8/12/2016 00:00:00,8,8,8,8,3000
GSM,8/15/2016 00:00:00,8.5,8.5,8,8,1100
GSM,8/17/2016 00:00:00,8,8,8,8,600
GSM,8/18/2016 00:00:00,8,8,8,8,1400
GSM,8/19/2016 00:00:00,8.3,8.3,8.3,8.3,100
GSM,8/22/2016 00:00:00,8,8,8,8,1000
GSM,8/23/2016 00:00:00,8.5,8.5,7.9,8,6100
GSM,8/25/2016 00:00:00,7.7,7.7,7.7,7.7,10000
GSM,8/26/2016 00:00:00,7.8,8,7.8,8,5000
GSM,8/29/2016 00:00:00,8.1,8.5,8.1,8.5,10800
GSM,8/30/2016 00:00:00,8.4,8.4,8.1,8.3,4400
GSM,8/31/2016 00:00:00,8.2,8.2,8.2,8.2,4000
GSM,9/1/2016 00:00:00,8.3,8.5,8.3,8.5,10900
GSM,9/5/2016 00:00:00,8.4,8.5,8.4,8.5,7600
GSM,9/6/2016 00:00:00,8.5,8.5,8.5,8.5,4000
GSM,9/7/2016 00:00:00,8.3,8.3,8.3,8.3,2900
GSM,9/8/2016 00:00:00,8.5,8.5,8.5,8.5,3000
GSM,9/9/2016 00:00:00,8.5,8.6,8.5,8.6,8300
GSM,9/12/2016 00:00:00,8.7,8.7,8.5,8.5,8000
GSM,9/13/2016 00:00:00,8.8,8.8,8.8,8.8,100
GSM,9/14/2016 00:00:00,8.8,8.8,8.8,8.8,500
GSM,9/16/2016 00:00:00,8.5,8.5,8.5,8.5,2100
GSM,9/20/2016 00:00:00,8.5,8.6,8.5,8.6,21000
GSM,9/21/2016 00:00:00,8.9,8.9,8.9,8.9,100
GSM,9/23/2016 00:00:00,9,9,8.9,8.9,1300
GSM,9/26/2016 00:00:00,9,9,9,9,7300
GSM,9/27/2016 00:00:00,9,9,9,9,2500
GSM,9/28/2016 00:00:00,8.8,8.8,8.8,8.8,1500
GSM,9/29/2016 00:00:00,8,8.9,8,8.8,800
GSM,9/30/2016 00:00:00,8.4,9,8.4,9,14900
GSM,10/3/2016 00:00:00,9.7,9.7,8.8,8.8,1000
GSM,10/4/2016 00:00:00,9,9.2,8.8,9.2,28900
GSM,10/5/2016 00:00:00,9.9,9.9,9.9,9.9,100
GSM,10/6/2016 00:00:00,9,9,9,9,33000
GSM,10/7/2016 00:00:00,9.9,9.9,9,9,4100
GSM,10/10/2016 00:00:00,9.5,9.5,9.5,9.5,100
GSM,10/11/2016 00:00:00,8.8,8.8,8.8,8.8,800
GSM,10/12/2016 00:00:00,9.9,9.9,9.9,9.9,100
GSM,10/17/2016 00:00:00,8.6,8.6,8.6,8.6,10000
GSM,10/18/2016 00:00:00,9.7,9.7,9.7,9.7,100
GSM,10/19/2016 00:00:00,8.7,9.2,8.6,9.2,30000
GSM,10/20/2016 00:00:00,8.9,8.9,8.6,8.6,16000
GSM,10/21/2016 00:00:00,8.7,8.8,8.6,8.8,9700
GSM,10/24/2016 00:00:00,9,9,9,9,100
GSM,10/25/2016 00:00:00,9,9,9,9,10600
GSM,10/27/2016 00:00:00,9,9,9,9,22100
GSM,10/31/2016 00:00:00,9.3,9.3,9.3,9.3,100
GSM,11/3/2016 00:00:00,9.2,9.2,9.2,9.2,5000
GSM,11/4/2016 00:00:00,9.9,9.9,9.8,9.8,60600
GSM,11/7/2016 00:00:00,9,9.8,8.7,8.7,118100
GSM,11/8/2016 00:00:00,9.8,9.8,9,9,25200
GSM,11/9/2016 00:00:00,9.6,9.7,9.6,9.6,19600
GSM,11/10/2016 00:00:00,8.8,8.8,8.8,8.8,7000
GSM,11/11/2016 00:00:00,8.9,9.6,8.6,8.8,103200
GSM,11/14/2016 00:00:00,9,9,9,9,5300
GSM,11/15/2016 00:00:00,9.5,9.5,9.5,9.5,100
GSM,11/16/2016 00:00:00,9,9,9,9,2000
GSM,11/17/2016 00:00:00,8.6,8.6,8.4,8.5,77000
GSM,11/18/2016 00:00:00,9.5,9.5,9,9,2100
GSM,11/21/2016 00:00:00,8.5,8.5,8.5,8.5,1000
GSM,11/22/2016 00:00:00,8.5,8.5,8.5,8.5,9000
GSM,11/23/2016 00:00:00,8.5,8.9,8.5,8.5,9000
GSM,11/24/2016 00:00:00,8.5,8.5,8.5,8.5,7500
GSM,11/25/2016 00:00:00,8.9,8.9,8.9,8.9,500
GSM,11/28/2016 00:00:00,8.9,9,8.9,8.9,15000
GSM,11/29/2016 00:00:00,8.9,8.9,8.9,8.9,1700
GSM,11/30/2016 00:00:00,8.9,8.9,8.9,8.9,1300
GSM,12/1/2016 00:00:00,8.9,8.9,8.9,8.9,15000
GSM,12/2/2016 00:00:00,8.5,8.5,8.5,8.5,5100
GSM,12/5/2016 00:00:00,8.6,8.9,8.5,8.9,22900
GSM,12/6/2016 00:00:00,9.3,9.8,9,9,8100
GSM,12/7/2016 00:00:00,9.6,9.6,9.6,9.6,2000
GSM,12/12/2016 00:00:00,8.5,9.4,8.5,9.4,2200
GSM,12/13/2016 00:00:00,8.5,9.9,8.5,9.9,2300
GSM,12/14/2016 00:00:00,10,10,8.5,8.5,30200
GSM,12/15/2016 00:00:00,9.6,9.6,8.5,8.5,10100
GSM,12/16/2016 00:00:00,9.7,9.7,9.7,9.7,100
GSM,12/19/2016 00:00:00,8.5,8.5,8.5,8.5,62800
GSM,12/20/2016 00:00:00,8.5,8.5,8.5,8.5,50
GSM,12/21/2016 00:00:00,9.4,9.4,8.7,8.7,31100
GSM,12/22/2016 00:00:00,8.7,9,8.7,9,8000
GSM,12/23/2016 00:00:00,8.7,8.7,8.7,8.7,7700
GSM,12/26/2016 00:00:00,9.2,9.3,9.2,9.3,14000
GSM,12/27/2016 00:00:00,9,9.2,9,9.2,20200
GSM,12/28/2016 00:00:00,8.9,9,8.9,9,10200
GSM,12/29/2016 00:00:00,9.3,9.3,9,9,16900
GSM,12/30/2016 00:00:00,9.3,9.3,9,9,600
GSM,1/4/2017 00:00:00,9.1,9.1,9.1,9.1,31000
GSM,1/5/2017 00:00:00,9.1,9.2,9.1,9.1,33600
GSM,1/6/2017 00:00:00,8.8,9.1,8.8,9.1,6400
GSM,1/9/2017 00:00:00,9.1,9.2,9.1,9.2,52000
GSM,1/10/2017 00:00:00,9.1,9.2,9.1,9.1,33000
GSM,1/11/2017 00:00:00,9.2,9.2,9.1,9.1,8000
GSM,1/12/2017 00:00:00,9.1,9.2,9.1,9.1,70200
GSM,1/13/2017 00:00:00,9.8,9.8,9.2,9.3,2800
GSM,1/16/2017 00:00:00,9.5,9.5,9.2,9.2,5100
GSM,1/17/2017 00:00:00,9.2,9.2,9.2,9.2,5000
GSM,1/18/2017 00:00:00,9.3,9.3,9.2,9.2,9800
GSM,1/19/2017 00:00:00,10,10,9.1,10,20300
GSM,1/20/2017 00:00:00,9.2,9.2,9.1,9.1,18600
GSM,1/23/2017 00:00:00,10,10,9.2,10,5200
GSM,1/24/2017 00:00:00,9.1,9.1,9.1,9.1,5000
GSM,1/25/2017 00:00:00,10,10,9,9,20100
GSM,2/2/2017 00:00:00,10,10,9,9,20500
GSM,2/3/2017 00:00:00,9,10,9,10,6400
GSM,2/6/2017 00:00:00,9.1,10,9,10,24800
GSM,2/7/2017 00:00:00,9.3,9.3,9.3,9.3,55300
GSM,2/8/2017 00:00:00,10,10,9.6,9.9,17300
GSM,2/9/2017 00:00:00,9.9,10,9.9,10,52900
GSM,2/10/2017 00:00:00,9.7,9.7,9.7,9.7,1400
GSM,2/13/2017 00:00:00,10,10,10,10,10000
GSM,2/14/2017 00:00:00,10,10,10,10,36800
GSM,2/15/2017 00:00:00,10,10,9.8,9.9,10400
GSM,2/16/2017 00:00:00,9.8,9.8,9.8,9.8,21100
GSM,2/20/2017 00:00:00,11,11,10.4,10.4,5100
GSM,2/21/2017 00:00:00,10.2,10.2,9.5,10.1,34500
GSM,2/22/2017 00:00:00,10,10,10,10,500
GSM,2/23/2017 00:00:00,10.1,10.1,10.1,10.1,500
GSM,2/24/2017 00:00:00,9.5,10.5,9.5,10.5,2800
GSM,2/27/2017 00:00:00,11,11,11,11,200
GSM,3/1/2017 00:00:00,11,11,10.9,10.9,300
GSM,3/3/2017 00:00:00,10.9,10.9,10,10,600
GSM,3/6/2017 00:00:00,10.9,10.9,10,10,9300
GSM,3/8/2017 00:00:00,10,10.1,10,10.1,2100
GSM,3/9/2017 00:00:00,9.6,10.4,9.6,10.4,16000
GSM,3/10/2017 00:00:00,10.9,10.9,9.8,10.1,1800
GSM,3/13/2017 00:00:00,10.5,10.5,10.5,10.5,100
GSM,3/14/2017 00:00:00,10.9,10.9,9.6,9.6,5700
GSM,3/15/2017 00:00:00,10.1,10.1,9.6,10,43700
GSM,3/16/2017 00:00:00,9.6,10,9.5,9.5,35600
GSM,3/17/2017 00:00:00,10,10,9.5,9.7,7400
GSM,3/20/2017 00:00:00,10.2,10.2,9.5,10,9600
GSM,3/21/2017 00:00:00,10,10.5,10,10,33300
GSM,3/22/2017 00:00:00,9.7,9.7,9.7,9.7,5000
GSM,3/23/2017 00:00:00,10.2,10.2,9.6,9.6,20400
GSM,3/24/2017 00:00:00,10.9,10.9,9.5,9.5,80300
GSM,3/27/2017 00:00:00,10,10,10,10,100
GSM,3/28/2017 00:00:00,9.5,9.5,9.5,9.5,100
GSM,3/29/2017 00:00:00,9.6,10,9.6,10,800
GSM,3/30/2017 00:00:00,10,10.8,10,10,11200
GSM,3/31/2017 00:00:00,10.5,10.5,9.7,9.7,10100
