Ticker,Date/Time,Open,High,Low,Close,Volume
HBH,9/15/2017 00:00:00,12.1,12.1,11,11,7900
HBH,9/18/2017 00:00:00,10,10,10,10,3100
HBH,9/22/2017 00:00:00,8.6,8.6,8.6,8.6,200
HBH,9/25/2017 00:00:00,7.5,7.5,7.5,7.5,200
HBH,9/26/2017 00:00:00,6.4,6.4,6.4,6.4,200
HBH,9/29/2017 00:00:00,7.3,7.3,7.3,7.3,100
HBH,10/9/2017 00:00:00,7.3,7.3,7.3,7.3,100
HBH,10/11/2017 00:00:00,6.3,6.3,6.3,6.3,100
HBH,10/12/2017 00:00:00,6.3,6.3,6.3,6.3,100
HBH,10/13/2017 00:00:00,6.3,6.3,6.3,6.3,100
HBH,10/17/2017 00:00:00,5.6,5.6,5.6,5.6,500
HBH,10/18/2017 00:00:00,5.8,5.8,5.8,5.8,200
HBH,10/31/2017 00:00:00,6.4,6.4,6.4,6.4,100
HBH,11/1/2017 00:00:00,5.5,5.5,5.5,5.5,200
HBH,11/2/2017 00:00:00,4.8,4.8,4.8,4.8,100
HBH,11/3/2017 00:00:00,4.1,4.1,4.1,4.1,100
HBH,11/6/2017 00:00:00,3.5,3.5,3.5,3.5,140
HBH,11/24/2017 00:00:00,4,4,4,4,100
HBH,12/6/2017 00:00:00,4,4,4,4,40
HBH,12/19/2017 00:00:00,4,4,4,4,2200
HBH,12/21/2017 00:00:00,4,4,4,4,300
HBH,1/5/2018 00:00:00,4,4,4,4,100
HBH,3/19/2018 00:00:00,2.4,2.4,2.4,2.4,800
HBH,4/11/2018 00:00:00,2.7,2.7,2.7,2.7,100
HBH,4/23/2018 00:00:00,3,3,3,3,100
HBH,6/6/2018 00:00:00,1.8,1.8,1.8,1.8,100
HBH,6/7/2018 00:00:00,2,2,1.8,1.8,5100
HBH,6/12/2018 00:00:00,2,2,2,2,500
HBH,6/13/2018 00:00:00,2.3,2.3,2.3,2.3,1100
HBH,6/14/2018 00:00:00,2.6,2.6,2.6,2.6,2500
HBH,6/15/2018 00:00:00,2.8,2.9,2.8,2.9,1500
HBH,6/18/2018 00:00:00,3.2,3.2,3.2,3.2,500
HBH,8/8/2018 00:00:00,3.2,3.2,3.2,3.2,500
HBH,8/15/2018 00:00:00,3.5,3.5,3.5,3.5,100
HBH,8/20/2018 00:00:00,3.7,3.7,3.7,3.7,100
HBH,8/21/2018 00:00:00,4,4,4,4,100
HBH,8/30/2018 00:00:00,4.2,4.2,3.4,3.4,300
HBH,8/31/2018 00:00:00,3.9,3.9,3.9,3.9,100
HBH,9/7/2018 00:00:00,3.5,3.5,3.5,3.5,1000
HBH,9/13/2018 00:00:00,3.6,3.6,3.6,3.6,100
HBH,10/3/2018 00:00:00,3.6,3.6,3.6,3.6,200
HBH,11/15/2018 00:00:00,3.6,3.6,3.6,3.6,100
HBH,1/4/2019 00:00:00,3.7,3.7,3.7,3.7,3000
HBH,1/28/2019 00:00:00,4,4,4,4,800
HBH,1/30/2019 00:00:00,4.6,4.6,4.6,4.6,100
HBH,1/31/2019 00:00:00,5.2,5.2,5.2,5.2,100
