Ticker,Date/Time,Open,High,Low,Close,Volume
HMR,1/13/2022 00:00:00,20.4,20.4,20.4,20.4,24100
HMR,1/14/2022 00:00:00,22.4,22.4,22.4,22.4,401100
HMR,1/17/2022 00:00:00,24.6,24.6,24.5,24.6,315200
HMR,1/18/2022 00:00:00,27,27,22.2,22.2,103300
HMR,1/19/2022 00:00:00,20,20,20,20,17500
HMR,1/20/2022 00:00:00,18,18,18,18,2900
HMR,1/21/2022 00:00:00,16.2,16.2,16.2,16.2,12700
HMR,1/24/2022 00:00:00,14.6,14.6,14.6,14.6,7800
HMR,1/25/2022 00:00:00,13.2,15.9,13.2,15,113000
HMR,1/26/2022 00:00:00,15,15,13.5,13.7,88900
HMR,1/27/2022 00:00:00,13.5,13.5,12.6,12.6,33300
HMR,1/28/2022 00:00:00,12.6,13.8,12,13.8,103000
HMR,2/7/2022 00:00:00,13.8,15.1,13.8,15.1,18600
HMR,2/8/2022 00:00:00,16.6,16.6,15,15.9,100400
HMR,2/9/2022 00:00:00,15.9,16.5,14.4,16.5,65300
HMR,2/10/2022 00:00:00,17,17,15.8,15.8,7800
HMR,2/11/2022 00:00:00,15.8,16.8,15.1,16.8,39800
HMR,2/14/2022 00:00:00,15.3,16.4,15.3,15.8,12300
HMR,2/15/2022 00:00:00,16,16,14.9,14.9,17900
HMR,2/16/2022 00:00:00,14.2,15.6,14.2,14.7,34500
HMR,2/17/2022 00:00:00,14,16.1,14,16.1,31900
HMR,2/18/2022 00:00:00,16.1,17.5,15.2,16.1,34100
HMR,2/21/2022 00:00:00,15.8,15.9,15.5,15.8,18000
HMR,2/22/2022 00:00:00,15.4,15.7,15,15,10500
HMR,2/23/2022 00:00:00,15.4,16.5,15,15.1,6600
HMR,2/24/2022 00:00:00,15.1,15.2,14.7,14.8,22600
HMR,2/25/2022 00:00:00,15.1,15.4,14.9,15.4,4800
HMR,2/28/2022 00:00:00,15,15.4,15,15.2,11200
HMR,3/1/2022 00:00:00,15,15.3,15,15,12500
HMR,3/2/2022 00:00:00,15,15.4,14.9,15,9900
HMR,3/3/2022 00:00:00,14.9,15.2,14.8,15.2,9200
HMR,3/4/2022 00:00:00,15.2,15.4,14.9,15.3,10700
HMR,3/7/2022 00:00:00,15.2,15.5,15,15.5,64100
HMR,3/8/2022 00:00:00,15.7,17,15.7,17,112400
HMR,3/9/2022 00:00:00,18.6,18.7,18.4,18.7,98900
HMR,3/10/2022 00:00:00,19,19,17.6,18.5,61500
HMR,3/11/2022 00:00:00,18.5,18.5,17,17.1,67400
HMR,3/14/2022 00:00:00,15.4,17.1,15.4,16.1,25600
HMR,3/15/2022 00:00:00,16.1,16.7,15.3,16.7,33200
HMR,3/16/2022 00:00:00,15.8,16.7,15.8,16,26500
HMR,3/17/2022 00:00:00,17.5,17.5,16.1,17,52900
HMR,3/18/2022 00:00:00,17,17.8,17,17.8,33600
HMR,3/21/2022 00:00:00,17.8,18.3,17.5,17.5,38800
HMR,3/22/2022 00:00:00,18.2,18.2,17,17.9,55300
HMR,3/23/2022 00:00:00,17.1,17.4,16.7,17,39400
HMR,3/24/2022 00:00:00,16.5,17,16.3,16.9,10000
HMR,3/25/2022 00:00:00,16.5,17,16.5,16.9,6600
HMR,3/28/2022 00:00:00,16.6,16.6,16.3,16.5,43900
HMR,3/29/2022 00:00:00,16.6,16.8,16.3,16.5,30800
HMR,3/30/2022 00:00:00,18,18,16.5,16.8,9200
HMR,3/31/2022 00:00:00,16.2,16.7,16.2,16.7,10200
HMR,4/1/2022 00:00:00,16.6,16.6,16,16.2,25800
HMR,4/4/2022 00:00:00,16.3,16.4,16.3,16.4,9600
HMR,4/5/2022 00:00:00,16.4,16.4,16,16.1,2600
HMR,4/6/2022 00:00:00,16.1,16.1,16.1,16.1,2900
