Ticker,Date/Time,Open,High,Low,Close,Volume
HUG,12/21/2017 00:00:00,15.6361,15.6361,15.6361,15.6361,100
HUG,12/26/2017 00:00:00,13.2953,13.2953,13.2953,13.2953,100
HUG,12/29/2017 00:00:00,11.3291,11.3291,11.3291,11.3291,100
HUG,1/4/2018 00:00:00,9.73742,9.73742,9.73742,9.73742,100
HUG,1/15/2018 00:00:00,8.28617,8.28617,8.28617,8.28617,100
HUG,1/18/2018 00:00:00,7.06899,7.06899,7.06899,7.06899,100
HUG,1/29/2018 00:00:00,6.03908,6.03908,6.03908,6.03908,100
HUG,10/9/2018 00:00:00,8.41616,8.41616,8.41616,8.41616,100
HUG,12/19/2018 00:00:00,11.7569,11.7569,11.7569,11.7569,27000
HUG,12/24/2018 00:00:00,13.4916,13.4916,13.4916,13.4916,100
HUG,12/25/2018 00:00:00,13.62,15.4832,13.62,15.4832,4200
HUG,12/26/2018 00:00:00,17.3463,17.3463,17.3463,17.3463,2500
HUG,12/27/2018 00:00:00,17.3463,17.3463,17.0251,17.0251,2400
HUG,12/28/2018 00:00:00,17.1535,17.1535,17.1535,17.1535,400
HUG,1/2/2019 00:00:00,17.3463,17.3463,17.0893,17.0893,2600
HUG,1/3/2019 00:00:00,14.648,16.3826,14.648,16.3826,600
HUG,1/4/2019 00:00:00,16.3826,16.8323,16.3826,16.8323,500
HUG,1/7/2019 00:00:00,16.8323,16.8323,16.8323,16.8323,200
HUG,1/9/2019 00:00:00,17.6033,17.6033,17.6033,17.6033,100
HUG,1/14/2019 00:00:00,16.8323,16.8323,16.7681,16.7681,300
HUG,1/15/2019 00:00:00,17.3463,17.3463,17.3463,17.3463,300
HUG,1/16/2019 00:00:00,17.6675,17.6675,17.6675,17.6675,200
HUG,1/17/2019 00:00:00,17.6675,17.6675,17.6675,17.6675,100
HUG,1/18/2019 00:00:00,20.3016,20.3016,20.3016,20.3016,100
HUG,1/21/2019 00:00:00,17.4748,18.6312,17.4748,18.31,400
HUG,1/22/2019 00:00:00,18.31,18.6312,18.2457,18.6312,1000
HUG,1/23/2019 00:00:00,18.4385,18.6312,18.31,18.6312,700
HUG,1/24/2019 00:00:00,19.0809,19.0809,19.0809,19.0809,400
HUG,1/25/2019 00:00:00,19.1452,19.1452,19.1452,19.1452,400
HUG,1/29/2019 00:00:00,20.2373,21.8435,20.2373,21.8435,1500
HUG,1/30/2019 00:00:00,22.4859,22.4859,22.4859,22.4859,500
HUG,1/31/2019 00:00:00,19.2736,22.4859,19.2736,22.4859,400
HUG,2/14/2019 00:00:00,22.3574,22.3574,22.3574,22.3574,400
HUG,2/15/2019 00:00:00,19.0167,23.1284,19.0167,23.1284,2400
HUG,2/18/2019 00:00:00,20.6228,20.6228,20.6228,20.6228,100
HUG,2/26/2019 00:00:00,19.4021,23.4496,19.4021,23.4496,300
HUG,2/27/2019 00:00:00,20.5586,20.5586,20.5586,20.5586,100
HUG,2/28/2019 00:00:00,22.4859,23.6423,22.4859,23.6423,2500
HUG,3/1/2019 00:00:00,21.1368,23.1284,21.1368,23.1284,600
HUG,3/6/2019 00:00:00,21.715,21.715,21.715,21.715,200
HUG,3/7/2019 00:00:00,23.5138,23.7708,23.5138,23.7708,700
HUG,3/8/2019 00:00:00,23.6423,23.6423,23.6423,23.6423,100
HUG,3/15/2019 00:00:00,24.4133,24.4133,24.4133,24.4133,1900
HUG,3/18/2019 00:00:00,28.0753,28.0753,28.0753,28.0753,2000
HUG,3/21/2019 00:00:00,25.6982,25.6982,24.4133,25.6982,2200
HUG,3/25/2019 00:00:00,25.6982,25.6982,25.6982,25.6982,200
HUG,4/5/2019 00:00:00,24.7345,24.7345,24.4133,24.7345,700
HUG,4/8/2019 00:00:00,21.0083,25.0557,21.0083,25.0557,200
HUG,4/9/2019 00:00:00,21.201,21.201,21.201,21.201,100
HUG,4/11/2019 00:00:00,24.1563,24.1563,24.1563,24.1563,100
HUG,4/16/2019 00:00:00,20.5586,20.5586,20.5586,20.5586,100
HUG,4/17/2019 00:00:00,23.6423,23.6423,23.6423,23.6423,100
HUG,4/19/2019 00:00:00,25.6982,27.1116,25.6982,27.1116,1600
HUG,4/22/2019 00:00:00,22.1647,24.4133,22.1647,24.4133,300
HUG,4/23/2019 00:00:00,20.1088,20.1088,20.1088,20.1088,100
HUG,4/24/2019 00:00:00,23.0641,23.0641,23.0641,23.0641,100
HUG,4/25/2019 00:00:00,25.4412,25.4412,25.4412,25.4412,100
HUG,4/26/2019 00:00:00,24.1549,25.7271,24.1549,25.7271,200
HUG,5/2/2019 00:00:00,23.0829,23.0829,23.0829,23.0829,100
HUG,5/6/2019 00:00:00,25.7271,25.7271,25.7271,25.7271,1600
HUG,5/7/2019 00:00:00,23.1544,23.1544,23.1544,23.1544,100
HUG,5/15/2019 00:00:00,26.4417,26.4417,26.4417,26.4417,100
HUG,5/16/2019 00:00:00,23.2973,23.2973,23.2973,23.2973,100
HUG,5/17/2019 00:00:00,23.5831,23.5831,23.5831,23.5831,100
HUG,5/20/2019 00:00:00,20.0814,26.3702,20.0814,26.3702,300
HUG,5/21/2019 00:00:00,21.868,21.868,21.868,21.868,100
HUG,5/22/2019 00:00:00,24.8695,25.0839,23.5831,23.5831,800
HUG,5/30/2019 00:00:00,25.0124,25.0124,25.0124,25.0124,100
HUG,5/31/2019 00:00:00,25.0124,25.0124,25.0124,25.0124,400
HUG,6/3/2019 00:00:00,21.2963,21.2963,21.2963,21.2963,100
HUG,6/4/2019 00:00:00,24.4407,24.4407,24.4407,24.4407,100
