Ticker,Date/Time,Open,High,Low,Close,Volume
ICI,7/7/2010 00:00:00,19.0498,19.0498,19.0498,19.0498,10000
ICI,7/8/2010 00:00:00,20.8727,20.8727,20.8727,20.8727,10000
ICI,7/9/2010 00:00:00,22.8779,22.8779,20.0524,22.8779,18500
ICI,7/12/2010 00:00:00,24.5186,24.5186,20.1435,20.1435,18710
ICI,7/13/2010 00:00:00,22.1488,22.1488,20.0524,20.0524,5010
ICI,7/14/2010 00:00:00,22.0576,22.0576,18.2294,18.2294,69700
ICI,7/15/2010 00:00:00,20.0524,20.0524,18.2294,19.1409,22810
ICI,7/16/2010 00:00:00,21.2373,21.2373,19.3232,21.2373,78070
ICI,7/19/2010 00:00:00,22.8779,22.8779,22.7868,22.8779,58200
ICI,7/20/2010 00:00:00,25.1566,25.1566,20.9639,20.9639,10100
ICI,7/21/2010 00:00:00,21.055,21.1462,20.2347,20.2347,23400
ICI,7/22/2010 00:00:00,19.1409,20.9639,19.1409,20.0524,28800
ICI,7/23/2010 00:00:00,21.3284,21.3284,21.3284,21.3284,400
ICI,7/26/2010 00:00:00,21.2373,21.2373,19.2321,19.2321,2200
ICI,7/27/2010 00:00:00,17.7737,19.3232,17.5003,17.5003,15500
ICI,7/28/2010 00:00:00,17.318,17.318,16.8622,16.8622,4800
ICI,7/29/2010 00:00:00,18.6852,18.6852,18.1383,18.1383,200
ICI,7/30/2010 00:00:00,16.8622,17.318,16.8622,17.318,8200
ICI,8/2/2010 00:00:00,17.318,18.3206,17.318,17.318,2500
ICI,8/4/2010 00:00:00,19.1409,19.1409,19.1409,19.1409,3000
ICI,8/5/2010 00:00:00,20.9639,20.9639,17.2268,17.2268,10200
ICI,8/6/2010 00:00:00,16.8622,16.8622,16.4976,16.4976,3200
ICI,8/9/2010 00:00:00,14.9481,17.2268,14.9481,17.2268,700
ICI,8/10/2010 00:00:00,17.0445,17.0445,17.0445,17.0445,100
ICI,8/11/2010 00:00:00,18.1383,18.1383,17.7737,17.7737,200
ICI,8/12/2010 00:00:00,17.956,17.956,17.956,17.956,100
ICI,8/13/2010 00:00:00,19.5966,19.5966,19.5966,19.5966,100
ICI,8/16/2010 00:00:00,17.6826,17.6826,17.6826,17.6826,100
ICI,8/17/2010 00:00:00,18.6852,18.6852,15.9508,15.9508,3200
ICI,8/18/2010 00:00:00,17.7737,17.7737,15.495,15.495,600
ICI,8/19/2010 00:00:00,17.318,17.318,14.3101,14.3101,12800
ICI,8/20/2010 00:00:00,15.5862,15.5862,15.5862,15.5862,100
ICI,8/23/2010 00:00:00,17.1357,17.1357,14.0367,14.0367,6500
ICI,8/24/2010 00:00:00,15.4039,15.4039,12.7606,12.7606,9700
ICI,8/25/2010 00:00:00,13.6721,13.6721,13.6721,13.6721,100
ICI,8/26/2010 00:00:00,13.6721,13.6721,12.3049,12.3049,4000
ICI,8/27/2010 00:00:00,14.1278,14.1278,12.7606,12.7606,900
ICI,8/30/2010 00:00:00,13.5809,14.219,13.5809,14.219,14000
ICI,8/31/2010 00:00:00,14.9481,15.0393,14.857,15.0393,4100
ICI,9/1/2010 00:00:00,13.8544,13.8544,13.6721,13.6721,3100
ICI,9/6/2010 00:00:00,14.1278,14.1278,12.4872,14.1278,2600
ICI,9/7/2010 00:00:00,14.0367,14.0367,14.0367,14.0367,100
ICI,9/8/2010 00:00:00,15.0393,15.0393,12.7606,13.6721,3400
ICI,9/9/2010 00:00:00,12.7606,13.6721,12.7606,13.6721,600
ICI,9/10/2010 00:00:00,13.4898,13.4898,12.2137,12.3049,8100
ICI,9/13/2010 00:00:00,11.2111,12.9429,10.9377,12.9429,1300
ICI,9/14/2010 00:00:00,11.4845,12.8518,11.4845,12.8518,2400
ICI,9/15/2010 00:00:00,13.034,13.034,11.3934,11.3934,1500
ICI,9/17/2010 00:00:00,12.4872,12.7606,12.4872,12.7606,3100
