Ticker,Date/Time,Open,High,Low,Close,Volume
IN4,5/31/2010 00:00:00,4.25058,4.25058,4.25058,4.25058,100
IN4,6/3/2010 00:00:00,4.29267,4.29267,4.29267,4.29267,900
IN4,6/25/2010 00:00:00,4.62935,4.62935,4.62935,4.62935,2900
IN4,7/2/2010 00:00:00,4.41892,4.41892,4.41892,4.41892,350
IN4,7/6/2010 00:00:00,3.99807,3.99807,3.97703,3.97703,2300
IN4,7/7/2010 00:00:00,3.61931,3.61931,3.61931,3.61931,500
IN4,7/8/2010 00:00:00,3.26159,3.97703,3.26159,3.97703,1630
IN4,7/12/2010 00:00:00,3.30367,4.01912,3.30367,4.01912,520
IN4,7/13/2010 00:00:00,3.61931,3.61931,3.61931,3.61931,500
IN4,7/15/2010 00:00:00,4.22954,4.22954,4.22954,4.22954,1000
IN4,7/16/2010 00:00:00,3.82973,3.99807,3.80869,3.80869,2080
IN4,7/19/2010 00:00:00,3.45097,3.45097,3.45097,3.45097,900
IN4,7/20/2010 00:00:00,3.17742,3.17742,3.17742,3.17742,100
IN4,8/2/2010 00:00:00,3.49305,3.49305,3.49305,3.49305,100
IN4,8/3/2010 00:00:00,3.76661,3.76661,3.76661,3.76661,100
IN4,8/6/2010 00:00:00,4.12433,4.12433,4.12433,4.12433,100
IN4,8/10/2010 00:00:00,4.50309,4.50309,4.50309,4.50309,100
IN4,8/12/2010 00:00:00,4.94499,4.94499,4.94499,4.94499,100
IN4,8/16/2010 00:00:00,5.36584,5.36584,5.36584,5.36584,100
IN4,9/16/2010 00:00:00,4.83977,4.83977,4.83977,4.83977,100
IN4,9/21/2010 00:00:00,4.3558,4.3558,4.3558,4.3558,100
IN4,9/22/2010 00:00:00,3.93495,3.93495,3.93495,3.93495,100
IN4,9/23/2010 00:00:00,3.55618,3.55618,3.55618,3.55618,200
IN4,9/24/2010 00:00:00,3.89286,3.89286,3.89286,3.89286,100
IN4,9/28/2010 00:00:00,3.5141,3.5141,3.5141,3.5141,100
IN4,9/29/2010 00:00:00,3.17742,3.17742,3.17742,3.17742,100
IN4,9/30/2010 00:00:00,2.86178,2.86178,2.86178,2.86178,100
IN4,10/4/2010 00:00:00,3.13533,3.13533,3.13533,3.13533,100
IN4,10/25/2010 00:00:00,2.91138,2.91138,2.91138,2.91138,100
IN4,10/26/2010 00:00:00,3.20252,3.20252,3.20252,3.20252,100
IN4,10/29/2010 00:00:00,3.33689,3.33689,3.33689,3.33689,100
IN4,11/2/2010 00:00:00,3.53845,3.53845,3.35928,3.35928,200
IN4,11/3/2010 00:00:00,3.60563,3.60563,3.60563,3.60563,200
IN4,11/4/2010 00:00:00,3.35928,3.35928,3.35928,3.35928,500
IN4,11/5/2010 00:00:00,3.13533,3.13533,3.06815,3.06815,1100
IN4,11/8/2010 00:00:00,2.91138,2.91138,2.91138,2.91138,100
IN4,11/9/2010 00:00:00,2.91138,3.11294,2.91138,3.11294,400
IN4,11/10/2010 00:00:00,3.06815,3.06815,2.75461,2.75461,200
