Ticker,Date/Time,Open,High,Low,Close,Volume
INC,8/30/2011 00:00:00,3.8586,3.8586,3.8586,3.8586,200
INC,9/8/2011 00:00:00,3.62892,3.62892,3.62892,3.62892,100
INC,9/9/2011 00:00:00,3.39925,3.39925,3.39925,3.39925,1400
INC,9/12/2011 00:00:00,3.16957,3.16957,3.16957,3.16957,100
INC,9/13/2011 00:00:00,3.12363,3.12363,2.98582,2.98582,13900
INC,9/14/2011 00:00:00,3.0777,3.0777,3.0777,3.0777,1100
INC,9/15/2011 00:00:00,2.89395,2.89395,2.89395,2.89395,1200
INC,9/16/2011 00:00:00,2.71021,2.71021,2.71021,2.71021,1000
INC,9/20/2011 00:00:00,2.84802,2.84802,2.5724,2.75615,1800
INC,9/21/2011 00:00:00,2.84802,2.84802,2.84802,2.84802,2600
INC,9/22/2011 00:00:00,2.98582,2.98582,2.98582,2.98582,100
INC,9/23/2011 00:00:00,2.93989,2.93989,2.80208,2.80208,4100
INC,9/27/2011 00:00:00,2.61834,2.61834,2.61834,2.61834,6100
INC,9/28/2011 00:00:00,2.5724,2.5724,2.5724,2.5724,1100
INC,10/4/2011 00:00:00,2.71021,2.71021,2.71021,2.71021,2500
INC,10/5/2011 00:00:00,2.52647,2.52647,2.52647,2.52647,100
INC,10/10/2011 00:00:00,2.43459,2.43459,2.43459,2.43459,100
INC,10/18/2011 00:00:00,2.29679,2.29679,2.29679,2.29679,100
INC,10/20/2011 00:00:00,2.43459,2.43459,2.43459,2.43459,100
INC,10/21/2011 00:00:00,2.5724,2.5724,2.29679,2.29679,300
INC,10/24/2011 00:00:00,2.52647,2.52647,2.52647,2.52647,200
INC,10/25/2011 00:00:00,2.66427,2.66427,2.38866,2.38866,300
INC,10/26/2011 00:00:00,2.61834,2.61834,2.61834,2.61834,100
INC,10/27/2011 00:00:00,2.66427,2.66427,2.48053,2.48053,200
INC,10/28/2011 00:00:00,2.43459,2.43459,2.43459,2.43459,200
INC,10/31/2011 00:00:00,2.5724,2.5724,2.5724,2.5724,100
INC,11/1/2011 00:00:00,2.71021,2.71021,2.43459,2.43459,900
INC,11/3/2011 00:00:00,2.5724,2.5724,2.34272,2.34272,200
INC,11/4/2011 00:00:00,2.38866,2.38866,2.38866,2.38866,100
INC,11/7/2011 00:00:00,2.29679,2.52647,2.29679,2.52647,300
INC,11/9/2011 00:00:00,2.25085,2.25085,2.25085,2.25085,100
INC,11/10/2011 00:00:00,2.29679,2.29679,2.29679,2.29679,300
INC,11/11/2011 00:00:00,2.15898,2.15898,2.15898,2.15898,100
INC,11/14/2011 00:00:00,2.06711,2.06711,2.02117,2.02117,300
INC,11/15/2011 00:00:00,1.9293,1.9293,1.9293,1.9293,100
INC,11/16/2011 00:00:00,2.02117,2.02117,2.02117,2.02117,400
INC,11/17/2011 00:00:00,2.02117,2.02117,1.88337,1.88337,1000
INC,11/18/2011 00:00:00,2.02117,2.02117,1.83743,1.83743,300
INC,11/21/2011 00:00:00,1.83743,1.83743,1.83743,1.83743,200
INC,11/25/2011 00:00:00,1.9293,1.9293,1.9293,1.9293,200
INC,11/28/2011 00:00:00,1.83743,2.02117,1.83743,2.02117,500
INC,12/7/2011 00:00:00,1.82776,2.03084,1.82776,2.03084,1100
INC,12/15/2011 00:00:00,1.9293,1.9293,1.9293,1.9293,100
INC,12/16/2011 00:00:00,1.82776,1.82776,1.82776,1.82776,100
INC,12/19/2011 00:00:00,1.72622,1.72622,1.72622,1.72622,100
INC,12/20/2011 00:00:00,1.62468,1.62468,1.62468,1.62468,100
INC,12/21/2011 00:00:00,1.72622,1.72622,1.72622,1.72622,1000
INC,12/23/2011 00:00:00,1.62468,1.62468,1.62468,1.62468,200
INC,12/26/2011 00:00:00,1.52313,1.52313,1.52313,1.52313,100
INC,12/29/2011 00:00:00,1.62468,1.62468,1.62468,1.62468,3500
INC,12/30/2011 00:00:00,1.72622,1.72622,1.72622,1.72622,2000
INC,1/3/2012 00:00:00,1.82776,1.82776,1.82776,1.82776,100
INC,1/4/2012 00:00:00,1.9293,1.9293,1.9293,1.9293,200
INC,1/5/2012 00:00:00,2.03084,2.03084,1.9293,1.9293,1100
INC,1/10/2012 00:00:00,1.98007,1.98007,1.98007,1.98007,900
INC,1/12/2012 00:00:00,2.08161,2.08161,2.08161,2.08161,100
INC,1/17/2012 00:00:00,1.98007,2.18316,1.98007,2.18316,200
INC,1/20/2012 00:00:00,1.98007,1.98007,1.98007,1.98007,100
INC,2/1/2012 00:00:00,2.08161,2.08161,1.9293,1.9293,300
INC,2/3/2012 00:00:00,1.87853,1.87853,1.87853,1.87853,100
INC,2/6/2012 00:00:00,1.98007,1.98007,1.98007,1.98007,1000
INC,2/7/2012 00:00:00,2.03084,2.03084,1.87853,1.87853,200
INC,2/9/2012 00:00:00,2.08161,2.08161,2.08161,2.08161,1000
INC,2/10/2012 00:00:00,1.98007,2.18316,1.98007,2.18316,200
INC,2/13/2012 00:00:00,2.18316,2.18316,2.18316,2.18316,100
INC,2/14/2012 00:00:00,2.03084,2.33547,2.03084,2.33547,200
INC,2/15/2012 00:00:00,2.03084,2.03084,2.03084,2.03084,200
INC,2/17/2012 00:00:00,2.08161,2.08161,1.98007,1.98007,300
INC,2/21/2012 00:00:00,1.9293,1.9293,1.9293,1.9293,100
INC,2/22/2012 00:00:00,1.82776,1.82776,1.82776,1.82776,300
INC,2/23/2012 00:00:00,1.9293,1.9293,1.82776,1.82776,2600
INC,2/24/2012 00:00:00,1.9293,1.9293,1.9293,1.9293,1500
INC,2/27/2012 00:00:00,2.03084,2.03084,2.03084,2.03084,1100
INC,2/28/2012 00:00:00,2.08161,2.13239,2.08161,2.13239,1000
INC,2/29/2012 00:00:00,2.18316,2.23393,2.18316,2.23393,2500
INC,3/1/2012 00:00:00,2.33547,2.33547,2.33547,2.33547,1000
INC,3/2/2012 00:00:00,2.48778,2.48778,2.48778,2.48778,3500
INC,3/5/2012 00:00:00,2.6401,2.6401,2.48778,2.48778,5500
INC,3/6/2012 00:00:00,2.74164,2.74164,2.74164,2.74164,100
INC,3/7/2012 00:00:00,2.58933,2.58933,2.58933,2.58933,1600
INC,3/8/2012 00:00:00,2.43701,2.43701,2.43701,2.43701,10000
INC,3/9/2012 00:00:00,2.43701,2.43701,2.33547,2.33547,1900
INC,3/12/2012 00:00:00,2.33547,2.33547,2.23393,2.23393,3500
INC,3/13/2012 00:00:00,2.33547,2.38624,2.33547,2.38624,2000
INC,3/15/2012 00:00:00,2.23393,2.23393,2.23393,2.23393,100
INC,3/16/2012 00:00:00,2.38624,2.38624,2.38624,2.38624,100
INC,3/19/2012 00:00:00,2.2847,2.2847,2.2847,2.2847,100
INC,3/20/2012 00:00:00,2.18316,2.18316,2.18316,2.18316,100
INC,3/22/2012 00:00:00,2.33547,2.33547,2.33547,2.33547,200
INC,3/23/2012 00:00:00,2.48778,2.48778,2.48778,2.48778,1000
INC,3/26/2012 00:00:00,2.58933,2.58933,2.58933,2.58933,3100
INC,3/29/2012 00:00:00,2.48778,2.48778,2.48778,2.48778,200
INC,3/30/2012 00:00:00,2.38624,2.38624,2.38624,2.38624,100
INC,4/4/2012 00:00:00,2.53855,2.53855,2.53855,2.53855,100
INC,4/5/2012 00:00:00,2.43701,2.48778,2.43701,2.48778,5700
INC,4/6/2012 00:00:00,2.6401,2.6401,2.6401,2.6401,100
INC,4/9/2012 00:00:00,2.79241,2.79241,2.79241,2.79241,300
INC,4/10/2012 00:00:00,2.6401,2.79241,2.6401,2.79241,3100
INC,4/11/2012 00:00:00,2.6401,2.6401,2.6401,2.6401,200
INC,4/12/2012 00:00:00,2.69087,2.69087,2.58933,2.58933,1100
INC,4/13/2012 00:00:00,2.48778,2.53855,2.48778,2.53855,200
INC,4/16/2012 00:00:00,2.69087,2.69087,2.69087,2.69087,100
INC,4/17/2012 00:00:00,2.79241,2.79241,2.79241,2.79241,4100
INC,4/18/2012 00:00:00,2.74164,2.79241,2.74164,2.74164,4000
INC,4/19/2012 00:00:00,2.6401,2.6401,2.6401,2.6401,9400
INC,4/20/2012 00:00:00,2.53855,2.58933,2.53855,2.58933,1200
INC,4/23/2012 00:00:00,2.69087,2.69087,2.69087,2.69087,3000
INC,4/24/2012 00:00:00,2.79241,2.79241,2.69087,2.69087,200
INC,4/25/2012 00:00:00,2.69087,2.79241,2.69087,2.79241,4400
