Ticker,Date/Time,Open,High,Low,Close,Volume
L10,12/26/2007 00:00:00,15.7061,16.0202,15.7061,16.0202,36490
L10,12/27/2007 00:00:00,16.6484,16.8055,16.4914,16.8055,30550
L10,12/28/2007 00:00:00,17.5908,17.5908,17.5908,17.5908,17400
L10,1/2/2008 00:00:00,18.3761,18.3761,18.219,18.3761,80150
L10,1/3/2008 00:00:00,18.3761,18.3761,17.5908,17.5908,56420
L10,1/4/2008 00:00:00,16.8055,17.1196,16.8055,16.8055,31940
L10,1/7/2008 00:00:00,16.8055,16.8055,16.0202,16.0202,20920
L10,1/8/2008 00:00:00,16.3343,16.8055,16.3343,16.4914,21910
L10,1/9/2008 00:00:00,16.4914,16.4914,15.8631,15.8631,24200
L10,1/10/2008 00:00:00,15.4234,15.4548,15.0778,15.392,26370
L10,1/11/2008 00:00:00,16.0202,16.0202,15.8631,16.0202,41090
L10,1/14/2008 00:00:00,15.392,16.6484,15.2663,15.2663,18060
L10,1/15/2008 00:00:00,14.8265,14.9208,14.5124,14.5124,23120
L10,1/16/2008 00:00:00,15.2349,15.2349,15.2349,15.2349,22590
L10,1/17/2008 00:00:00,15.8631,15.8631,15.0778,15.2349,41980
L10,1/18/2008 00:00:00,14.7951,15.7061,14.7951,15.7061,21720
L10,1/21/2008 00:00:00,15.7061,15.7061,15.2349,15.2349,13750
L10,1/22/2008 00:00:00,14.7637,15.0778,14.7637,14.9208,18720
L10,1/23/2008 00:00:00,14.4496,14.481,14.1983,14.1983,30630
L10,1/24/2008 00:00:00,14.5124,14.5124,13.5072,13.5072,12390
L10,1/25/2008 00:00:00,13.5072,13.5072,13.1931,13.3502,12870
L10,1/28/2008 00:00:00,13.036,13.0989,12.6905,12.6905,19180
L10,1/29/2008 00:00:00,12.1879,12.879,12.1879,12.879,39900
L10,1/30/2008 00:00:00,13.5072,13.5072,13.5072,13.5072,25070
L10,1/31/2008 00:00:00,13.7899,13.7899,13.1931,13.7585,18680
L10,2/1/2008 00:00:00,14.1355,14.4182,13.8842,14.3868,22000
L10,2/12/2008 00:00:00,13.6957,13.8213,13.6957,13.7271,9910
L10,2/13/2008 00:00:00,13.7271,13.7271,13.0989,13.1303,11960
L10,2/14/2008 00:00:00,13.3502,13.7585,13.3502,13.3502,15850
L10,2/15/2008 00:00:00,12.879,13.1931,12.879,13.036,15800
L10,2/18/2008 00:00:00,12.4078,12.7219,12.4078,12.5649,16350
L10,2/19/2008 00:00:00,12.2507,12.5649,12.2507,12.5649,11150
L10,2/20/2008 00:00:00,11.9366,12.879,11.9366,11.9366,14780
L10,2/21/2008 00:00:00,11.3398,11.3398,11.3398,11.3398,6510
L10,2/22/2008 00:00:00,10.7744,10.7744,10.7744,10.7744,12680
L10,2/25/2008 00:00:00,10.7115,11.3084,10.7115,11.3084,19770
L10,2/26/2008 00:00:00,11.6225,11.6225,10.743,10.743,8640
L10,2/27/2008 00:00:00,10.2089,10.743,10.2089,10.2089,18830
L10,2/28/2008 00:00:00,9.80059,10.0519,9.73777,10.0519,3990
L10,2/29/2008 00:00:00,9.54929,9.58071,9.54929,9.54929,17180
L10,3/3/2008 00:00:00,9.07811,9.89483,9.07811,9.07811,11560
L10,3/4/2008 00:00:00,8.63834,8.63834,8.63834,8.63834,24590
L10,3/5/2008 00:00:00,8.22998,8.22998,8.22998,8.22998,19350
L10,3/6/2008 00:00:00,8.63834,8.63834,8.63834,8.63834,2100
L10,3/7/2008 00:00:00,9.0467,9.0467,9.0467,9.0467,1090
L10,3/10/2008 00:00:00,9.48647,9.48647,9.48647,9.48647,23470
L10,3/11/2008 00:00:00,9.42365,9.42365,9.01529,9.0467,23240
L10,3/12/2008 00:00:00,8.70117,9.42365,8.70117,9.26658,12630
L10,3/13/2008 00:00:00,9.70635,9.70635,9.61212,9.70635,12090
L10,3/14/2008 00:00:00,9.93134,9.93134,9.28853,9.38495,6710
L10,3/17/2008 00:00:00,8.93499,8.99927,8.93499,8.93499,9170
L10,3/18/2008 00:00:00,8.51717,8.51717,8.51717,8.51717,7960
L10,3/19/2008 00:00:00,8.13148,8.93499,8.13148,8.13148,28020
L10,3/20/2008 00:00:00,8.13148,8.48502,8.03506,8.03506,26000
