Ticker,Date/Time,Open,High,Low,Close,Volume
LCC,5/10/2010 00:00:00,9,10.8,9,10.8,7200
LCC,5/11/2010 00:00:00,11,11,11,11,5000
LCC,5/13/2010 00:00:00,11,11,11,11,4000
LCC,5/14/2010 00:00:00,12.1,12.1,12.1,12.1,10
LCC,5/24/2010 00:00:00,10.9,10.9,10.9,10.9,500
LCC,6/3/2010 00:00:00,10.5,10.5,10.5,10.5,150
LCC,6/9/2010 00:00:00,9.5,9.5,9.5,9.5,4000
LCC,6/11/2010 00:00:00,9.9,9.9,9.9,9.9,5000
LCC,6/22/2010 00:00:00,9,9,9,9,5000
LCC,6/23/2010 00:00:00,9.9,9.9,9.9,9.9,10
LCC,6/24/2010 00:00:00,9.8,10.1,9.8,10.1,5000
LCC,6/25/2010 00:00:00,10,10.8,10,10,3590
LCC,6/29/2010 00:00:00,11.3,11.3,10.5,11,4100
LCC,6/30/2010 00:00:00,12.1,12.1,12.1,12.1,20
LCC,7/1/2010 00:00:00,10.9,13.3,10.9,13.3,1020
LCC,7/2/2010 00:00:00,13.2,14.5,13.2,13.5,25990
LCC,7/5/2010 00:00:00,12.5,12.5,12.5,12.5,5200
LCC,7/6/2010 00:00:00,13.7,13.7,13.7,13.7,1000
LCC,7/7/2010 00:00:00,12.4,12.4,12.4,12.4,1000
LCC,7/8/2010 00:00:00,13.6,13.6,13.6,13.6,10
LCC,7/9/2010 00:00:00,14.9,14.9,14.9,14.9,20
LCC,7/13/2010 00:00:00,16.3,16.3,13.5,13.5,15020
LCC,7/14/2010 00:00:00,14.8,14.8,12.2,13,29600
LCC,7/16/2010 00:00:00,12.2,12.2,12.2,12.2,26000
LCC,7/19/2010 00:00:00,12.2,12.2,12,12,12300
LCC,7/20/2010 00:00:00,11.7,11.7,11.5,11.5,2000
LCC,7/21/2010 00:00:00,12.5,12.5,12.5,12.5,100
LCC,7/22/2010 00:00:00,12.9,12.9,12.9,12.9,100
LCC,7/23/2010 00:00:00,12.8,12.8,12.8,12.8,100
LCC,7/26/2010 00:00:00,13,13,13,13,100
LCC,7/27/2010 00:00:00,13.3,13.3,11.7,12.7,2000
LCC,7/28/2010 00:00:00,12.7,12.7,10.7,10.7,600
LCC,7/29/2010 00:00:00,10.3,12,10.3,12,2700
LCC,7/30/2010 00:00:00,10,10,10,10,400
LCC,8/2/2010 00:00:00,9.5,9.5,9,9,1000
LCC,8/3/2010 00:00:00,8.4,8.8,8.2,8.8,6000
LCC,8/4/2010 00:00:00,9.1,9.1,9.1,9.1,100
LCC,8/5/2010 00:00:00,10,10,9.6,9.6,200
LCC,8/6/2010 00:00:00,9.2,9.2,9.2,9.2,400
LCC,8/9/2010 00:00:00,10,10,8.5,9.2,600
LCC,8/13/2010 00:00:00,8.2,8.2,8.2,8.2,100
LCC,8/16/2010 00:00:00,8,9,8,9,200
LCC,8/17/2010 00:00:00,9.3,9.3,9,9,400
LCC,8/18/2010 00:00:00,9.5,9.5,9.5,9.5,100
LCC,8/19/2010 00:00:00,8.6,9.7,8.6,9.7,400
LCC,8/20/2010 00:00:00,8.7,8.7,8.6,8.6,200
LCC,8/23/2010 00:00:00,8,9.2,8,9.2,700
LCC,8/26/2010 00:00:00,9.8,9.8,9.8,9.8,200
LCC,8/27/2010 00:00:00,8.9,8.9,8.9,8.9,100
LCC,8/30/2010 00:00:00,9.1,9.1,9.1,9.1,100
LCC,9/1/2010 00:00:00,8.3,9.3,8.3,9.3,200
LCC,9/6/2010 00:00:00,8.2,8.2,8.2,8.2,100
LCC,9/7/2010 00:00:00,8.8,8.8,8.8,8.8,1000
LCC,9/8/2010 00:00:00,8,8,8,8,700
