Ticker,Date/Time,Open,High,Low,Close,Volume
LEC,6/15/2017 00:00:00,14.1,14.1,14.1,14.1,2160
LEC,6/16/2017 00:00:00,15.05,15.05,15.05,15.05,5190
LEC,6/19/2017 00:00:00,16.1,16.1,16.1,16.1,5500
LEC,6/20/2017 00:00:00,17.2,17.2,17.2,17.2,3420
LEC,6/21/2017 00:00:00,18.4,18.4,18.4,18.4,9270
LEC,6/22/2017 00:00:00,19.65,19.65,19.65,19.65,4020
LEC,6/23/2017 00:00:00,21,21,21,21,20460
LEC,6/26/2017 00:00:00,22.45,22.45,22.45,22.45,8340
LEC,6/27/2017 00:00:00,24,24,24,24,15980
LEC,6/28/2017 00:00:00,25.65,25.65,24,25.65,47590
LEC,6/29/2017 00:00:00,27.4,27.4,26,27.4,22540
LEC,6/30/2017 00:00:00,29.3,29.3,29.3,29.3,13500
LEC,7/3/2017 00:00:00,31.35,31.35,31.35,31.35,16350
LEC,7/4/2017 00:00:00,33.5,33.5,32,33.5,37330
LEC,7/5/2017 00:00:00,35.8,35.8,31.2,31.2,44350
LEC,7/6/2017 00:00:00,31.2,31.2,29.05,29.4,65080
LEC,7/7/2017 00:00:00,27.35,29,27.35,29,11190
LEC,7/10/2017 00:00:00,27,27,27,27,4350
LEC,7/11/2017 00:00:00,25.15,27,25.15,25.15,2480
LEC,7/12/2017 00:00:00,23.4,23.4,23.4,23.4,1380
LEC,7/13/2017 00:00:00,21.8,21.8,21.8,21.8,1330
LEC,7/14/2017 00:00:00,20.3,23.3,20.3,23.3,48620
LEC,7/17/2017 00:00:00,24.9,24.9,24.4,24.5,25600
LEC,7/18/2017 00:00:00,24.5,24.5,22.8,24,7700
LEC,7/19/2017 00:00:00,23,23,22.35,22.35,5310
LEC,7/20/2017 00:00:00,20.8,23.5,20.8,21.6,15220
LEC,7/21/2017 00:00:00,21,21.5,20.2,21.5,3270
LEC,7/24/2017 00:00:00,21.5,21.6,20.3,20.4,12670
