Ticker,Date/Time,Open,High,Low,Close,Volume
LIC,7/12/2017 00:00:00,6.8,6.8,6.8,6.8,8000
LIC,7/13/2017 00:00:00,7.8,7.8,7.8,7.8,13000
LIC,7/14/2017 00:00:00,8.9,8.9,8.9,8.9,7200
LIC,7/17/2017 00:00:00,10.2,10.2,10.2,10.2,3700
LIC,7/18/2017 00:00:00,10.2,10.2,10.2,10.2,300
LIC,7/19/2017 00:00:00,8.7,8.7,8.7,8.7,500
LIC,7/25/2017 00:00:00,7.4,8.2,7.4,7.4,400
LIC,7/26/2017 00:00:00,8.6,8.6,8.6,8.6,100
LIC,7/27/2017 00:00:00,7.4,7.4,7.4,7.4,100
LIC,8/1/2017 00:00:00,8.2,8.2,8.2,8.2,400
LIC,8/3/2017 00:00:00,8,8.2,7,7,2000
LIC,8/4/2017 00:00:00,8.2,8.2,8.2,8.2,100
LIC,8/9/2017 00:00:00,9.3,9.3,9.3,9.3,200
LIC,8/11/2017 00:00:00,7.5,7.5,7.5,7.5,500
LIC,8/14/2017 00:00:00,6.4,6.4,6.4,6.4,200
LIC,8/21/2017 00:00:00,6,6,6,6,300
LIC,8/23/2017 00:00:00,6.9,6.9,6.9,6.9,300
LIC,8/31/2017 00:00:00,7,7,7,7,100
LIC,9/5/2017 00:00:00,6.6,6.6,6.6,6.6,3000
LIC,9/7/2017 00:00:00,6.6,6.6,6.6,6.6,100
LIC,9/11/2017 00:00:00,7,7,7,7,300
LIC,9/21/2017 00:00:00,6,6,6,6,2000
LIC,9/26/2017 00:00:00,6,6,6,6,600
LIC,9/29/2017 00:00:00,6,6,6,6,400
LIC,10/10/2017 00:00:00,6.5,6.5,6.5,6.5,1000
LIC,10/26/2017 00:00:00,7,7,7,7,100
LIC,11/2/2017 00:00:00,7.5,7.5,7.5,7.5,100
LIC,11/3/2017 00:00:00,8,8,8,8,100
LIC,11/8/2017 00:00:00,8.5,8.5,8.5,8.5,100
LIC,11/10/2017 00:00:00,9.7,9.7,9.7,9.7,100
LIC,11/20/2017 00:00:00,9.7,9.7,9.7,9.7,3000
LIC,12/1/2017 00:00:00,8.3,8.3,8.3,8.3,3000
LIC,12/7/2017 00:00:00,9.5,9.5,9.5,9.5,100
LIC,12/8/2017 00:00:00,9.9,9.9,9.9,9.9,100
LIC,12/26/2017 00:00:00,9.9,9.9,9.9,9.9,1000
LIC,1/3/2018 00:00:00,9,9,8.6,8.9,2100
LIC,1/8/2018 00:00:00,9.6,9.6,8.9,8.9,2000
LIC,1/9/2018 00:00:00,8,8,8,8,200
LIC,1/10/2018 00:00:00,7.5,7.5,7.5,7.5,1300
LIC,1/11/2018 00:00:00,7,7,7,7,3400
LIC,1/15/2018 00:00:00,8,8,8,8,200
LIC,1/19/2018 00:00:00,9,9,9,9,1000
LIC,2/5/2018 00:00:00,7.7,7.7,7.7,7.7,500
LIC,2/26/2018 00:00:00,7,7,7,7,500
LIC,2/27/2018 00:00:00,7,7,7,7,500
LIC,3/5/2018 00:00:00,7.8,7.8,7.8,7.8,1000
LIC,3/8/2018 00:00:00,7.9,7.9,7.9,7.9,100
LIC,3/9/2018 00:00:00,6.8,8,6.8,8,300
LIC,3/28/2018 00:00:00,7.6,7.6,7.6,7.6,210
LIC,3/30/2018 00:00:00,7.5,7.5,7.5,7.5,200
LIC,4/16/2018 00:00:00,7.5,7.5,7.5,7.5,1000
LIC,4/17/2018 00:00:00,7.5,7.5,7.5,7.5,1000
LIC,6/4/2018 00:00:00,4.5,4.5,4.5,4.5,100
LIC,6/5/2018 00:00:00,5.1,5.1,4.8,4.8,2500
LIC,6/7/2018 00:00:00,5,5,5,5,100
