Ticker,Date/Time,Open,High,Low,Close,Volume
MTL,5/11/2016 00:00:00,12.4081,12.4081,12.4081,12.4081,200
MTL,5/12/2016 00:00:00,14.1949,14.1949,14.1949,14.1949,1500
MTL,5/13/2016 00:00:00,16.1801,16.1801,14.1949,14.1949,500
MTL,5/16/2016 00:00:00,16.1801,16.1801,13.8971,14.5919,2300
MTL,5/24/2016 00:00:00,16.3787,16.3787,16.3787,16.3787,100
MTL,5/25/2016 00:00:00,18.761,18.761,18.761,18.761,100
MTL,5/26/2016 00:00:00,19.8529,19.8529,15.9816,15.9816,200
MTL,5/27/2016 00:00:00,15.2868,15.2868,15.2868,15.2868,100
MTL,5/30/2016 00:00:00,15.1875,15.2868,13.8971,13.8971,1100
MTL,5/31/2016 00:00:00,13.8971,14.5919,13.8971,14.5919,600
MTL,6/2/2016 00:00:00,15.386,15.386,15.386,15.386,100
MTL,6/14/2016 00:00:00,14.8897,14.8897,14.8897,14.8897,100
MTL,7/1/2016 00:00:00,14.6912,14.7904,14.6912,14.7904,200
MTL,7/18/2016 00:00:00,15.8824,15.8824,15.8824,15.8824,100
MTL,8/1/2016 00:00:00,13.5,13.5,13.5,13.5,100
MTL,11/28/2016 00:00:00,13.5,13.5,13.5,13.5,100
MTL,1/13/2017 00:00:00,8.1,8.1,8.1,8.1,1700
MTL,1/16/2017 00:00:00,8.4,8.4,8.4,8.4,100
MTL,1/23/2017 00:00:00,9.6,9.6,9.6,9.6,100
MTL,2/28/2017 00:00:00,8.5,8.5,8.2,8.2,200
MTL,3/1/2017 00:00:00,7.3,7.3,7.2,7.2,200
MTL,3/3/2017 00:00:00,6.4,6.4,6.3,6.3,200
MTL,3/14/2017 00:00:00,5.6,5.6,5.6,5.6,100
MTL,3/15/2017 00:00:00,4.8,6,4.8,6,200
MTL,3/27/2017 00:00:00,4.6,4.6,4.6,4.6,900
MTL,3/30/2017 00:00:00,4,4,4,4,900
MTL,3/31/2017 00:00:00,3.4,3.4,3.4,3.4,800
MTL,4/5/2017 00:00:00,3.9,3.9,3.9,3.9,200
MTL,4/19/2017 00:00:00,4.4,4.4,4.4,4.4,100
MTL,4/27/2017 00:00:00,5,5,5,5,900
MTL,5/5/2017 00:00:00,4.3,4.3,4.3,4.3,400
MTL,6/8/2017 00:00:00,3.7,3.7,3.7,3.7,100
MTL,6/9/2017 00:00:00,3.2,3.2,3.2,3.2,100
MTL,6/14/2017 00:00:00,3.6,3.6,3.6,3.6,100
MTL,6/15/2017 00:00:00,4.1,4.1,4.1,4.1,100
MTL,6/30/2017 00:00:00,4.7,4.7,4.7,4.7,100
MTL,7/3/2017 00:00:00,5.4,5.4,5.4,5.4,100
MTL,7/4/2017 00:00:00,6.2,6.2,6.2,6.2,100
MTL,7/5/2017 00:00:00,7.1,7.1,7.1,7.1,100
MTL,7/10/2017 00:00:00,8.1,8.1,8.1,8.1,100
MTL,7/11/2017 00:00:00,9.3,9.3,9.3,9.3,100
MTL,7/13/2017 00:00:00,10.6,10.6,10.6,10.6,100
MTL,7/18/2017 00:00:00,12.1,12.1,12.1,12.1,100
MTL,7/24/2017 00:00:00,13.9,13.9,13.9,13.9,100
MTL,6/8/2020 00:00:00,11,11,11,11,100
MTL,10/1/2020 00:00:00,11,11,11,11,3300
MTL,10/2/2020 00:00:00,10,10,10,10,5000
MTL,11/16/2020 00:00:00,10,10,10,10,100
MTL,11/26/2020 00:00:00,8.5,8.5,8.5,8.5,100
MTL,12/2/2020 00:00:00,7.3,7.3,7.3,7.3,100
MTL,12/8/2020 00:00:00,6.3,6.3,6.3,6.3,5800
MTL,12/9/2020 00:00:00,6.3,6.3,6.3,6.3,5200
MTL,12/10/2020 00:00:00,5.4,5.4,5.4,5.4,3100
MTL,12/11/2020 00:00:00,6.2,6.2,6.2,6.2,100
MTL,12/15/2020 00:00:00,5.4,5.4,5.4,5.4,2100
MTL,12/17/2020 00:00:00,4.6,4.6,4.6,4.6,200
MTL,12/18/2020 00:00:00,5.2,5.2,5.2,5.2,100
MTL,12/21/2020 00:00:00,5.9,5.9,5.9,5.9,100
