Ticker,Date/Time,Open,High,Low,Close,Volume
NAW,4/2/2018 00:00:00,8.4,8.4,8.4,8.4,100
NAW,4/9/2018 00:00:00,8,8,8,8,100
NAW,4/10/2018 00:00:00,8,8,8,8,200
NAW,4/11/2018 00:00:00,9.2,9.2,9.2,9.2,100
NAW,4/12/2018 00:00:00,7.9,7.9,7.9,7.9,100
NAW,4/16/2018 00:00:00,9,9,9,9,100
NAW,4/17/2018 00:00:00,10.3,10.3,10.3,10.3,100
NAW,4/18/2018 00:00:00,11.8,11.8,11.8,11.8,100
NAW,4/19/2018 00:00:00,13.5,13.5,13.5,13.5,100
NAW,4/20/2018 00:00:00,15.5,15.5,15.5,15.5,100
NAW,4/23/2018 00:00:00,17.8,17.8,15.1,15.1,800
NAW,4/24/2018 00:00:00,17.7,17.7,15.1,15.1,600
NAW,4/26/2018 00:00:00,15.1,15.1,15.1,15.1,2800
NAW,4/27/2018 00:00:00,12.9,12.9,12.9,12.9,600
NAW,5/2/2018 00:00:00,11,14.8,11,14.8,2900
NAW,5/3/2018 00:00:00,11.9,16.1,11.9,15.5,15500
NAW,5/4/2018 00:00:00,13.2,17.8,13.2,13.2,93900
NAW,5/7/2018 00:00:00,11.6,15.6,11.6,14.2,102600
NAW,5/8/2018 00:00:00,12.3,16.5,12.3,16.5,195000
NAW,5/9/2018 00:00:00,12.4,16.6,12.4,16.6,240000
NAW,5/10/2018 00:00:00,12.8,17.2,12.8,13.2,540000
NAW,5/11/2018 00:00:00,12.6,16.6,12.6,16.6,273400
NAW,5/14/2018 00:00:00,12.8,16.5,12.6,16.5,145700
NAW,5/15/2018 00:00:00,12.3,16.3,12.3,16.3,11300
NAW,5/16/2018 00:00:00,12.8,14.7,12.8,14.7,35100
NAW,5/17/2018 00:00:00,13.1,15,13,15,101100
NAW,5/18/2018 00:00:00,11.3,14.9,11.3,14.9,30100
NAW,5/21/2018 00:00:00,15,15,15,15,15300
NAW,5/22/2018 00:00:00,12.9,13,12.9,13,15700
NAW,5/23/2018 00:00:00,11.3,11.3,11.3,11.3,15000
NAW,5/24/2018 00:00:00,10.1,12.9,10.1,12.9,18400
NAW,5/25/2018 00:00:00,9.6,12.1,9.6,12.1,10700
NAW,5/28/2018 00:00:00,9.1,9.1,9.1,9.1,10000
NAW,5/29/2018 00:00:00,8.3,8.3,7.9,7.9,10800
NAW,5/30/2018 00:00:00,7.1,7.1,7.1,7.1,10000
NAW,5/31/2018 00:00:00,6.5,6.5,6.5,6.5,10000
NAW,6/1/2018 00:00:00,5.7,6.6,5.7,6.6,5800
NAW,6/4/2018 00:00:00,5.8,5.8,5.8,5.8,5000
NAW,6/5/2018 00:00:00,5.1,6.6,5.1,6.6,6400
NAW,6/6/2018 00:00:00,6,6,6,6,3000
NAW,6/7/2018 00:00:00,5.1,6.5,5.1,6.5,4100
NAW,6/8/2018 00:00:00,4.8,4.8,4.8,4.8,3000
NAW,6/11/2018 00:00:00,4.2,5.5,4.2,5.5,18000
NAW,6/12/2018 00:00:00,4.6,6,4.6,6,8800
NAW,6/13/2018 00:00:00,4.8,4.8,4.8,4.8,3000
NAW,6/14/2018 00:00:00,5.5,5.5,5.5,5.5,3000
NAW,6/15/2018 00:00:00,4.7,6.3,4.7,6.3,3500
NAW,6/18/2018 00:00:00,5.1,5.1,5.1,5.1,3000
NAW,6/19/2018 00:00:00,5.8,5.8,5.8,5.8,100
NAW,6/20/2018 00:00:00,5,6.6,5,6.6,5900
NAW,6/21/2018 00:00:00,6.6,6.6,6.6,6.6,6000
NAW,6/22/2018 00:00:00,6,6,6,6,3000
NAW,6/25/2018 00:00:00,6,6,6,6,3000
NAW,6/26/2018 00:00:00,6.9,6.9,6.9,6.9,8500
NAW,6/27/2018 00:00:00,7.9,7.9,6.7,6.7,2700
NAW,6/28/2018 00:00:00,7.7,7.7,7.7,7.7,100
NAW,6/29/2018 00:00:00,8.8,8.8,8.8,8.8,4100
NAW,7/2/2018 00:00:00,10.1,10.1,10.1,10.1,7200
NAW,7/3/2018 00:00:00,11.6,11.6,11.6,11.6,1000
NAW,7/4/2018 00:00:00,13.3,13.3,13.3,13.3,100
NAW,7/5/2018 00:00:00,15.2,15.2,15.2,15.2,5000
NAW,7/6/2018 00:00:00,17.4,17.4,17.4,17.4,50000
NAW,7/9/2018 00:00:00,20,20,17.4,17.4,54900
NAW,7/10/2018 00:00:00,17,17,16.9,16.9,125400
NAW,7/11/2018 00:00:00,19,19.4,15.5,15.5,55600
NAW,7/12/2018 00:00:00,19,21.8,16.2,16.2,260700
NAW,7/13/2018 00:00:00,20,23.4,17.4,17.4,46300
NAW,7/16/2018 00:00:00,23.9,24,17.8,17.8,39600
NAW,7/17/2018 00:00:00,23.9,24,17.8,17.8,50300
NAW,7/18/2018 00:00:00,20,21.6,16.2,16.2,24000
NAW,7/19/2018 00:00:00,14.3,14.3,14.3,14.3,1100
NAW,7/20/2018 00:00:00,12.2,12.2,12.2,12.2,1100
NAW,7/23/2018 00:00:00,10.4,10.4,10.4,10.4,2000
NAW,7/24/2018 00:00:00,8.9,8.9,8.9,8.9,400
NAW,7/25/2018 00:00:00,7.6,8.9,7.6,8.9,700
NAW,7/26/2018 00:00:00,7.5,9.7,7.3,9.7,1200
NAW,7/27/2018 00:00:00,8.1,8.1,8.1,8.1,200
NAW,7/30/2018 00:00:00,7.5,9.3,7.5,9.3,300
NAW,8/2/2018 00:00:00,9.3,9.3,9.3,9.3,100
NAW,8/6/2018 00:00:00,8,8,8,8,300
NAW,8/7/2018 00:00:00,6.9,6.9,6.9,6.9,100
NAW,8/8/2018 00:00:00,6.9,6.9,6.9,6.9,2800
NAW,8/9/2018 00:00:00,7.9,7.9,7.9,7.9,600
NAW,8/16/2018 00:00:00,7,7,6.8,6.8,1000
NAW,8/21/2018 00:00:00,7,7,7,7,700
NAW,8/22/2018 00:00:00,7,7,7,7,400
NAW,8/31/2018 00:00:00,7,7,7,7,900
NAW,9/19/2018 00:00:00,8,8,8,8,100
NAW,9/21/2018 00:00:00,9.2,9.2,9.2,9.2,100
NAW,9/24/2018 00:00:00,10.5,10.5,10.5,10.5,100
NAW,9/25/2018 00:00:00,12,12,12,12,100
NAW,9/26/2018 00:00:00,13.8,13.8,13.8,13.8,100
NAW,9/27/2018 00:00:00,15.8,15.8,15.8,15.8,100
NAW,2/19/2019 00:00:00,15.7,15.7,15.7,15.7,100
NAW,5/13/2019 00:00:00,9.5,9.5,9.5,9.5,100
NAW,6/28/2019 00:00:00,6,6,6,6,3000
NAW,7/3/2019 00:00:00,6.9,6.9,6.9,6.9,600
NAW,7/8/2019 00:00:00,7.9,7.9,7.9,7.9,100
NAW,7/9/2019 00:00:00,9,9,9,9,100
NAW,7/11/2019 00:00:00,10.1,10.1,10.1,10.1,100
NAW,7/12/2019 00:00:00,10.9,10.9,10.9,10.9,100
NAW,7/16/2019 00:00:00,12.4,12.4,12.4,12.4,100
NAW,7/18/2019 00:00:00,10.6,10.6,10.6,10.6,600
NAW,7/19/2019 00:00:00,9.1,9.1,9.1,9.1,100
NAW,7/25/2019 00:00:00,7.8,7.8,7.8,7.8,100
NAW,7/30/2019 00:00:00,6.9,6.9,6.9,6.9,100
NAW,8/2/2019 00:00:00,6.1,6.1,6.1,6.1,100
NAW,8/8/2019 00:00:00,5.2,5.2,5.2,5.2,100
NAW,8/16/2019 00:00:00,5.9,5.9,5.9,5.9,1000
NAW,8/21/2019 00:00:00,6.7,6.7,5.6,6.7,600
NAW,8/22/2019 00:00:00,7.1,7.1,7.1,7.1,100
NAW,8/23/2019 00:00:00,8.1,8.1,8.1,8.1,100
NAW,8/27/2019 00:00:00,9.3,9.3,9.3,9.3,100
