Ticker,Date/Time,Open,High,Low,Close,Volume
ND2,7/23/2010 00:00:00,8.86841,8.86841,7.95296,8.4679,1100
ND2,7/26/2010 00:00:00,7.83853,7.83853,7.83853,7.83853,200
ND2,7/28/2010 00:00:00,7.66688,7.66688,7.55245,7.55245,200
ND2,8/5/2010 00:00:00,8.35347,8.35347,8.35347,8.35347,100
ND2,8/19/2010 00:00:00,7.95296,7.95296,7.95296,7.95296,100
ND2,8/30/2010 00:00:00,7.20916,7.20916,7.20916,7.20916,100
ND2,8/31/2010 00:00:00,6.52257,6.52257,6.52257,6.52257,100
ND2,9/1/2010 00:00:00,7.15194,7.15194,5.8932,5.8932,300
ND2,9/6/2010 00:00:00,5.66434,5.66434,5.66434,5.66434,300
ND2,9/10/2010 00:00:00,6.17928,6.17928,6.17928,6.17928,100
ND2,9/23/2010 00:00:00,5.60712,5.60712,5.60712,5.60712,600
ND2,9/29/2010 00:00:00,5.09218,5.09218,5.09218,5.09218,100
ND2,9/30/2010 00:00:00,4.63446,4.63446,4.63446,4.63446,200
ND2,10/1/2010 00:00:00,5.09218,5.09218,5.09218,5.09218,100
ND2,10/4/2010 00:00:00,4.63446,4.63446,4.63446,4.63446,100
ND2,10/5/2010 00:00:00,4.17674,5.03497,4.17674,5.03497,4200
ND2,10/6/2010 00:00:00,3.83344,3.83344,3.83344,3.83344,1000
ND2,10/7/2010 00:00:00,4.11952,4.17674,4.11952,4.17674,300
ND2,10/8/2010 00:00:00,4.52003,4.52003,4.52003,4.52003,200
ND2,10/11/2010 00:00:00,4.86332,4.86332,4.86332,4.86332,200
ND2,10/14/2010 00:00:00,5.03497,5.03497,5.03497,5.03497,200
ND2,10/15/2010 00:00:00,5.43548,5.43548,5.43548,5.43548,200
ND2,10/18/2010 00:00:00,5.26383,5.26383,4.92054,4.92054,600
ND2,10/26/2010 00:00:00,4.63446,4.63446,4.63446,4.63446,500
ND2,10/29/2010 00:00:00,4.92054,4.92054,4.92054,4.92054,100
ND2,11/2/2010 00:00:00,5.26383,5.26383,5.26383,5.26383,100
ND2,11/17/2010 00:00:00,5.60712,5.60712,5.60712,5.60712,100
ND2,11/19/2010 00:00:00,6.00763,6.00763,6.00763,6.00763,200
ND2,11/22/2010 00:00:00,5.43548,5.43548,5.43548,5.43548,300
ND2,11/30/2010 00:00:00,4.92054,5.1494,4.92054,5.1494,6500
ND2,12/1/2010 00:00:00,4.52003,4.86332,4.46281,4.86332,1000
ND2,12/2/2010 00:00:00,4.23395,4.34838,4.23395,4.34838,1000
ND2,12/6/2010 00:00:00,4.00509,4.00509,4.00509,4.00509,500
ND2,12/7/2010 00:00:00,3.60458,3.60458,3.60458,3.60458,100
ND2,12/8/2010 00:00:00,3.26129,3.26129,3.26129,3.26129,1700
ND2,12/9/2010 00:00:00,3.49015,3.54736,3.43293,3.54736,900
ND2,12/10/2010 00:00:00,3.83344,3.83344,3.83344,3.83344,100
ND2,12/13/2010 00:00:00,3.49015,3.49015,3.49015,3.49015,1000
ND2,12/14/2010 00:00:00,3.77623,3.77623,3.77623,3.77623,100
ND2,12/15/2010 00:00:00,4.0623,4.0623,4.0623,4.0623,100
ND2,12/16/2010 00:00:00,3.6618,3.6618,3.6618,3.6618,1000
ND2,12/17/2010 00:00:00,3.37572,3.37572,3.37572,3.37572,100
ND2,12/22/2010 00:00:00,3.14686,3.6618,3.14686,3.20407,300
