Ticker,Date/Time,Open,High,Low,Close,Volume
PCF,4/4/2017 00:00:00,10,10,10,10,100
PCF,3/16/2018 00:00:00,10,10,10,10,200
PCF,8/23/2018 00:00:00,10,10,10,10,100
PCF,2/11/2020 00:00:00,6,6,6,6,200
PCF,4/15/2020 00:00:00,3.6,3.6,3.6,3.6,100
PCF,4/16/2020 00:00:00,3.7,3.7,3.7,3.7,100
PCF,4/17/2020 00:00:00,3.7,3.7,3.7,3.7,500
PCF,8/24/2020 00:00:00,3.7,3.7,3.7,3.7,100
PCF,12/1/2020 00:00:00,5.1,5.1,5.1,5.1,300
PCF,12/25/2020 00:00:00,5.8,5.8,5.8,5.8,4500
PCF,12/29/2020 00:00:00,5.8,5.8,5.8,5.8,1000
PCF,1/13/2021 00:00:00,5.8,5.8,5.8,5.8,2000
PCF,1/18/2021 00:00:00,5,5.8,5,5.8,600
PCF,1/19/2021 00:00:00,4.9,4.9,4.9,4.9,1000
PCF,1/28/2021 00:00:00,4.9,4.9,4.9,4.9,500
PCF,2/25/2021 00:00:00,5,5,5,5,1000
PCF,3/5/2021 00:00:00,4.5,4.5,4.3,4.3,7400
PCF,3/8/2021 00:00:00,4.4,4.4,3.7,3.7,700
PCF,3/10/2021 00:00:00,4.4,4.4,4.4,4.4,1200
PCF,3/11/2021 00:00:00,5,5,4.8,4.8,2600
PCF,3/12/2021 00:00:00,5.6,5.6,5.6,5.6,4100
PCF,3/16/2021 00:00:00,5.6,5.6,5.6,5.6,800
PCF,3/17/2021 00:00:00,5.7,6.4,5.6,5.6,1200
PCF,3/22/2021 00:00:00,5,5,5,5,1100
PCF,3/25/2021 00:00:00,4.3,4.3,4.3,4.3,5000
PCF,3/26/2021 00:00:00,4.1,4.1,4.1,4.1,1200
PCF,3/30/2021 00:00:00,4.6,4.7,4.5,4.7,5000
PCF,3/31/2021 00:00:00,5.4,5.4,5.3,5.3,1400
PCF,4/1/2021 00:00:00,6,6,6,6,2300
PCF,4/2/2021 00:00:00,5.1,5.1,5.1,5.1,800
PCF,4/5/2021 00:00:00,5.1,5.8,5.1,5.8,300
PCF,4/6/2021 00:00:00,6,6.4,6,6.4,300
PCF,4/7/2021 00:00:00,6.7,6.7,6.5,6.5,5100
PCF,4/8/2021 00:00:00,7.1,7.1,6.9,6.9,3500
PCF,4/13/2021 00:00:00,6.8,6.8,6.8,6.8,100
PCF,5/6/2021 00:00:00,6.8,6.8,6.8,6.8,100
PCF,5/11/2021 00:00:00,6.4,6.4,6.4,6.4,600
PCF,7/16/2021 00:00:00,5.5,7.3,5.5,5.5,1000
PCF,7/23/2021 00:00:00,6.3,6.3,6.3,6.3,100
PCF,8/20/2021 00:00:00,5.4,5.4,5.4,5.4,200
PCF,8/25/2021 00:00:00,4.7,4.7,4.6,4.6,2200
PCF,8/26/2021 00:00:00,4.1,4.6,4,4.1,7900
PCF,8/27/2021 00:00:00,3.8,4.5,3.8,4.5,200
PCF,8/30/2021 00:00:00,4,4,4,4,3100
PCF,8/31/2021 00:00:00,4,4.6,4,4.6,12700
PCF,9/1/2021 00:00:00,4.9,4.9,4.9,4.9,500
PCF,9/6/2021 00:00:00,4.9,5.6,4.9,5.6,1800
PCF,9/7/2021 00:00:00,5.6,5.6,4.7,5,6300
PCF,9/8/2021 00:00:00,5.4,5.4,5.3,5.4,2900
PCF,9/9/2021 00:00:00,4.9,4.9,4.9,4.9,6200
PCF,9/10/2021 00:00:00,4.4,5,4.4,4.9,6300
PCF,9/13/2021 00:00:00,5,5.1,5,5.1,700
PCF,9/14/2021 00:00:00,4.9,4.9,4.6,4.6,2000
PCF,9/15/2021 00:00:00,4.7,5.2,4.7,5.2,3400
PCF,9/16/2021 00:00:00,5.4,5.4,4.8,5.2,800
PCF,9/17/2021 00:00:00,5.1,5.1,5.1,5.1,3400
PCF,9/20/2021 00:00:00,5.1,5.1,5.1,5.1,500
PCF,9/21/2021 00:00:00,4.8,4.9,4.8,4.9,300
PCF,9/22/2021 00:00:00,4.9,5.5,4.9,5.5,3500
PCF,9/23/2021 00:00:00,5.7,5.8,5.6,5.6,4300
PCF,9/24/2021 00:00:00,6.3,6.3,5.9,5.9,5200
PCF,9/27/2021 00:00:00,5.8,5.8,5.8,5.8,100
PCF,9/28/2021 00:00:00,5.8,5.8,5.8,5.8,700
PCF,9/29/2021 00:00:00,6.4,6.4,5,6.1,700
