Ticker,Date/Time,Open,High,Low,Close,Volume
PEN,9/26/2014 00:00:00,11.8278,11.8278,9.72753,9.72753,27500
PEN,9/29/2014 00:00:00,10.446,10.446,8.78794,8.78794,2100
PEN,9/30/2014 00:00:00,7.95889,7.95889,7.95889,7.95889,800
PEN,10/1/2014 00:00:00,7.18511,8.73267,7.18511,7.18511,38700
PEN,10/2/2014 00:00:00,7.90362,7.90362,7.90362,7.90362,15200
PEN,10/3/2014 00:00:00,8.6774,8.6774,8.6774,8.6774,8810
PEN,10/6/2014 00:00:00,8.6774,8.6774,7.84835,7.84835,6400
PEN,10/7/2014 00:00:00,7.73781,8.1247,7.73781,8.06943,1800
PEN,10/8/2014 00:00:00,7.29565,8.01416,7.29565,7.35092,13200
PEN,10/9/2014 00:00:00,7.29565,7.29565,7.07457,7.18511,1600
PEN,10/10/2014 00:00:00,7.90362,7.90362,7.62727,7.62727,200
PEN,10/13/2014 00:00:00,7.18511,7.18511,6.90876,6.96403,4200
PEN,10/14/2014 00:00:00,7.07457,7.07457,7.07457,7.07457,300
PEN,10/15/2014 00:00:00,7.29565,7.29565,7.29565,7.29565,100
PEN,10/16/2014 00:00:00,6.90876,6.90876,6.90876,6.90876,1000
PEN,10/20/2014 00:00:00,6.74295,6.74295,6.30079,6.30079,1700
PEN,10/21/2014 00:00:00,6.41133,6.63241,6.41133,6.63241,600
PEN,10/22/2014 00:00:00,6.63241,6.63241,6.63241,6.63241,500
PEN,10/29/2014 00:00:00,6.02444,6.02444,6.02444,6.02444,500
PEN,10/30/2014 00:00:00,5.58227,5.58227,5.58227,5.58227,100
PEN,10/31/2014 00:00:00,5.14011,6.13497,5.14011,6.13497,2000
PEN,11/5/2014 00:00:00,5.91389,6.52187,5.91389,6.52187,200
PEN,11/7/2014 00:00:00,5.91389,5.96916,5.91389,5.91389,1700
PEN,11/13/2014 00:00:00,6.02444,6.02444,6.02444,6.02444,100
PEN,11/18/2014 00:00:00,5.527,5.527,5.527,5.527,8300
PEN,11/19/2014 00:00:00,6.07971,6.07971,6.07971,6.07971,400
PEN,11/20/2014 00:00:00,5.74808,6.07971,5.74808,6.07971,800
PEN,11/21/2014 00:00:00,5.80335,5.80335,5.69281,5.69281,400
PEN,11/28/2014 00:00:00,5.19538,5.19538,5.14011,5.14011,2200
PEN,12/2/2014 00:00:00,5.63754,5.63754,5.63754,5.63754,100
PEN,12/4/2014 00:00:00,5.527,5.527,5.527,5.527,100
PEN,12/8/2014 00:00:00,4.9743,4.9743,4.9743,4.9743,1500
PEN,12/9/2014 00:00:00,4.9743,4.9743,4.9743,4.9743,1400
PEN,12/17/2014 00:00:00,5.19538,5.19538,5.19538,5.19538,2000
PEN,12/18/2014 00:00:00,4.75322,4.75322,4.75322,4.75322,800
PEN,12/22/2014 00:00:00,5.08484,5.08484,5.08484,5.08484,100
PEN,12/24/2014 00:00:00,5.14011,5.14011,5.14011,5.14011,300
PEN,12/25/2014 00:00:00,4.9743,4.9743,4.9743,4.9743,100
PEN,12/26/2014 00:00:00,4.69795,4.69795,4.69795,4.69795,1800
PEN,12/29/2014 00:00:00,4.4216,4.4216,4.4216,4.4216,3000
PEN,12/30/2014 00:00:00,4.4216,4.4216,4.4216,4.4216,2000
PEN,12/31/2014 00:00:00,4.4216,4.4216,4.4216,4.4216,1700
PEN,1/6/2015 00:00:00,4.4216,4.4216,4.4216,4.4216,4700
PEN,1/7/2015 00:00:00,4.4216,4.4216,4.4216,4.4216,2000
PEN,1/12/2015 00:00:00,4.4216,4.4216,4.4216,4.4216,300
PEN,1/14/2015 00:00:00,4.4216,4.75322,4.4216,4.75322,10100
PEN,1/16/2015 00:00:00,4.4216,4.4216,4.4216,4.4216,500
PEN,1/22/2015 00:00:00,4.4216,4.86376,4.4216,4.86376,3500
PEN,1/23/2015 00:00:00,5.25065,5.25065,5.25065,5.25065,500
PEN,1/26/2015 00:00:00,5.527,5.74808,5.527,5.74808,7700
PEN,1/27/2015 00:00:00,5.527,6.07971,5.527,6.07971,3300
PEN,1/28/2015 00:00:00,6.07971,6.57714,6.07971,6.57714,300
PEN,1/30/2015 00:00:00,6.41133,6.41133,6.02444,6.02444,4600
PEN,2/2/2015 00:00:00,6.02444,6.02444,5.74808,5.74808,4100
PEN,2/4/2015 00:00:00,6.07971,6.07971,6.02444,6.02444,2400
PEN,2/5/2015 00:00:00,6.24552,6.24552,6.24552,6.24552,100
PEN,2/9/2015 00:00:00,6.30079,6.30079,6.30079,6.30079,500
PEN,2/11/2015 00:00:00,6.35606,6.35606,6.07971,6.35606,800
PEN,2/13/2015 00:00:00,6.63241,6.63241,6.63241,6.63241,200
PEN,2/25/2015 00:00:00,7.07457,7.07457,7.07457,7.07457,200
PEN,2/26/2015 00:00:00,7.07457,7.07457,7.07457,7.07457,1000
PEN,3/3/2015 00:00:00,6.41133,6.85349,6.41133,6.85349,2600
PEN,3/4/2015 00:00:00,6.85349,6.85349,6.57714,6.57714,300
PEN,3/5/2015 00:00:00,6.63241,6.63241,6.4666,6.4666,1500
PEN,3/6/2015 00:00:00,6.57714,6.57714,6.57714,6.57714,100
PEN,3/9/2015 00:00:00,5.96916,6.57714,5.96916,6.57714,1500
PEN,3/11/2015 00:00:00,6.07971,6.07971,6.07971,6.07971,2070
PEN,3/16/2015 00:00:00,6.07971,6.07971,6.07971,6.07971,20
PEN,3/17/2015 00:00:00,6.63241,6.63241,6.35606,6.35606,200
PEN,3/25/2015 00:00:00,6.35606,6.35606,6.35606,6.35606,2200
PEN,3/26/2015 00:00:00,6.30079,6.35606,6.30079,6.30079,2100
PEN,3/27/2015 00:00:00,6.24552,6.24552,6.24552,6.24552,200
PEN,3/30/2015 00:00:00,6.24552,6.35606,6.24552,6.35606,2700
PEN,3/31/2015 00:00:00,6.30079,6.30079,6.30079,6.30079,100
PEN,4/6/2015 00:00:00,6.24552,6.24552,6.07971,6.07971,300
PEN,4/7/2015 00:00:00,5.47173,6.35606,5.47173,6.35606,300
