Ticker,Date/Time,Open,High,Low,Close,Volume
PFL,11/18/2010 00:00:00,11,11.2,11,11.2,254100
PFL,11/19/2010 00:00:00,11.9,11.9,11.8,11.9,77600
PFL,11/22/2010 00:00:00,12.7,12.7,11.2,12.1,271500
PFL,11/23/2010 00:00:00,12.1,12.3,11.7,12.1,166700
PFL,11/24/2010 00:00:00,12.2,12.2,11.6,11.8,189600
PFL,11/25/2010 00:00:00,12,12.6,11.8,12.1,192200
PFL,11/26/2010 00:00:00,11.9,12.2,11.8,12,170600
PFL,11/29/2010 00:00:00,11.7,12.8,11.3,12.8,311100
PFL,11/30/2010 00:00:00,13,13.2,13,13.2,652800
PFL,12/1/2010 00:00:00,13.5,14.1,13,13.8,1.0356e+006
PFL,12/2/2010 00:00:00,14.3,14.8,14,14.8,583100
PFL,12/3/2010 00:00:00,15.1,15.6,15.1,15.6,468400
PFL,12/6/2010 00:00:00,16.6,16.6,14.8,15,774800
PFL,12/7/2010 00:00:00,14.7,15.4,14.6,14.6,487800
PFL,12/8/2010 00:00:00,13.7,14.7,13.7,13.7,388700
PFL,12/9/2010 00:00:00,13.8,14.1,13,13.3,491100
PFL,12/10/2010 00:00:00,14.3,14.4,14,14.4,498700
PFL,12/13/2010 00:00:00,15.4,15.4,15.3,15.4,531400
PFL,12/14/2010 00:00:00,16.2,16.2,14.4,14.4,1.0276e+006
PFL,12/15/2010 00:00:00,14.7,15,13.8,14,423000
PFL,12/16/2010 00:00:00,13.5,14,13.4,13.6,298100
PFL,12/17/2010 00:00:00,13.6,14.5,13.6,14.5,303400
PFL,12/20/2010 00:00:00,15,15.1,14.4,14.6,581900
PFL,12/21/2010 00:00:00,14.5,14.9,14,14.6,226000
PFL,12/22/2010 00:00:00,14.7,14.8,14,14,272500
PFL,12/23/2010 00:00:00,14,14.4,13.5,13.7,173900
PFL,12/24/2010 00:00:00,13.9,14.2,13.6,13.9,155700
PFL,12/27/2010 00:00:00,14.3,14.3,13.5,13.8,201200
PFL,12/28/2010 00:00:00,14.1,14.4,13.8,14.4,211700
PFL,12/29/2010 00:00:00,14.6,14.6,13.8,14,194500
PFL,12/30/2010 00:00:00,14.1,14.1,13.6,13.7,114900
PFL,12/31/2010 00:00:00,14.1,14.1,13.6,13.7,121200
PFL,1/4/2011 00:00:00,14.3,14.4,13.6,13.6,149100
PFL,1/5/2011 00:00:00,13.9,13.9,13.1,13.3,203900
PFL,1/6/2011 00:00:00,13.5,13.7,13.2,13.2,111000
PFL,1/7/2011 00:00:00,13.6,13.7,13,13.2,177200
PFL,1/10/2011 00:00:00,13.2,13.2,12.5,12.5,122500
PFL,1/11/2011 00:00:00,12.5,12.5,11.9,12,167700
PFL,1/12/2011 00:00:00,12.6,12.6,12.1,12.2,197300
PFL,1/13/2011 00:00:00,12.5,12.9,12.3,12.5,161600
PFL,1/14/2011 00:00:00,12.5,12.7,12.3,12.5,224600
PFL,1/17/2011 00:00:00,13,13,12.5,12.6,248700
PFL,1/18/2011 00:00:00,12.5,12.7,12.4,12.5,219900
PFL,1/19/2011 00:00:00,12.5,12.6,12.2,12.3,107300
PFL,1/20/2011 00:00:00,12.5,12.6,12.3,12.4,151200
PFL,1/21/2011 00:00:00,12.5,12.7,12.4,12.5,171500
PFL,1/24/2011 00:00:00,12.7,12.7,12,12,145000
PFL,1/25/2011 00:00:00,12.3,12.3,11.6,11.8,133200
PFL,1/26/2011 00:00:00,12.2,12.3,11.8,12,46900
PFL,1/27/2011 00:00:00,12,12.2,12,12.2,92800
PFL,1/28/2011 00:00:00,12.3,12.3,12,12.1,153100
PFL,2/8/2011 00:00:00,12.6,12.6,12,12.2,40000
PFL,2/9/2011 00:00:00,12.5,13,12.4,12.7,314900
PFL,2/10/2011 00:00:00,12.8,12.8,12.3,12.4,93500
PFL,2/11/2011 00:00:00,12.5,12.6,12.2,12.3,78000
PFL,2/14/2011 00:00:00,12.4,12.5,12.2,12.3,101700
PFL,2/15/2011 00:00:00,12.3,12.3,11.9,12.1,233400
PFL,2/16/2011 00:00:00,12.1,12.3,11.9,11.9,99100
PFL,2/17/2011 00:00:00,11.8,11.8,11.2,11.4,247400
PFL,2/18/2011 00:00:00,11.5,11.6,11,11.2,179700
PFL,2/21/2011 00:00:00,11,11,10.5,10.5,242300
PFL,2/22/2011 00:00:00,10,10.6,9.9,10.2,218200
PFL,2/23/2011 00:00:00,10.6,10.7,10.2,10.7,152800
PFL,2/24/2011 00:00:00,11.2,11.2,10,10.3,292100
