Ticker,Date/Time,Open,High,Low,Close,Volume
PGB,12/24/2020 00:00:00,21.7,21.7,15.9,16,511100
PGB,12/25/2020 00:00:00,16.3,16.5,16.2,16.2,104300
PGB,12/28/2020 00:00:00,16.3,18.1,16.2,17.7,338900
PGB,12/29/2020 00:00:00,17.7,18.3,17.4,17.4,239800
PGB,12/30/2020 00:00:00,17.7,17.9,17.1,17.7,117600
PGB,12/31/2020 00:00:00,18,18.7,17.4,17.8,107500
PGB,1/4/2021 00:00:00,17.8,17.9,17.5,17.8,122000
PGB,1/5/2021 00:00:00,17.4,17.4,16.9,17.1,61200
PGB,1/6/2021 00:00:00,17.1,17.1,16.4,16.5,119800
PGB,1/7/2021 00:00:00,16.5,16.9,16.3,16.8,124500
PGB,1/8/2021 00:00:00,16.7,16.7,16.5,16.6,86300
PGB,1/11/2021 00:00:00,16.6,16.7,16.5,16.5,68700
PGB,1/12/2021 00:00:00,16.5,16.5,16,16.4,49900
PGB,1/13/2021 00:00:00,16.3,16.5,16,16.3,51900
PGB,1/14/2021 00:00:00,15.8,16.3,15.8,16.3,29500
PGB,1/15/2021 00:00:00,16.2,16.3,16,16.3,111900
PGB,1/18/2021 00:00:00,16.2,16.2,15.9,16.2,70800
PGB,1/19/2021 00:00:00,16,16.2,15.3,16,95700
PGB,1/20/2021 00:00:00,16,16,15.3,15.5,30600
PGB,1/21/2021 00:00:00,15.8,16,15.6,15.8,15800
PGB,1/22/2021 00:00:00,16,16,15.5,15.6,34500
PGB,1/25/2021 00:00:00,15.4,15.6,15.3,15.5,20400
PGB,1/26/2021 00:00:00,15.5,15.5,14.8,14.8,29900
PGB,1/27/2021 00:00:00,15,15.1,14,14.5,30900
PGB,1/28/2021 00:00:00,12.4,14.5,12.4,12.4,201900
PGB,1/29/2021 00:00:00,10.6,13.5,10.6,12,395900
PGB,2/1/2021 00:00:00,12.2,12.6,11,12.6,41800
PGB,2/2/2021 00:00:00,12.6,13.8,12,13.8,79300
PGB,2/3/2021 00:00:00,13.5,14.7,13.5,14,61700
PGB,2/4/2021 00:00:00,14.3,14.5,13.5,13.8,29500
PGB,2/5/2021 00:00:00,13.8,14.5,13.8,13.8,63000
PGB,2/8/2021 00:00:00,14,14.8,13,13.6,20100
PGB,2/9/2021 00:00:00,13.6,14,13,13.6,47000
PGB,2/17/2021 00:00:00,13.4,13.6,13.3,13.5,36900
PGB,2/18/2021 00:00:00,13.5,13.8,13.5,13.7,29100
PGB,2/19/2021 00:00:00,14,14,13.5,13.8,35800
PGB,2/22/2021 00:00:00,13.9,14,13.8,13.8,28800
PGB,2/23/2021 00:00:00,13.9,13.9,13.8,13.9,27900
PGB,2/24/2021 00:00:00,13.9,13.9,13.7,13.8,60800
PGB,2/25/2021 00:00:00,13.9,13.9,13.2,13.7,36800
PGB,2/26/2021 00:00:00,13.3,13.8,13.3,13.7,36800
PGB,3/1/2021 00:00:00,13.9,14,13.6,13.8,52300
PGB,3/2/2021 00:00:00,13.8,14.1,13.8,14.1,138200
PGB,3/3/2021 00:00:00,14.1,15.9,14.1,15.4,394900
PGB,3/4/2021 00:00:00,15.4,15.9,14.8,14.8,147900
PGB,3/5/2021 00:00:00,14.5,15.5,14.4,15.3,166500
PGB,3/8/2021 00:00:00,15.3,15.8,14.6,14.9,119000
PGB,3/9/2021 00:00:00,14.9,15.3,14.7,14.9,74700
PGB,3/10/2021 00:00:00,14.8,15.2,14.7,14.9,55100
PGB,3/11/2021 00:00:00,15.2,15.5,14.8,15.4,605900
PGB,3/12/2021 00:00:00,15.5,16.5,15.5,16,1.3474e+006
