Ticker,Date/Time,Open,High,Low,Close,Volume
PID,11/27/2012 00:00:00,6.9,6.9,6.9,6.9,200
PID,12/4/2012 00:00:00,7.1,7.1,7.1,7.1,100
PID,12/10/2012 00:00:00,6.7,6.7,6.7,6.7,200
PID,12/24/2012 00:00:00,7,7,7,7,100
PID,1/7/2013 00:00:00,6.9,6.9,6.9,6.9,1000
PID,1/15/2013 00:00:00,6.8,6.8,6.8,6.8,500
PID,1/29/2013 00:00:00,7,7,7,7,100
PID,3/21/2013 00:00:00,6.9,6.9,6.9,6.9,200
PID,7/11/2013 00:00:00,6.9,6.9,6.9,6.9,100
PID,3/19/2014 00:00:00,7,7,7,7,100
PID,8/29/2014 00:00:00,6.3,6.3,6.3,6.3,200
PID,9/5/2014 00:00:00,6.8,6.8,5.7,5.7,2300
PID,9/10/2014 00:00:00,6.1,6.1,5.2,6,1300
PID,9/11/2014 00:00:00,6.6,6.6,5.4,5.4,1300
PID,9/15/2014 00:00:00,4.9,5.9,4.9,5.9,500
PID,9/16/2014 00:00:00,6.4,6.4,5.4,5.4,1000
PID,9/17/2014 00:00:00,5,5,5,5,100
PID,9/18/2014 00:00:00,4.5,5.5,4.5,5.5,1400
PID,9/19/2014 00:00:00,5.3,6,5,5,1300
PID,9/22/2014 00:00:00,4.5,5.5,4.5,5.5,900
PID,9/23/2014 00:00:00,6,6,5,5,300
PID,9/24/2014 00:00:00,4.5,5.5,4.5,5.5,200
PID,9/25/2014 00:00:00,6,6,5,5.1,1100
PID,9/26/2014 00:00:00,5.6,5.6,4.7,4.7,2300
PID,9/30/2014 00:00:00,4.3,5.1,4.3,5.1,1000
PID,10/2/2014 00:00:00,5.5,5.5,5.5,5.5,1100
PID,10/3/2014 00:00:00,6,6,5,5.9,300
PID,10/6/2014 00:00:00,6.4,6.4,6.4,6.4,100
PID,10/7/2014 00:00:00,6.4,6.4,5.8,5.8,2200
PID,10/8/2014 00:00:00,5.3,5.3,5.3,5.3,100
PID,10/9/2014 00:00:00,4.8,4.8,4.8,4.8,100
PID,10/13/2014 00:00:00,4.5,4.5,4.5,4.5,100
PID,10/14/2014 00:00:00,4.3,4.9,4.3,4.9,1700
PID,10/15/2014 00:00:00,5.3,5.3,4.5,5.3,2300
PID,10/16/2014 00:00:00,5.8,5.8,5.8,5.8,100
PID,10/17/2014 00:00:00,6.3,6.3,5.3,5.3,1800
PID,10/20/2014 00:00:00,5.7,5.8,5.7,5.8,2200
PID,10/23/2014 00:00:00,5.3,5.3,5.3,5.3,100
PID,10/24/2014 00:00:00,4.8,4.8,4.8,4.8,100
PID,10/27/2014 00:00:00,4.4,4.4,4.4,4.4,600
PID,10/29/2014 00:00:00,4,4.4,4,4.4,1300
PID,11/3/2014 00:00:00,4.4,4.4,4.4,4.4,100
PID,11/5/2014 00:00:00,4,4,4,4,1400
PID,11/11/2014 00:00:00,4.3,4.3,4.3,4.3,100
PID,11/27/2014 00:00:00,4.3,4.7,4.3,4.7,2000
PID,11/28/2014 00:00:00,5.1,5.1,5.1,5.1,1700
PID,12/1/2014 00:00:00,5.5,5.5,5.5,5.5,100
PID,1/11/2016 00:00:00,3.3,3.3,3.3,3.3,1000
PID,1/12/2016 00:00:00,2.9,2.9,2.9,2.9,1000
PID,1/13/2016 00:00:00,2.5,2.5,2.5,2.5,1000
PID,1/14/2016 00:00:00,2.2,2.2,2.2,2.2,100
PID,1/18/2016 00:00:00,2,2,2,2,45600
PID,3/4/2016 00:00:00,2,2,2,2,151300
PID,6/8/2016 00:00:00,2,2,2,2,100000
PID,6/27/2016 00:00:00,2,2,2,2,20000
PID,7/21/2016 00:00:00,2.3,2.3,2.3,2.3,100
PID,7/25/2016 00:00:00,2.3,2.3,2.3,2.3,1000
PID,8/18/2016 00:00:00,2,2,2,2,800
PID,11/24/2016 00:00:00,2.5,2.8,2.5,2.8,2100
PID,11/28/2016 00:00:00,3.1,3.1,2.3,2.3,1100
PID,11/29/2016 00:00:00,2.7,2.7,2.7,2.7,100
PID,11/30/2016 00:00:00,3.1,3.1,3.1,3.1,300
PID,12/1/2016 00:00:00,3.5,3.5,3.2,3.5,1000
PID,12/2/2016 00:00:00,3.8,3.8,3.8,3.8,100
PID,12/5/2016 00:00:00,4.1,4.1,4.1,4.1,100
PID,12/9/2016 00:00:00,4.7,4.7,3.5,3.5,1900
PID,12/12/2016 00:00:00,4.6,4.6,4.6,4.6,200
PID,12/13/2016 00:00:00,5.2,5.2,4,4,200
PID,12/14/2016 00:00:00,5.2,5.2,4,4,1200
PID,12/15/2016 00:00:00,5.8,5.8,5.8,5.8,200
PID,12/21/2016 00:00:00,6.6,6.6,6.6,6.6,100
PID,12/22/2016 00:00:00,7.5,7.5,5.7,5.7,500
PID,12/28/2016 00:00:00,8.1,8.1,8.1,8.1,600
PID,1/4/2017 00:00:00,9.3,9.3,6.9,6.9,900
PID,1/5/2017 00:00:00,7.7,7.7,7.7,7.7,100
PID,1/6/2017 00:00:00,6.6,8.8,6.6,6.6,1500
PID,1/10/2017 00:00:00,6.7,6.7,6.7,6.7,1700
PID,1/11/2017 00:00:00,7.7,7.7,5.7,5.7,2500
PID,1/12/2017 00:00:00,7.2,7.2,7.2,7.2,100
PID,1/20/2017 00:00:00,8.1,8.1,8.1,8.1,100
PID,1/23/2017 00:00:00,7.2,7.2,7.2,7.2,100
PID,2/2/2017 00:00:00,7.6,7.6,7.6,7.6,100
PID,2/7/2017 00:00:00,8.6,8.6,8.6,8.6,100
PID,2/14/2017 00:00:00,8.9,8.9,8.9,8.9,200
PID,2/16/2017 00:00:00,10,10.2,10,10.2,200
PID,2/21/2017 00:00:00,11.5,11.5,11.5,11.5,200
PID,2/23/2017 00:00:00,11.9,11.9,11.9,11.9,200
PID,2/24/2017 00:00:00,13.5,13.5,13.5,13.5,200
PID,2/28/2017 00:00:00,13.5,13.5,13.5,13.5,500
PID,3/3/2017 00:00:00,15.5,15.5,15.5,15.5,500
PID,3/7/2017 00:00:00,15.4,15.5,15.4,15.5,300
PID,3/10/2017 00:00:00,15.4,15.4,15.4,15.4,30
PID,3/13/2017 00:00:00,15.4,15.4,15.4,15.4,170
PID,3/14/2017 00:00:00,15.4,15.4,15.4,15.4,10
PID,3/20/2017 00:00:00,15.4,15.4,15.4,15.4,690
PID,3/23/2017 00:00:00,15.4,15.4,15.4,15.4,680
PID,3/29/2017 00:00:00,13.1,13.1,13.1,13.1,2000
PID,4/3/2017 00:00:00,11.2,11.2,11.2,11.2,100
PID,4/4/2017 00:00:00,9.6,12.8,9.6,12.8,600
PID,4/11/2017 00:00:00,11.6,11.6,11.6,11.6,100
PID,4/12/2017 00:00:00,9.9,9.9,9.9,9.9,900
PID,4/14/2017 00:00:00,8.5,8.5,8.5,8.5,1000
PID,4/17/2017 00:00:00,7.3,7.3,7.3,7.3,1000
PID,4/18/2017 00:00:00,6.3,6.3,6.3,6.3,1000
PID,5/26/2017 00:00:00,6.3,6.3,6.3,6.3,100
PID,1/22/2021 00:00:00,3.8,3.8,3.8,3.8,3400
PID,4/2/2021 00:00:00,3.3,3.8,3.3,3.8,6100
PID,4/9/2021 00:00:00,3,3,2.9,2.9,65600
PID,4/16/2021 00:00:00,2.7,3.3,2.5,2.5,8900
PID,4/23/2021 00:00:00,2.6,3.4,2.6,2.6,3800
PID,5/7/2021 00:00:00,2.3,2.7,2.3,2.7,1200
PID,5/14/2021 00:00:00,2.2,2.2,2.2,2.2,6700
PID,5/21/2021 00:00:00,2.4,2.5,2,2,9400
PID,6/4/2021 00:00:00,2.4,2.4,2,2,20900
PID,6/11/2021 00:00:00,1.7,2.1,1.7,2.1,3700
PID,6/18/2021 00:00:00,1.8,2,1.8,2,17000
PID,6/25/2021 00:00:00,1.7,1.9,1.7,1.8,6300
PID,7/16/2021 00:00:00,1.7,1.8,1.7,1.7,200
PID,7/23/2021 00:00:00,1.7,1.7,1.6,1.6,8000
PID,7/30/2021 00:00:00,1.4,1.5,1.4,1.4,5600
PID,8/6/2021 00:00:00,1.5,1.5,1.5,1.5,300
PID,8/13/2021 00:00:00,1.4,1.5,1.3,1.5,31700
PID,8/20/2021 00:00:00,1.3,1.3,1.3,1.3,2400
PID,8/27/2021 00:00:00,1.3,1.3,1.3,1.3,200
PID,9/10/2021 00:00:00,1.3,1.4,1.3,1.4,2100
PID,9/17/2021 00:00:00,1.4,1.4,1.4,1.4,14700
PID,9/24/2021 00:00:00,1.6,1.6,1.5,1.6,14400
PID,10/1/2021 00:00:00,1.8,1.8,1.8,1.8,6900
PID,10/8/2021 00:00:00,2,2,2,2,19500
PID,10/15/2021 00:00:00,2.3,2.3,2.3,2.3,19100
PID,10/22/2021 00:00:00,2.6,2.6,2.6,2.6,7100
PID,10/29/2021 00:00:00,2.9,2.9,2.9,2.9,13700
PID,11/12/2021 00:00:00,3.7,3.7,3.7,3.7,8900
PID,11/19/2021 00:00:00,4.2,4.2,3.7,3.9,14800
PID,11/26/2021 00:00:00,4.7,4.7,3.5,4,6100
PID,12/3/2021 00:00:00,3.7,3.7,3.7,3.7,8800
PID,12/10/2021 00:00:00,3.2,3.2,3.2,3.2,7100
PID,12/17/2021 00:00:00,3,3.5,2.8,3.5,25400
PID,12/24/2021 00:00:00,3.6,3.6,2.9,3.6,11700
PID,12/31/2021 00:00:00,3.4,3.9,3.3,3.7,8500
PID,1/7/2022 00:00:00,4.2,4.2,4,4.2,26900
PID,1/14/2022 00:00:00,4.2,4.2,4.2,4.2,600
PID,1/28/2022 00:00:00,4.4,4.4,4.2,4.4,5000
PID,2/11/2022 00:00:00,3.8,4.4,3.8,3.8,1700
PID,2/18/2022 00:00:00,4.3,4.3,3.4,3.4,27300
PID,2/25/2022 00:00:00,3.6,3.7,3.2,3.6,18300
PID,3/4/2022 00:00:00,3.6,3.7,3.5,3.6,6200
PID,3/11/2022 00:00:00,4,4,3.5,3.7,5800
PID,3/18/2022 00:00:00,3.8,3.8,3.8,3.8,100
PID,3/25/2022 00:00:00,3.8,3.8,3.3,3.7,20700
PID,4/1/2022 00:00:00,2.9,3.1,2.9,3.1,6200
