Ticker,Date/Time,Open,High,Low,Close,Volume
PLE,1/7/2021 00:00:00,23.3376,23.3376,23.3376,23.3376,1200
PLE,1/12/2021 00:00:00,26.7668,26.7668,26.7668,26.7668,200
PLE,1/18/2021 00:00:00,26.7668,26.7668,26.7668,26.7668,900
PLE,1/22/2021 00:00:00,30.7675,30.7675,30.7675,30.7675,100
PLE,2/19/2021 00:00:00,30.577,30.577,30.577,30.577,1000
PLE,2/24/2021 00:00:00,26.1,26.1,26.1,26.1,100
PLE,2/25/2021 00:00:00,24.5759,24.5759,24.5759,24.5759,100
PLE,2/26/2021 00:00:00,22.8613,22.8613,22.8613,22.8613,100
PLE,3/3/2021 00:00:00,20.9562,20.9562,20.9562,20.9562,100
PLE,4/13/2021 00:00:00,29.3387,29.3387,22.8613,22.8613,200
PLE,9/17/2021 00:00:00,36.5,36.5,36.5,36.5,200
PLE,9/20/2021 00:00:00,41.9,41.9,41.9,41.9,100
PLE,1/20/2022 00:00:00,41.9,41.9,32,32,200
PLE,2/22/2022 00:00:00,37,37,37,37,2000
PLE,2/28/2022 00:00:00,38,38,34,34,1000
PLE,3/9/2022 00:00:00,36,36,36,36,4000
PLE,3/10/2022 00:00:00,32,32,32,32,100
PLE,3/17/2022 00:00:00,33,33,33,33,2000
