Ticker,Date/Time,Open,High,Low,Close,Volume
PRC,11/30/2010 00:00:00,11.0958,11.0958,10.7935,10.7935,52500
PRC,12/1/2010 00:00:00,10.0596,10.0596,10.0596,10.0596,15000
PRC,12/2/2010 00:00:00,9.36879,9.36879,9.36879,9.36879,2400
PRC,12/3/2010 00:00:00,8.72118,10.0164,8.72118,9.88688,68000
PRC,12/6/2010 00:00:00,9.06657,9.49831,8.41896,8.46213,22700
PRC,12/7/2010 00:00:00,8.03039,8.03039,7.98722,7.98722,30600
PRC,12/8/2010 00:00:00,7.46913,7.98722,7.46913,7.98722,76100
PRC,12/9/2010 00:00:00,7.98722,7.98722,6.95104,7.77135,19000
PRC,12/10/2010 00:00:00,7.64182,7.64182,7.3396,7.64182,4700
PRC,12/13/2010 00:00:00,8.03039,8.03039,8.03039,8.03039,11700
PRC,12/14/2010 00:00:00,7.98722,8.20309,7.46913,7.46913,5600
PRC,12/15/2010 00:00:00,8.24626,8.28944,7.25326,7.3396,11500
PRC,12/16/2010 00:00:00,6.95104,6.95104,6.90786,6.90786,16900
PRC,12/17/2010 00:00:00,6.73517,7.29643,6.73517,7.29643,2300
PRC,12/20/2010 00:00:00,6.90786,6.90786,6.60564,6.60564,17400
PRC,12/21/2010 00:00:00,6.69199,6.69199,6.26025,6.60564,11900
PRC,12/22/2010 00:00:00,6.5193,6.5193,6.13073,6.43295,17900
PRC,12/23/2010 00:00:00,6.30342,6.30342,6.21708,6.26025,400
PRC,12/24/2010 00:00:00,5.91486,6.21708,5.87168,6.21708,4100
PRC,12/27/2010 00:00:00,6.04438,6.21708,5.78534,6.21708,1500
PRC,12/28/2010 00:00:00,6.00121,6.26025,6.00121,6.1739,2300
PRC,12/29/2010 00:00:00,5.91486,5.91486,5.82851,5.82851,2700
PRC,12/30/2010 00:00:00,6.13073,6.13073,5.87168,5.91486,5100
PRC,12/31/2010 00:00:00,5.65581,5.91486,5.65581,5.82851,1000
PRC,1/4/2011 00:00:00,5.91486,6.21708,5.91486,6.13073,9800
PRC,1/5/2011 00:00:00,5.69899,5.69899,5.69899,5.69899,800
PRC,1/6/2011 00:00:00,6.08755,6.08755,6.08755,6.08755,2000
PRC,1/7/2011 00:00:00,6.43295,6.43295,6.30342,6.3466,2500
PRC,1/10/2011 00:00:00,6.60564,6.60564,5.91486,5.91486,4100
PRC,1/11/2011 00:00:00,5.65581,5.95803,5.65581,5.95803,6800
PRC,1/12/2011 00:00:00,6.00121,6.00121,6.00121,6.00121,500
PRC,1/13/2011 00:00:00,6.26025,6.26025,6.13073,6.13073,2200
PRC,1/14/2011 00:00:00,5.74216,6.13073,5.74216,6.13073,2600
PRC,1/17/2011 00:00:00,5.82851,5.82851,5.82851,5.82851,400
PRC,1/18/2011 00:00:00,5.43994,5.61264,5.43994,5.43994,8600
PRC,1/19/2011 00:00:00,5.74216,5.74216,5.13772,5.65581,7000
PRC,1/20/2011 00:00:00,5.61264,5.65581,5.1809,5.61264,4400
PRC,1/21/2011 00:00:00,5.1809,5.74216,5.13772,5.13772,1800
PRC,1/24/2011 00:00:00,5.74216,5.74216,5.22407,5.22407,11200
PRC,1/25/2011 00:00:00,5.52629,5.52629,4.87868,4.87868,800
PRC,1/26/2011 00:00:00,4.74916,5.13772,4.74916,5.13772,2500
PRC,1/27/2011 00:00:00,5.26725,5.26725,4.61963,5.09455,5400
PRC,1/28/2011 00:00:00,4.87868,5.13772,4.74916,4.74916,31200
PRC,2/8/2011 00:00:00,5.39677,5.43994,5.39677,5.43994,300
PRC,2/9/2011 00:00:00,5.61264,5.61264,5.05137,5.05137,1300
PRC,2/10/2011 00:00:00,4.79233,4.8355,4.74916,4.79233,3700
PRC,2/11/2011 00:00:00,5.05137,5.05137,5.05137,5.05137,500
PRC,2/14/2011 00:00:00,4.8355,4.8355,4.8355,4.8355,1700
PRC,2/15/2011 00:00:00,4.74916,4.79233,4.74916,4.79233,900
PRC,2/16/2011 00:00:00,4.57646,4.57646,4.53328,4.53328,5000
PRC,2/17/2011 00:00:00,4.36059,4.36059,4.27424,4.31741,5100
PRC,2/18/2011 00:00:00,4.61963,4.61963,4.27424,4.57646,3200
PRC,2/21/2011 00:00:00,4.31741,4.31741,4.23107,4.23107,7900
PRC,2/22/2011 00:00:00,3.97202,4.49011,3.97202,4.31741,7300
PRC,2/23/2011 00:00:00,4.49011,4.49011,4.49011,4.49011,6300
PRC,2/24/2011 00:00:00,4.31741,4.31741,4.31741,4.31741,8300
PRC,2/25/2011 00:00:00,4.49011,4.57646,4.49011,4.57646,11200
PRC,2/28/2011 00:00:00,4.74916,4.74916,4.74916,4.74916,11700
PRC,3/1/2011 00:00:00,5.0082,5.0082,5.0082,5.0082,400
PRC,3/2/2011 00:00:00,4.66281,4.66281,4.66281,4.66281,200
PRC,3/3/2011 00:00:00,4.40376,4.40376,4.40376,4.40376,200
PRC,3/4/2011 00:00:00,4.66281,4.66281,4.10154,4.10154,600
PRC,3/7/2011 00:00:00,4.49011,4.49011,4.10154,4.36059,4100
PRC,3/8/2011 00:00:00,4.44694,4.44694,4.31741,4.31741,1900
PRC,3/9/2011 00:00:00,4.61963,4.61963,4.0152,4.53328,5200
PRC,3/10/2011 00:00:00,4.57646,4.57646,4.05837,4.44694,6400
PRC,3/11/2011 00:00:00,4.49011,4.49011,4.49011,4.49011,200
PRC,3/14/2011 00:00:00,4.79233,4.79233,4.18789,4.44694,1700
PRC,3/15/2011 00:00:00,4.70598,4.70598,4.10154,4.10154,1700
PRC,3/16/2011 00:00:00,4.44694,4.44694,3.92885,3.92885,5100
PRC,3/17/2011 00:00:00,4.05837,4.05837,4.05837,4.05837,1000
PRC,3/18/2011 00:00:00,4.27424,4.27424,4.27424,4.27424,400
PRC,3/21/2011 00:00:00,4.49011,4.49011,4.0152,4.36059,2900
PRC,3/22/2011 00:00:00,4.31741,4.31741,4.18789,4.18789,6000
PRC,3/23/2011 00:00:00,4.10154,4.53328,4.10154,4.53328,20100
PRC,3/25/2011 00:00:00,4.70598,4.70598,4.23107,4.23107,9400
PRC,3/31/2011 00:00:00,4.18789,4.18789,4.18789,4.18789,1000
PRC,4/1/2011 00:00:00,4.40376,4.40376,4.40376,4.40376,100
PRC,4/5/2011 00:00:00,4.10154,4.10154,4.10154,4.10154,10200
PRC,4/6/2011 00:00:00,4.10154,4.31741,3.88567,3.92885,32000
PRC,4/7/2011 00:00:00,4.14472,4.14472,4.14472,4.14472,2100
PRC,4/14/2011 00:00:00,4.27424,4.27424,4.27424,4.27424,1000
