Ticker,Date/Time,Open,High,Low,Close,Volume
RCC,12/5/2016 00:00:00,17.4265,17.9132,16.2582,17.7185,42500
RCC,12/6/2016 00:00:00,17.1344,17.1344,17.037,17.037,2800
RCC,12/7/2016 00:00:00,16.3556,16.5503,16.1608,16.3556,19000
RCC,12/8/2016 00:00:00,16.5503,16.8423,16.5503,16.5503,25700
RCC,12/9/2016 00:00:00,16.5503,17.4265,16.5503,16.8423,45200
RCC,12/12/2016 00:00:00,16.2582,17.5238,16.2582,17.037,34561
RCC,12/13/2016 00:00:00,14.7979,16.5503,14.7979,16.5503,4500
RCC,12/14/2016 00:00:00,14.7005,16.0635,14.7005,16.0635,13000
RCC,12/15/2016 00:00:00,16.5503,16.5503,16.1608,16.1608,5000
RCC,12/16/2016 00:00:00,16.2582,16.5503,16.0635,16.5503,5500
RCC,12/19/2016 00:00:00,16.5503,17.7185,16.5503,17.037,42300
RCC,12/20/2016 00:00:00,17.5238,20.1524,17.5238,20.1524,47120
RCC,12/21/2016 00:00:00,18.9841,20.7365,18.7894,19.4709,25052
RCC,12/22/2016 00:00:00,18.4974,19.3735,18.2053,18.7894,9793
RCC,12/23/2016 00:00:00,18.4974,19.4709,18.4974,18.9841,46474
RCC,12/26/2016 00:00:00,18.4974,19.4709,18.4974,19.4709,37152
RCC,12/27/2016 00:00:00,18.5947,18.9841,18.5947,18.9841,3069
RCC,12/28/2016 00:00:00,18.4974,18.4974,16.1608,17.4265,41400
RCC,12/29/2016 00:00:00,18.4974,18.4974,18.4974,18.4974,5000
RCC,12/30/2016 00:00:00,18.3026,18.3026,17.037,17.5238,9800
RCC,1/3/2017 00:00:00,16.5503,16.5503,14.8952,16.5503,15562
RCC,1/5/2017 00:00:00,18.3026,18.4,18.3026,18.4,232
RCC,1/6/2017 00:00:00,17.1,17.1,17.1,17.1,10000
RCC,1/9/2017 00:00:00,16.8,17.1,16.8,17.1,13030
RCC,1/12/2017 00:00:00,15.1,15.1,15.1,15.1,9000
RCC,1/13/2017 00:00:00,17,17,16.5,16.5,1215
RCC,1/16/2017 00:00:00,16.7,17,16.7,17,8200
RCC,1/17/2017 00:00:00,18,18,17,17,2100
RCC,1/19/2017 00:00:00,15.1,17.8,15.1,17.8,17500
RCC,1/20/2017 00:00:00,15.1,15.3,14.9,15.3,19000
RCC,1/23/2017 00:00:00,17,17.1,17,17.1,2900
RCC,1/24/2017 00:00:00,15.6,19.5,15.6,19.5,25000
RCC,1/25/2017 00:00:00,18,18,18,18,100
RCC,2/2/2017 00:00:00,16.2,16.2,16.2,16.2,20000
RCC,2/3/2017 00:00:00,16.2,17.5,15.4,15.4,30100
RCC,2/6/2017 00:00:00,15.6,15.6,15.5,15.5,11300
RCC,2/7/2017 00:00:00,16,16,15.1,15.1,8000
RCC,2/8/2017 00:00:00,15.6,17.4,15.5,17,7800
RCC,2/9/2017 00:00:00,16.1,16.1,16.1,16.1,10000
RCC,2/10/2017 00:00:00,15.8,15.8,15.8,15.8,10000
RCC,2/13/2017 00:00:00,16,16,16,16,500
RCC,2/14/2017 00:00:00,16,17,13.6,17,27000
RCC,2/15/2017 00:00:00,16.5,16.5,15.7,16,25600
RCC,2/16/2017 00:00:00,16.1,16.1,16,16,8200
RCC,2/17/2017 00:00:00,16,17.9,15.1,17.7,65040
RCC,2/20/2017 00:00:00,17.4,17.7,17.4,17.7,25030
RCC,2/21/2017 00:00:00,18,20.2,18,20.2,40000
RCC,2/22/2017 00:00:00,19,19.8,16.7,16.7,78300
RCC,2/23/2017 00:00:00,17,17,17,17,1032
RCC,2/24/2017 00:00:00,16.5,16.5,16.5,16.5,918
RCC,2/27/2017 00:00:00,14.1,16,14.1,15.7,31500
RCC,2/28/2017 00:00:00,15.2,16.3,12.1,16.3,64760
RCC,3/1/2017 00:00:00,14.7,14.7,14.7,14.7,100
RCC,3/2/2017 00:00:00,16.9,16.9,15.6,16.9,100804
RCC,3/3/2017 00:00:00,15.8,15.8,15.6,15.6,45900
RCC,3/6/2017 00:00:00,14.3,17.8,13.5,14,62660
RCC,3/7/2017 00:00:00,13.7,15.7,13.7,15.7,5750
RCC,3/8/2017 00:00:00,14.4,14.4,14.4,14.4,40000
RCC,3/9/2017 00:00:00,14.5,16.5,14.5,14.7,34500
RCC,3/10/2017 00:00:00,16.3,17.1,15.3,15.3,87510
RCC,3/13/2017 00:00:00,17.7,17.7,17.7,17.7,20000
RCC,3/14/2017 00:00:00,15.3,17.6,15.3,16,30900
RCC,3/16/2017 00:00:00,16.1,16.1,16.1,16.1,20
RCC,3/17/2017 00:00:00,14.3,14.3,14.3,14.3,29000
RCC,3/20/2017 00:00:00,16.4,16.4,16.4,16.4,5000
RCC,3/21/2017 00:00:00,15.1,15.1,15.1,15.1,17004
RCC,3/22/2017 00:00:00,17,17,16.1,16.1,46000
RCC,3/23/2017 00:00:00,16.2,16.2,16,16,46433
RCC,3/24/2017 00:00:00,14.7,14.7,14,14,66784
RCC,3/27/2017 00:00:00,13.7,13.7,13.7,13.7,20000
RCC,3/28/2017 00:00:00,13.5,14,12.4,14,24500
RCC,3/29/2017 00:00:00,14.3,14.3,14.3,14.3,100
RCC,3/30/2017 00:00:00,16,16,16,16,200
RCC,4/3/2017 00:00:00,15.9,16,15.9,16,1000
RCC,4/4/2017 00:00:00,16,16,16,16,43
RCC,4/5/2017 00:00:00,15.9,16,15.9,16,2631
RCC,4/7/2017 00:00:00,15.9,15.9,15.9,15.9,5300
RCC,4/10/2017 00:00:00,15,15,15,15,1900
RCC,4/13/2017 00:00:00,13.3,16,13.3,16,10300
RCC,4/14/2017 00:00:00,15.9,15.9,15.9,15.9,100
RCC,4/17/2017 00:00:00,17.4,17.4,14.3,14.3,51924
RCC,4/24/2017 00:00:00,17.3,17.3,17.3,17.3,24
RCC,4/27/2017 00:00:00,15,15,14.8,14.8,11132
RCC,5/5/2017 00:00:00,15,15,15,15,4400
RCC,5/8/2017 00:00:00,15,15,15,15,100
RCC,5/11/2017 00:00:00,15.4,15.5,15.4,15.5,1000
RCC,5/12/2017 00:00:00,15,15,15,15,427
RCC,5/18/2017 00:00:00,13.6,13.6,13.6,13.6,5000
RCC,5/19/2017 00:00:00,13,13,13,13,5000
RCC,5/22/2017 00:00:00,14.8,14.8,14.8,14.8,800
RCC,5/24/2017 00:00:00,15.2,15.2,12.8,12.8,7000
RCC,5/25/2017 00:00:00,13,13,13,13,300
RCC,5/26/2017 00:00:00,12.1,12.1,12.1,12.1,500
RCC,5/29/2017 00:00:00,13.5,13.5,13.5,13.5,4800
RCC,5/30/2017 00:00:00,13.5,13.5,13.5,13.5,40
RCC,6/2/2017 00:00:00,15.5,15.5,15.5,15.5,12800
RCC,6/9/2017 00:00:00,15.5,15.5,15.5,15.5,40
RCC,6/13/2017 00:00:00,15,15,15,15,7600
RCC,6/14/2017 00:00:00,15,15.1,15,15.1,2600
RCC,6/19/2017 00:00:00,15,15,15,15,127
RCC,6/20/2017 00:00:00,15,15,15,15,20
RCC,6/23/2017 00:00:00,14,14,14,14,300
RCC,6/26/2017 00:00:00,15,15,15,15,100
RCC,7/18/2017 00:00:00,12.8,12.8,12.8,12.8,100
RCC,7/19/2017 00:00:00,14.6,14.6,14.6,14.6,4500
RCC,7/25/2017 00:00:00,13.5,13.5,13.5,13.5,100
RCC,7/26/2017 00:00:00,14.5,14.5,14.5,14.5,1000
RCC,7/27/2017 00:00:00,14,14,14,14,1000
RCC,7/28/2017 00:00:00,14.2,14.2,14.2,14.2,1300
RCC,8/4/2017 00:00:00,14.2,15,14.2,15,2100
RCC,8/9/2017 00:00:00,14.5,14.5,14.5,14.5,400
RCC,8/14/2017 00:00:00,14.9,15,14.9,15,3100
RCC,8/15/2017 00:00:00,15,15.5,15,15.5,4500
RCC,8/21/2017 00:00:00,14,14,14,14,1500
RCC,8/25/2017 00:00:00,15.7,15.7,15.7,15.7,4000
RCC,8/28/2017 00:00:00,15.9,15.9,15.9,15.9,100
