Ticker,Date/Time,Open,High,Low,Close,Volume
SAP,12/15/2006 00:00:00,12.7277,12.7277,12.7277,12.7277,500
SAP,12/20/2006 00:00:00,11.4974,11.4974,11.4974,11.4974,500
SAP,12/21/2006 00:00:00,11.2428,11.2428,11.2428,11.2428,200
SAP,12/22/2006 00:00:00,10.6065,10.6065,10.6065,10.6065,2000
SAP,12/25/2006 00:00:00,9.54581,9.54581,9.54581,9.54581,500
SAP,12/26/2006 00:00:00,9.33368,10.1822,8.90942,9.24883,7500
SAP,12/27/2006 00:00:00,8.48516,9.24883,8.48516,9.24883,3300
SAP,12/28/2006 00:00:00,8.48516,9.67308,8.48516,8.73972,3200
SAP,12/29/2006 00:00:00,9.33368,9.33368,8.69729,8.69729,3700
SAP,1/2/2007 00:00:00,10.0973,10.0973,10.0973,10.0973,700
SAP,1/3/2007 00:00:00,10.1822,10.3943,10.1822,10.267,1200
SAP,1/4/2007 00:00:00,10.267,10.267,10.267,10.267,1000
SAP,1/5/2007 00:00:00,11.0307,11.0307,11.0307,11.0307,1000
SAP,1/10/2007 00:00:00,10.3943,10.3943,10.3943,10.3943,500
SAP,1/15/2007 00:00:00,9.70318,9.70318,9.70318,9.70318,500
SAP,1/16/2007 00:00:00,10.3179,10.3179,10.3179,10.3179,3000
SAP,1/18/2007 00:00:00,10.5374,10.5374,10.5374,10.5374,1000
SAP,1/19/2007 00:00:00,11.5911,11.5911,11.5911,11.5911,3600
SAP,1/22/2007 00:00:00,12.118,12.7327,12.118,12.7327,12600
SAP,1/23/2007 00:00:00,12.9522,13.8303,12.9522,12.9522,7200
SAP,1/24/2007 00:00:00,13.4791,13.8303,13.1717,13.1717,3600
SAP,1/26/2007 00:00:00,12.4692,12.4692,12.4692,12.4692,600
SAP,1/29/2007 00:00:00,12.4692,12.4692,12.4692,12.4692,1000
SAP,1/30/2007 00:00:00,12.4692,13.6108,11.8546,13.3913,8500
SAP,1/31/2007 00:00:00,12.9961,13.3913,12.9961,12.9961,1100
SAP,2/1/2007 00:00:00,13.1717,13.1717,13.1717,13.1717,500
SAP,2/2/2007 00:00:00,13.1717,14.4889,13.1717,13.1717,2500
SAP,2/5/2007 00:00:00,13.1717,13.1717,13.1717,13.1717,600
SAP,2/7/2007 00:00:00,12.9522,12.9522,12.9522,12.9522,1200
SAP,2/8/2007 00:00:00,12.9083,13.1717,12.7327,12.7327,1000
SAP,2/12/2007 00:00:00,12.8205,12.9083,12.7327,12.7327,1000
SAP,2/14/2007 00:00:00,12.8205,12.8205,12.8205,12.8205,100
SAP,2/15/2007 00:00:00,12.8205,13.1717,12.7327,13.1717,900
SAP,2/26/2007 00:00:00,13.1717,14.3572,13.1717,14.3572,5300
SAP,2/27/2007 00:00:00,13.7864,15.0158,13.3913,13.3913,5100
SAP,2/28/2007 00:00:00,14.928,15.1475,14.928,15.0158,8500
SAP,3/1/2007 00:00:00,15.6744,16.5086,15.6744,16.5086,5100
SAP,3/2/2007 00:00:00,16.6842,17.4306,16.6842,17.3428,9100
SAP,3/5/2007 00:00:00,19.0112,19.0112,19.0112,19.0112,1100
SAP,3/6/2007 00:00:00,20.8991,20.8991,20.8991,20.8991,900
SAP,3/7/2007 00:00:00,22.9627,22.9627,22.9627,22.9627,5100
SAP,3/8/2007 00:00:00,25.2458,25.2458,25.2458,25.2458,3500
SAP,3/9/2007 00:00:00,27.7485,27.7485,27.7485,27.7485,8900
SAP,3/12/2007 00:00:00,28.5388,30.5145,28.5388,28.5388,12000
SAP,3/13/2007 00:00:00,30.3389,32.9293,28.7144,30.295,6000
SAP,3/14/2007 00:00:00,28.0997,30.734,27.485,27.485,2500
SAP,3/15/2007 00:00:00,25.2897,25.2897,25.2897,25.2897,2200
SAP,3/16/2007 00:00:00,22.9627,23.2701,22.7871,23.2701,16100
SAP,3/19/2007 00:00:00,25.2458,25.2458,25.2458,25.2458,3300
SAP,3/20/2007 00:00:00,27.7485,27.7485,27.7485,27.7485,10800
SAP,3/21/2007 00:00:00,27.7485,30.5145,27.6606,28.9778,2700
SAP,3/22/2007 00:00:00,26.4313,26.4313,26.4313,26.4313,3600
SAP,3/23/2007 00:00:00,24.3238,26.4313,23.7969,24.1482,3300
SAP,3/26/2007 00:00:00,22.0407,22.9627,21.909,21.909,4000
SAP,3/28/2007 00:00:00,20.1011,22.0407,19.8366,22.0407,9900
SAP,3/29/2007 00:00:00,22.0848,22.0848,22.0848,22.0848,1800
SAP,3/30/2007 00:00:00,22.9223,24.2889,22.9223,22.9223,4600
SAP,4/2/2007 00:00:00,23.7599,26.0962,23.1427,23.3631,1700
SAP,4/3/2007 00:00:00,21.644,21.644,21.644,21.644,600
SAP,4/4/2007 00:00:00,21.644,22.0407,21.5999,21.5999,1000
SAP,4/5/2007 00:00:00,22.0407,22.0407,22.0407,22.0407,700
SAP,4/6/2007 00:00:00,19.9248,20.2774,19.8366,19.8366,500
SAP,4/9/2007 00:00:00,19.8366,19.8366,19.8366,19.8366,200
SAP,4/10/2007 00:00:00,19.2636,19.8366,18.0734,18.0734,1500
SAP,4/11/2007 00:00:00,17.6766,18.5142,17.3681,17.5444,5800
SAP,4/12/2007 00:00:00,16.9713,17.6326,16.1779,16.1779,5800
SAP,4/13/2007 00:00:00,16.0456,16.7509,15.8693,15.8693,2900
SAP,4/16/2007 00:00:00,16.0456,17.6326,15.4285,17.6326,600
SAP,4/17/2007 00:00:00,14.9877,15.2081,14.5909,14.5909,1100
SAP,4/18/2007 00:00:00,14.9877,16.4864,13.4889,16.4864,800
SAP,4/19/2007 00:00:00,17.4122,17.6766,17.4122,17.4122,1700
SAP,4/20/2007 00:00:00,18.4701,19.1754,18.4701,19.1754,5300
SAP,4/23/2007 00:00:00,17.2358,17.2799,17.1917,17.1917,2500
SAP,4/24/2007 00:00:00,17.1917,17.2358,17.1917,17.2358,3400
SAP,4/25/2007 00:00:00,17.1917,18.9109,17.1917,18.9109,1100
SAP,5/2/2007 00:00:00,17.897,18.0734,17.897,18.0734,1200
SAP,5/3/2007 00:00:00,17.6326,17.6326,17.6326,17.6326,1000
SAP,5/4/2007 00:00:00,17.6326,18.955,17.1917,18.955,700
SAP,5/7/2007 00:00:00,17.4122,17.4122,17.4122,17.4122,200
SAP,5/8/2007 00:00:00,18.5142,18.5142,18.5142,18.5142,500
SAP,5/9/2007 00:00:00,18.4701,18.4701,18.4701,18.4701,100
SAP,5/10/2007 00:00:00,18.2938,18.2938,18.2938,18.2938,100
SAP,5/14/2007 00:00:00,18.1615,18.2938,18.0734,18.2938,1800
SAP,5/15/2007 00:00:00,17.9852,18.2938,17.6326,18.2938,400
SAP,5/16/2007 00:00:00,17.9852,17.9852,17.9852,17.9852,100
SAP,5/18/2007 00:00:00,17.4122,17.5885,17.1917,17.5885,1600
