Ticker,Date/Time,Open,High,Low,Close,Volume
SDX,10/13/2015 00:00:00,5.3,5.3,5.3,5.3,3500
SDX,10/19/2015 00:00:00,5.4,5.4,5.4,5.4,110
SDX,10/23/2015 00:00:00,6.2,6.2,6.2,6.2,110
SDX,10/26/2015 00:00:00,6.8,6.8,6.8,6.8,100
SDX,10/29/2015 00:00:00,7.8,7.8,7.8,7.8,100
SDX,11/2/2015 00:00:00,7.6,7.6,7.6,7.6,100
SDX,11/5/2015 00:00:00,7.6,7.6,7.6,7.6,100
SDX,11/6/2015 00:00:00,6.7,6.7,6.7,6.7,100
SDX,11/11/2015 00:00:00,7.7,7.7,7.7,7.7,100
SDX,11/12/2015 00:00:00,8.8,8.8,8.8,8.8,100
SDX,11/17/2015 00:00:00,10.1,10.1,10.1,10.1,100
SDX,11/20/2015 00:00:00,8.6,8.6,8.6,8.6,100
SDX,11/25/2015 00:00:00,9.8,9.8,9.8,9.8,200
SDX,11/30/2015 00:00:00,9.8,9.8,9.8,9.8,100
SDX,12/1/2015 00:00:00,11.2,11.2,11.2,11.2,100
SDX,12/3/2015 00:00:00,9.6,9.6,9.6,9.6,100
SDX,12/4/2015 00:00:00,11,11,8.2,8.2,400
SDX,12/10/2015 00:00:00,7.8,7.8,7.8,7.8,200
SDX,12/15/2015 00:00:00,6.8,6.8,6.8,6.8,100
SDX,12/17/2015 00:00:00,5.8,5.8,5.8,5.8,100
SDX,12/21/2015 00:00:00,6.6,6.6,6.6,6.6,100
SDX,12/23/2015 00:00:00,7.5,7.5,7.5,7.5,100
SDX,12/24/2015 00:00:00,8.6,8.6,8.6,8.6,100
SDX,12/25/2015 00:00:00,8.6,8.6,8.6,8.6,100
SDX,12/29/2015 00:00:00,9.8,9.8,9.8,9.8,200
SDX,12/30/2015 00:00:00,11.2,11.2,11.2,11.2,100
SDX,12/31/2015 00:00:00,12.8,12.8,12.8,12.8,100
SDX,1/7/2016 00:00:00,14.7,14.7,14.7,14.7,100
SDX,1/14/2016 00:00:00,12.5,16,12.5,16,200
SDX,1/15/2016 00:00:00,12.2,12.2,12.2,12.2,100
SDX,1/19/2016 00:00:00,14,14,14,14,100
SDX,1/20/2016 00:00:00,16.1,16.1,11.9,11.9,200
SDX,1/21/2016 00:00:00,11.9,11.9,11.9,11.9,100
SDX,1/25/2016 00:00:00,13.6,13.6,13.6,13.6,100
SDX,1/26/2016 00:00:00,15.6,15.6,11.6,11.6,200
SDX,1/27/2016 00:00:00,11.6,15.6,11.6,15.6,200
SDX,1/28/2016 00:00:00,15.6,15.6,15.6,15.6,100
SDX,1/29/2016 00:00:00,16.3,16.3,13.3,13.3,300
SDX,2/1/2016 00:00:00,16.4,16.4,16.4,16.4,100
SDX,2/3/2016 00:00:00,18.8,18.8,14,14,400
SDX,2/15/2016 00:00:00,17.4,17.4,13,13,200
SDX,2/19/2016 00:00:00,13,13,13,13,100
SDX,3/29/2016 00:00:00,7.8,7.8,7.8,7.8,300
SDX,3/30/2016 00:00:00,8.9,8.9,6.7,6.7,3700
SDX,3/31/2016 00:00:00,7.8,7.8,7.8,7.8,100
SDX,4/4/2016 00:00:00,8.6,8.6,8.6,8.6,100
SDX,4/5/2016 00:00:00,8.9,8.9,8.9,8.9,100
SDX,4/6/2016 00:00:00,7.6,7.6,7.6,7.6,100
SDX,4/11/2016 00:00:00,8.5,8.5,8.5,8.5,100
SDX,4/20/2016 00:00:00,9.5,9.5,9.5,9.5,100
SDX,4/21/2016 00:00:00,8.1,10.7,8.1,10.7,200
SDX,4/22/2016 00:00:00,10.3,10.3,10.3,10.3,100
SDX,4/26/2016 00:00:00,10.9,10.9,10.9,10.9,100
SDX,4/28/2016 00:00:00,11.2,11.2,11.2,11.2,100
SDX,6/15/2016 00:00:00,9.4,9.4,9.4,9.4,100
SDX,6/16/2016 00:00:00,10.6,10.6,10.6,10.6,100
SDX,6/17/2016 00:00:00,11.7,11.7,11.7,11.7,100
SDX,6/20/2016 00:00:00,13,13,13,13,100
SDX,6/21/2016 00:00:00,11.1,11.1,11.1,11.1,100
SDX,7/28/2016 00:00:00,15,15,15,15,100
SDX,8/31/2016 00:00:00,12.8,16.5,12.8,12.8,600
SDX,9/5/2016 00:00:00,11.4,11.4,11.4,11.4,700
SDX,9/6/2016 00:00:00,13.1,13.1,13.1,13.1,100
SDX,9/7/2016 00:00:00,15,15,15,15,100
SDX,9/9/2016 00:00:00,17.2,17.2,17.2,17.2,100
SDX,9/12/2016 00:00:00,19.7,19.7,19.6,19.6,200
SDX,9/13/2016 00:00:00,16.8,22.6,16.8,16.8,1800
SDX,9/16/2016 00:00:00,15.4,20.8,15.4,20.8,900
SDX,10/20/2016 00:00:00,14.2,14.2,14.2,14.2,200
SDX,12/8/2016 00:00:00,8.6,8.6,8.6,8.6,100
SDX,4/28/2017 00:00:00,5.2,5.2,5.2,5.2,800
SDX,12/27/2017 00:00:00,5.2,5.2,5.2,5.2,2800
SDX,1/18/2018 00:00:00,5.5,5.5,5.5,5.5,100
SDX,1/24/2018 00:00:00,6,6,6,6,100
SDX,1/25/2018 00:00:00,6.8,6.8,6.8,6.8,100
SDX,8/28/2020 00:00:00,4.2,4.2,4.2,4.2,1100
SDX,11/6/2020 00:00:00,3.6,3.6,3.6,3.6,5300
SDX,12/18/2020 00:00:00,3.1,3.1,3.1,3.1,600
SDX,1/8/2021 00:00:00,2.7,2.7,2.7,2.7,1100
SDX,1/22/2021 00:00:00,2.3,2.3,2.3,2.3,1000
SDX,2/5/2021 00:00:00,2,2,2,2,100
SDX,3/5/2021 00:00:00,2.3,2.3,2.1,2.1,1000
SDX,3/12/2021 00:00:00,1.8,1.8,1.8,1.8,15300
SDX,3/19/2021 00:00:00,1.6,1.6,1.6,1.6,11900
SDX,3/26/2021 00:00:00,1.4,1.4,1.4,1.4,200
SDX,4/2/2021 00:00:00,1.6,1.6,1.4,1.6,6400
SDX,4/9/2021 00:00:00,1.7,1.7,1.7,1.7,3100
SDX,4/16/2021 00:00:00,1.9,1.9,1.9,1.9,24900
SDX,4/23/2021 00:00:00,1.9,1.9,1.7,1.7,9300
SDX,5/7/2021 00:00:00,1.5,1.5,1.5,1.5,3900
SDX,5/14/2021 00:00:00,1.3,1.4,1.3,1.4,8200
SDX,5/21/2021 00:00:00,1.3,1.4,1.3,1.4,700
SDX,5/28/2021 00:00:00,1.6,1.6,1.6,1.6,200
SDX,6/4/2021 00:00:00,1.6,1.6,1.6,1.6,3900
SDX,6/18/2021 00:00:00,1.6,1.6,1.4,1.4,2500
SDX,6/25/2021 00:00:00,1.6,1.7,1.6,1.7,400
SDX,7/2/2021 00:00:00,1.6,1.6,1.6,1.6,100
SDX,7/16/2021 00:00:00,1.6,1.6,1.6,1.6,2000
SDX,7/23/2021 00:00:00,1.7,1.7,1.7,1.7,20000
SDX,7/30/2021 00:00:00,1.7,1.9,1.7,1.9,9600
SDX,8/6/2021 00:00:00,1.9,1.9,1.9,1.9,100
SDX,8/27/2021 00:00:00,1.9,1.9,1.9,1.9,300
SDX,9/24/2021 00:00:00,1.9,1.9,1.9,1.9,3600
SDX,10/15/2021 00:00:00,1.7,2.1,1.7,2.1,11500
SDX,10/22/2021 00:00:00,2.2,2.3,2.2,2.3,22200
SDX,10/29/2021 00:00:00,2.6,2.6,2.6,2.6,4100
SDX,11/5/2021 00:00:00,2.6,2.9,2.6,2.9,20100
SDX,11/12/2021 00:00:00,3.3,3.3,3.3,3.3,12900
SDX,11/19/2021 00:00:00,3.7,3.7,3.7,3.7,10300
SDX,11/26/2021 00:00:00,4.2,4.2,3.8,4,7400
SDX,12/3/2021 00:00:00,4.7,4.7,3.6,4.2,12500
SDX,12/10/2021 00:00:00,4.4,4.9,4.4,4.5,10600
SDX,12/17/2021 00:00:00,4.5,4.9,4.1,4.1,11900
SDX,12/24/2021 00:00:00,4.5,5.1,4,4,11200
SDX,1/7/2022 00:00:00,4.4,5.1,4,4.6,26400
SDX,1/14/2022 00:00:00,5.1,5.1,4,4,6800
SDX,1/21/2022 00:00:00,4.8,4.8,3.9,4.1,33100
SDX,1/28/2022 00:00:00,4.8,4.8,4.5,4.8,15000
SDX,2/11/2022 00:00:00,4.1,4.4,4.1,4.2,1900
SDX,2/18/2022 00:00:00,4.6,4.6,3.5,3.5,8500
SDX,2/25/2022 00:00:00,4,4,3.5,3.9,20500
SDX,3/4/2022 00:00:00,3.6,3.6,3.2,3.5,14000
SDX,3/11/2022 00:00:00,3.2,3.2,2.9,3.2,31500
SDX,3/18/2022 00:00:00,3,3,2.9,3,11600
SDX,3/25/2022 00:00:00,3,3,2.9,2.9,14700
SDX,4/1/2022 00:00:00,2.9,3,2.9,3,1400
