Ticker,Date/Time,Open,High,Low,Close,Volume
SHC,8/16/2006 00:00:00,30,31.5,29.5,31.5,48010
SHC,8/17/2006 00:00:00,32.5,33,32.5,32.5,39600
SHC,8/18/2006 00:00:00,31.5,31.5,31.5,31.5,17940
SHC,8/21/2006 00:00:00,31,31,30.5,30.5,9600
SHC,8/22/2006 00:00:00,29.2,29.2,29.2,29.2,11640
SHC,8/23/2006 00:00:00,29,29,28.1,29,17820
SHC,8/24/2006 00:00:00,29.7,30,29.7,30,11800
SHC,8/25/2006 00:00:00,30,30.5,29.6,29.6,7650
SHC,8/28/2006 00:00:00,30.5,31,30.5,31,10000
SHC,8/29/2006 00:00:00,32.2,32.5,32.2,32.5,34230
SHC,8/30/2006 00:00:00,33.8,34.1,33.8,34.1,36650
SHC,8/31/2006 00:00:00,34.1,35,34.1,34.2,28430
SHC,9/1/2006 00:00:00,34.8,35.5,34.8,35.5,40910
SHC,9/5/2006 00:00:00,36,37.2,36,37.2,26190
SHC,9/6/2006 00:00:00,37.2,38.5,36.2,36.2,19600
SHC,9/7/2006 00:00:00,36.2,36.2,35.2,35.2,22520
SHC,9/8/2006 00:00:00,35.2,35.6,34.7,35.6,21960
SHC,9/11/2006 00:00:00,35.6,37.3,35.4,35.4,16300
SHC,9/12/2006 00:00:00,36.5,37.1,36.5,36.5,74600
SHC,9/13/2006 00:00:00,36.9,37.1,36.9,37.1,18510
SHC,9/14/2006 00:00:00,37.1,37.5,37,37,32930
SHC,9/15/2006 00:00:00,37,37.4,37,37.4,19490
SHC,9/18/2006 00:00:00,37,37,36.6,36.6,16400
SHC,9/19/2006 00:00:00,36.6,37,36.6,37,31190
SHC,9/20/2006 00:00:00,37.2,37.5,37.2,37.2,24700
SHC,9/21/2006 00:00:00,37,37,36.5,37,18790
SHC,9/22/2006 00:00:00,37.1,37.5,37.1,37.5,26800
SHC,9/25/2006 00:00:00,37.5,38,37.5,37.8,20020
SHC,9/26/2006 00:00:00,38.2,38.5,38.2,38.5,19230
SHC,9/27/2006 00:00:00,39.2,39.5,39.2,39.5,31640
SHC,9/28/2006 00:00:00,39,39,38.6,38.8,14720
SHC,9/29/2006 00:00:00,38.8,38.8,38.6,38.6,18400
SHC,10/2/2006 00:00:00,38.6,38.6,38.4,38.4,8060
SHC,10/3/2006 00:00:00,38.4,38.4,38,38.4,13600
SHC,10/4/2006 00:00:00,38.3,38.3,38,38,8300
SHC,10/5/2006 00:00:00,37.9,37.9,37.5,37.5,15660
SHC,10/6/2006 00:00:00,37.5,37.5,37,37.5,10040
SHC,10/9/2006 00:00:00,37.4,37.4,37.2,37.2,9200
SHC,10/10/2006 00:00:00,37,37,35.6,36.5,950
SHC,10/11/2006 00:00:00,36.5,36.5,36.5,36.5,1600
SHC,10/12/2006 00:00:00,36.5,37,36.5,37,5380
SHC,10/13/2006 00:00:00,37,37,36.8,36.8,12850
SHC,10/16/2006 00:00:00,36.8,36.9,36.8,36.8,8590
SHC,10/17/2006 00:00:00,36.5,36.5,35.5,35.5,3620
SHC,10/18/2006 00:00:00,35,35,34.6,35,19580
SHC,10/19/2006 00:00:00,35,36.5,35,36.5,1070
SHC,10/20/2006 00:00:00,37.3,37.3,37.3,37.3,9030
SHC,10/23/2006 00:00:00,37.3,37.3,36,36.2,13430
SHC,10/24/2006 00:00:00,36.2,36.5,36,36,4650
SHC,10/25/2006 00:00:00,36,36,35.9,35.9,7800
SHC,10/26/2006 00:00:00,35.9,36,35.8,35.9,2430
SHC,10/27/2006 00:00:00,35.4,35.4,34.7,35.1,9320
SHC,10/30/2006 00:00:00,34,34,33.5,33.5,6600
SHC,10/31/2006 00:00:00,33.5,33.5,33,33.5,6200
SHC,11/1/2006 00:00:00,33.5,34.7,33.5,34.7,6900
SHC,11/2/2006 00:00:00,34.7,34.7,33.8,33.8,6210
SHC,11/3/2006 00:00:00,33.5,33.5,32.7,33.5,6700
SHC,11/6/2006 00:00:00,33.5,34.2,33.5,34.2,10
SHC,11/7/2006 00:00:00,33.7,33.7,33.5,33.7,6910
SHC,11/8/2006 00:00:00,33.5,33.5,33.4,33.4,7770
SHC,11/9/2006 00:00:00,33.2,33.2,33,33,14100
SHC,11/10/2006 00:00:00,32.8,32.8,32,32,13450
SHC,11/13/2006 00:00:00,31.5,31.5,31.5,31.5,10600
SHC,11/14/2006 00:00:00,32.5,33,32.5,33,10330
SHC,11/15/2006 00:00:00,34.5,34.6,34.5,34.5,18860
SHC,11/16/2006 00:00:00,34.5,34.5,33.2,33.2,2810
SHC,11/17/2006 00:00:00,34.5,34.5,34.5,34.5,13630
SHC,11/20/2006 00:00:00,33.8,34.5,33,33,10700
SHC,11/21/2006 00:00:00,34,34.5,34,34,19520
SHC,11/22/2006 00:00:00,34,34.3,34,34,14700
SHC,11/23/2006 00:00:00,34,35.5,34,35.5,35570
SHC,11/24/2006 00:00:00,36,36.8,36,36,28060
SHC,11/27/2006 00:00:00,36,36.5,36,36,14300
SHC,11/28/2006 00:00:00,36,36,34.6,36,24000
SHC,11/29/2006 00:00:00,34.5,36,34.5,34.5,2900
SHC,11/30/2006 00:00:00,34.5,34.5,33.7,33.7,10620
SHC,12/1/2006 00:00:00,33.7,34,33.6,34,4400
SHC,12/4/2006 00:00:00,34,34,34,34,4530
SHC,12/5/2006 00:00:00,34,34,34,34,5130
SHC,12/6/2006 00:00:00,34,34,33.9,33.9,4200
SHC,12/7/2006 00:00:00,34,34.5,34,34,14030
SHC,12/8/2006 00:00:00,34,34,34,34,1500
SHC,12/11/2006 00:00:00,34,35.7,34,35.7,36640
SHC,12/12/2006 00:00:00,35.7,35.7,35.7,35.7,2500
SHC,12/13/2006 00:00:00,34.5,35.7,34.5,34.5,1110
SHC,12/14/2006 00:00:00,34.5,34.5,33,33,2390
SHC,12/15/2006 00:00:00,33,34.6,33,34.6,8970
SHC,12/18/2006 00:00:00,36.3,36.3,36.3,36.3,11340
SHC,12/19/2006 00:00:00,38,38.1,38,38,38460
SHC,12/20/2006 00:00:00,38,38,36.1,36.1,18300
SHC,12/21/2006 00:00:00,28.6,28.6,28.6,28.6,6320
SHC,12/22/2006 00:00:00,28.6,28.6,27.5,28.6,8780
SHC,12/25/2006 00:00:00,29.5,29.5,29.5,29.5,2400
SHC,12/26/2006 00:00:00,29.6,30,29.6,29.6,9470
SHC,12/27/2006 00:00:00,29.6,29.6,29.6,29.6,3400
SHC,12/28/2006 00:00:00,29.6,29.6,29.6,29.6,3220
SHC,12/29/2006 00:00:00,29,29,28.2,29,3470
SHC,1/2/2007 00:00:00,29,29,28,29,1040
SHC,1/3/2007 00:00:00,29,29,29,29,1250
SHC,1/4/2007 00:00:00,28.9,28.9,28,28.9,9300
SHC,1/5/2007 00:00:00,28.9,28.9,28.9,28.9,5450
SHC,1/8/2007 00:00:00,28.9,28.9,27.7,28.9,7400
SHC,1/9/2007 00:00:00,29,29,29,29,9510
SHC,1/10/2007 00:00:00,30.4,30.4,30.4,30.4,20640
SHC,1/11/2007 00:00:00,31.9,31.9,31.9,31.9,14480
SHC,1/12/2007 00:00:00,33.4,33.4,33.4,33.4,14700
SHC,1/15/2007 00:00:00,35,35,35,35,28980
SHC,1/16/2007 00:00:00,36.7,36.7,36.7,36.7,19930
SHC,1/17/2007 00:00:00,38.5,38.5,38.5,38.5,44200
SHC,1/18/2007 00:00:00,37,37,36.6,36.6,26730
SHC,1/19/2007 00:00:00,36.6,36.6,34.8,36.5,18600
SHC,1/22/2007 00:00:00,36.5,36.5,36,36,19980
SHC,1/23/2007 00:00:00,35.9,35.9,35,35,27220
SHC,1/24/2007 00:00:00,34.5,34.5,33.3,34,8050
SHC,1/25/2007 00:00:00,34,34,33,33,2360
SHC,1/26/2007 00:00:00,33,33,31.4,31.4,2900
SHC,1/29/2007 00:00:00,31.3,31.3,30,30,20240
SHC,1/30/2007 00:00:00,30,30,30,30,500
SHC,1/31/2007 00:00:00,33,33,33,33,1240
SHC,2/1/2007 00:00:00,34.6,34.6,34.6,34.6,1130
SHC,2/2/2007 00:00:00,32.9,32.9,32.9,32.9,4230
SHC,2/5/2007 00:00:00,33,34.5,33,33,16680
SHC,2/6/2007 00:00:00,33,34,33,33,13830
SHC,2/7/2007 00:00:00,34.5,34.6,34.5,34.5,54230
SHC,2/8/2007 00:00:00,36,36.2,36,36,61060
SHC,2/9/2007 00:00:00,36,36,36,36,9980
SHC,2/12/2007 00:00:00,36,36,34.5,34.5,7950
SHC,2/13/2007 00:00:00,34.5,35.8,34.5,35.8,14850
SHC,2/14/2007 00:00:00,35.8,35.8,35.8,35.8,9200
SHC,2/15/2007 00:00:00,35.8,35.8,35.1,35.2,3500
SHC,2/26/2007 00:00:00,35.2,36.5,33.5,36.5,14080
SHC,2/27/2007 00:00:00,36.5,38.1,36.5,36.5,42330
SHC,2/28/2007 00:00:00,36.5,36.5,36.5,36.5,23720
SHC,3/1/2007 00:00:00,38,38.3,38,38.3,51280
SHC,3/2/2007 00:00:00,40.2,40.2,40.2,40.2,51920
SHC,3/5/2007 00:00:00,42.2,42.2,42.2,42.2,16110
SHC,3/6/2007 00:00:00,42.2,44.3,42.2,44.3,17830
SHC,3/7/2007 00:00:00,46.5,46.5,46.5,46.5,9620
SHC,3/8/2007 00:00:00,46.5,48.8,46.5,48.8,5310
SHC,3/9/2007 00:00:00,51,51,51,51,8760
SHC,3/12/2007 00:00:00,53.5,53.5,53.5,53.5,26730
SHC,3/13/2007 00:00:00,53.5,56,51,51,56330
SHC,3/14/2007 00:00:00,48.5,48.5,48.5,48.5,29540
SHC,3/15/2007 00:00:00,46.1,46.1,46.1,46.1,18550
SHC,3/16/2007 00:00:00,43.8,43.8,43.8,43.8,46150
SHC,3/19/2007 00:00:00,45.9,45.9,45.9,45.9,18000
SHC,3/20/2007 00:00:00,47,48.1,47,47,91530
SHC,3/21/2007 00:00:00,47,49,44.7,44.7,35830
SHC,3/22/2007 00:00:00,43,43,42.5,42.5,32890
SHC,3/23/2007 00:00:00,42.5,44.5,40.4,40.4,31610
SHC,3/26/2007 00:00:00,38.4,38.4,38.4,38.4,26440
SHC,3/27/2007 00:00:00,36.5,36.5,36.5,36.5,12410
SHC,3/28/2007 00:00:00,34.7,34.7,34.7,34.7,27330
SHC,3/29/2007 00:00:00,36.4,36.4,36.4,36.4,65940
SHC,3/30/2007 00:00:00,38.2,38.2,38.2,38.2,30230
SHC,4/2/2007 00:00:00,40,40.1,40,40,44490
SHC,4/3/2007 00:00:00,38,40,38,38,10250
SHC,4/4/2007 00:00:00,38,38,36.1,38,20410
SHC,4/5/2007 00:00:00,37.7,38,37.7,37.7,19070
SHC,4/6/2007 00:00:00,37,37,36.5,37,10090
SHC,4/9/2007 00:00:00,37,37,35.4,37,7200
SHC,4/10/2007 00:00:00,37,37,37,37,2960
SHC,4/11/2007 00:00:00,36.9,36.9,35.8,36.9,11680
SHC,4/12/2007 00:00:00,36,36.5,36,36,13260
SHC,4/13/2007 00:00:00,34.2,35,34.2,34.2,12390
SHC,4/16/2007 00:00:00,32.7,32.7,32.5,32.7,13930
SHC,4/17/2007 00:00:00,31.1,31.1,31.1,31.1,11720
SHC,4/18/2007 00:00:00,31.1,32.6,31.1,32.6,17000
SHC,4/19/2007 00:00:00,33.5,34.2,33.5,33.5,30920
SHC,4/20/2007 00:00:00,32,32,32,32,7270
SHC,4/23/2007 00:00:00,31,31,30.4,31,10250
SHC,4/24/2007 00:00:00,31,31,30.1,31,7580
SHC,4/25/2007 00:00:00,31,32.5,31,32.5,4030
SHC,5/2/2007 00:00:00,32,32.5,32,32,5430
SHC,5/3/2007 00:00:00,31.1,32,31.1,31.1,2180
SHC,5/4/2007 00:00:00,31.1,31.3,31,31.1,3230
SHC,5/7/2007 00:00:00,31.1,31.1,31.1,31.1,12390
SHC,5/8/2007 00:00:00,32,32.6,32,32,11400
SHC,5/9/2007 00:00:00,32,32.5,32,32,15790
SHC,5/10/2007 00:00:00,31.5,32,31,31.5,5260
SHC,5/11/2007 00:00:00,31,31,31,31,4960
SHC,5/14/2007 00:00:00,31.2,31.5,31.2,31.2,12480
SHC,5/15/2007 00:00:00,32,32.3,32,32,21820
SHC,5/16/2007 00:00:00,31.2,32,31.2,31.2,4650
SHC,5/17/2007 00:00:00,31.2,31.2,30.3,31.2,6150
SHC,5/18/2007 00:00:00,31.2,31.2,31.2,31.2,9050
SHC,5/21/2007 00:00:00,31,31,31,31,9350
SHC,5/22/2007 00:00:00,31.5,32,31.5,32,23830
SHC,5/23/2007 00:00:00,33.5,33.6,33.5,33.5,23520
SHC,5/24/2007 00:00:00,32,32,32,32,9900
SHC,5/25/2007 00:00:00,32,32.2,32,32.2,7180
SHC,5/28/2007 00:00:00,31.5,32,30.8,31.5,10200
