Ticker,Date/Time,Open,High,Low,Close,Volume
SHX,3/8/2017 00:00:00,5,5,5,5,900
SHX,6/14/2017 00:00:00,4.5,4.5,4.5,4.5,1600
SHX,7/4/2017 00:00:00,5,5,5,5,1610
SHX,1/23/2018 00:00:00,5,5,5,5,300
SHX,11/20/2018 00:00:00,5,5,5,5,100
SHX,12/25/2018 00:00:00,5.7,5.7,5.7,5.7,100
SHX,12/26/2018 00:00:00,6.5,6.5,6.5,6.5,100
SHX,1/2/2019 00:00:00,7.4,7.4,7.4,7.4,100
SHX,1/3/2019 00:00:00,8.5,8.5,8.5,8.5,100
SHX,1/7/2019 00:00:00,9.7,9.7,9.7,9.7,100
SHX,1/14/2019 00:00:00,11.1,11.1,11.1,11.1,100
SHX,1/15/2019 00:00:00,12.7,12.7,12.7,12.7,100
SHX,1/21/2019 00:00:00,14.6,14.6,14.6,14.6,100
SHX,9/10/2019 00:00:00,20,20,20,20,1300
SHX,9/30/2020 00:00:00,12,12,12,12,100
