Ticker,Date/Time,Open,High,Low,Close,Volume
SP2,10/7/2016 00:00:00,7,7,4.2,4.2,1100
SP2,10/28/2016 00:00:00,3.9,3.9,3.9,3.9,600
SP2,11/25/2016 00:00:00,3.4,3.4,3.4,3.4,2000
SP2,12/2/2016 00:00:00,3.9,3.9,3.9,3.9,2700
SP2,12/9/2016 00:00:00,4.3,4.3,4.1,4.1,2600
SP2,12/16/2016 00:00:00,4.5,4.5,4.5,4.5,100
SP2,12/30/2016 00:00:00,4.1,4.2,4,4,18500
SP2,1/6/2017 00:00:00,4,4,4,4,1500
SP2,1/13/2017 00:00:00,4,4.5,4,4.5,7000
SP2,1/20/2017 00:00:00,4.3,4.3,4.3,4.3,17400
SP2,2/3/2017 00:00:00,4,4.3,4,4.3,10300
SP2,2/17/2017 00:00:00,4.2,4.2,4.2,4.2,21700
SP2,2/24/2017 00:00:00,4.8,4.8,4.2,4.7,15000
SP2,3/3/2017 00:00:00,4,5.4,4,4,86000
SP2,3/10/2017 00:00:00,4.4,5.5,4.4,4.4,11600
SP2,3/17/2017 00:00:00,4.6,4.6,4,4.4,23500
SP2,3/24/2017 00:00:00,3.7,4.8,3.7,4.8,32600
SP2,3/31/2017 00:00:00,4.9,5.1,4.9,5.1,21400
SP2,4/7/2017 00:00:00,4.9,4.9,4.9,4.9,8000
SP2,4/14/2017 00:00:00,5,5,4.9,5,37000
SP2,4/21/2017 00:00:00,5,5,5,5,600
SP2,4/28/2017 00:00:00,4.3,5,4.3,5,5100
SP2,5/5/2017 00:00:00,4.6,4.6,4.6,4.6,5600
SP2,5/19/2017 00:00:00,5.1,5.2,5.1,5.2,24300
SP2,5/26/2017 00:00:00,5.7,5.7,5.7,5.7,100
SP2,6/23/2017 00:00:00,5,5,4.9,4.9,7600
SP2,6/30/2017 00:00:00,5.7,5.7,5,5.6,35800
SP2,7/28/2017 00:00:00,5,5.2,5,5.2,17020
SP2,8/4/2017 00:00:00,5.7,5.7,5.7,5.7,25400
SP2,8/11/2017 00:00:00,6.5,6.5,6.5,6.5,200
SP2,8/18/2017 00:00:00,7.4,7.4,7.4,7.4,7800
SP2,8/25/2017 00:00:00,7.4,8.5,6.3,8.5,59100
