Ticker,Date/Time,Open,High,Low,Close,Volume
SSG,1/6/2011 00:00:00,14.5,14.5,14.5,14.5,5000
SSG,1/7/2011 00:00:00,15.5,15.5,15.5,15.5,1000
SSG,1/10/2011 00:00:00,16,16.5,16,16.5,4300
SSG,1/11/2011 00:00:00,17.3,17.3,17.3,17.3,8700
SSG,1/12/2011 00:00:00,18.5,18.5,18.5,18.5,4000
SSG,1/13/2011 00:00:00,19.7,19.7,19.6,19.6,6200
SSG,1/14/2011 00:00:00,18.3,18.3,18.3,18.3,3400
SSG,1/17/2011 00:00:00,18,18.5,18,18.5,3000
SSG,1/18/2011 00:00:00,17.1,17.1,17.1,17.1,100
SSG,1/19/2011 00:00:00,16,16,16,16,6300
SSG,1/20/2011 00:00:00,14.9,16,14.9,15.5,13100
SSG,1/21/2011 00:00:00,15,15,14.2,14.2,4900
SSG,1/25/2011 00:00:00,14,14,13.7,13.7,3300
SSG,1/26/2011 00:00:00,13.5,13.5,13,13,1300
SSG,1/27/2011 00:00:00,12.3,12.3,12.3,12.3,2400
SSG,1/28/2011 00:00:00,11.6,11.7,11.5,11.5,5000
SSG,2/10/2011 00:00:00,11.1,12.4,11.1,12.4,1400
SSG,2/11/2011 00:00:00,12.7,12.7,12.7,12.7,1800
SSG,2/14/2011 00:00:00,13.5,13.5,13,13.5,2700
SSG,2/16/2011 00:00:00,13,13,13,13,1500
SSG,2/17/2011 00:00:00,12.2,12.2,12.2,12.2,5700
SSG,2/21/2011 00:00:00,11.4,11.4,11.4,11.4,6000
SSG,2/22/2011 00:00:00,11.4,11.4,11.4,11.4,4200
SSG,2/23/2011 00:00:00,12.1,12.1,12.1,12.1,100
SSG,3/1/2011 00:00:00,11.3,11.3,11.3,11.3,100
SSG,3/4/2011 00:00:00,11,11,11,11,4500
SSG,3/11/2011 00:00:00,10.3,10.6,10.3,10.3,1000
SSG,3/14/2011 00:00:00,9.7,9.7,9.7,9.7,2000
SSG,3/16/2011 00:00:00,9.7,10.3,9.7,10.3,600
SSG,3/17/2011 00:00:00,10.6,10.8,10.6,10.8,3100
SSG,3/21/2011 00:00:00,11.3,11.3,11.3,11.3,100
SSG,3/24/2011 00:00:00,11,11.3,11,11.3,4000
SSG,3/25/2011 00:00:00,11.2,11.2,11.2,11.2,500
SSG,4/22/2011 00:00:00,10.5,10.5,10.5,10.5,100
SSG,4/25/2011 00:00:00,9.8,9.8,9.8,9.8,100
SSG,4/26/2011 00:00:00,9.2,9.2,9.2,9.2,100
SSG,4/27/2011 00:00:00,8.6,8.6,8.6,8.6,400
SSG,4/28/2011 00:00:00,8,8,8,8,100
SSG,5/4/2011 00:00:00,7.5,7.5,7.5,7.5,900
SSG,5/5/2011 00:00:00,7,7,7,7,200
SSG,5/9/2011 00:00:00,6.6,7.3,6.6,6.6,4800
SSG,5/10/2011 00:00:00,7,7,6.6,6.6,3600
SSG,5/11/2011 00:00:00,6.8,7.2,6.8,6.9,3100
SSG,5/16/2011 00:00:00,7,7,7,7,1800
SSG,5/24/2011 00:00:00,6.6,6.6,6.2,6.2,1500
SSG,5/25/2011 00:00:00,6,6,6,6,2000
SSG,5/27/2011 00:00:00,6,6,6,6,2000
SSG,5/31/2011 00:00:00,6,6,6,6,4900
SSG,6/7/2011 00:00:00,6.2,6.4,6.1,6.1,4000
SSG,6/8/2011 00:00:00,6.4,6.4,6.4,6.4,1000
SSG,6/13/2011 00:00:00,6.8,6.8,6.8,6.8,100
SSG,6/15/2011 00:00:00,7,7,7,7,900
SSG,7/4/2011 00:00:00,7.4,7.4,7.4,7.4,200
SSG,7/7/2011 00:00:00,7.9,7.9,7.9,7.9,300
SSG,7/8/2011 00:00:00,8.4,8.4,8.4,8.4,1400
SSG,7/11/2011 00:00:00,8.9,8.9,8.9,8.9,4500
SSG,7/14/2011 00:00:00,9,9,9,9,3000
SSG,7/15/2011 00:00:00,9,9,8.8,9,6600
SSG,7/25/2011 00:00:00,8.4,8.4,8.4,8.4,100
SSG,7/28/2011 00:00:00,8.4,8.4,8.4,8.4,100
SSG,8/4/2011 00:00:00,7.9,7.9,7.9,7.9,5000
SSG,8/10/2011 00:00:00,8.3,8.3,8.3,8.3,8300
SSG,9/13/2011 00:00:00,7.8,7.8,7.8,7.8,600
SSG,9/15/2011 00:00:00,7.6,7.6,7.6,7.6,100
SSG,10/3/2011 00:00:00,7.1,7.1,7.1,7.1,200
SSG,10/7/2011 00:00:00,6.7,6.7,6.7,6.7,2000
SSG,10/10/2011 00:00:00,6.4,6.4,6.4,6.4,4800
SSG,10/21/2011 00:00:00,6.4,6.4,6.4,6.4,1600
SSG,10/26/2011 00:00:00,6.8,6.8,6.8,6.8,2000
SSG,2/23/2012 00:00:00,7.2,7.2,7.2,7.2,100
SSG,3/13/2012 00:00:00,6.7,6.7,6.7,6.7,1700
SSG,3/20/2012 00:00:00,6.3,6.3,6.3,6.3,3000
SSG,3/26/2012 00:00:00,5.9,5.9,5.9,5.9,100
SSG,3/27/2012 00:00:00,5.5,5.5,5.5,5.5,7000
SSG,3/28/2012 00:00:00,5.2,5.2,5.2,5.2,9300
SSG,3/30/2012 00:00:00,5.5,5.5,5.5,5.5,1000
SSG,4/18/2012 00:00:00,5.2,5.2,5.2,5.2,100
SSG,4/19/2012 00:00:00,5,5.5,5,5.5,1200
SSG,5/2/2012 00:00:00,5.3,5.5,5.3,5.5,900
SSG,5/3/2012 00:00:00,5.2,5.2,5.2,5.2,100
SSG,5/7/2012 00:00:00,5.5,5.5,5.5,5.5,100
SSG,5/11/2012 00:00:00,5.2,5.2,5.2,5.2,4800
SSG,5/14/2012 00:00:00,4.9,4.9,4.9,4.9,400
SSG,5/15/2012 00:00:00,4.7,4.7,4.6,4.6,3500
SSG,5/23/2012 00:00:00,4.9,4.9,4.9,4.9,100
SSG,5/25/2012 00:00:00,5.2,5.2,5.2,5.2,100
SSG,7/5/2012 00:00:00,4.9,4.9,4.9,4.9,100
SSG,7/12/2012 00:00:00,4.6,4.6,4.6,4.6,100
SSG,7/20/2012 00:00:00,4.6,4.6,4.3,4.3,1100
SSG,8/3/2012 00:00:00,4,4,4,4,100
SSG,8/9/2012 00:00:00,3.8,3.8,3.8,3.8,100
