Ticker,Date/Time,Open,High,Low,Close,Volume
SVD,2/2/2021 00:00:00,13.8926,13.8926,13.8926,13.8926,1.0372e+006
SVD,2/3/2021 00:00:00,15.75,15.75,15.3,15.75,1.3583e+006
SVD,2/4/2021 00:00:00,16.85,16.85,15.2,16.85,651000
SVD,2/5/2021 00:00:00,15.9,16.95,15.8,16,626000
SVD,2/8/2021 00:00:00,15.8,15.8,14.9,14.9,20100
SVD,2/9/2021 00:00:00,13.9,15,13.9,15,597200
SVD,2/17/2021 00:00:00,15,16.05,14.95,16.05,549200
SVD,2/18/2021 00:00:00,16.7,17.05,16.45,16.85,603500
SVD,2/19/2021 00:00:00,16.85,17.5,16.3,17,474900
SVD,2/22/2021 00:00:00,17,17.5,16.85,17.05,395200
SVD,2/23/2021 00:00:00,17.05,17.05,16.5,16.85,269700
SVD,2/24/2021 00:00:00,16.85,18,16.5,18,773700
SVD,2/25/2021 00:00:00,18.7,18.7,16.8,18.2,482400
SVD,2/26/2021 00:00:00,18.2,18.25,17,17.5,351400
SVD,3/1/2021 00:00:00,17.5,17.55,17,17.5,251700
SVD,3/2/2021 00:00:00,17.5,18.5,17,17.8,383800
SVD,3/3/2021 00:00:00,17.8,17.8,16.6,17.2,432500
SVD,3/4/2021 00:00:00,17.15,17.7,16,17,425400
SVD,3/5/2021 00:00:00,17,17,15.85,16.7,347500
SVD,3/8/2021 00:00:00,16.7,17,15.55,16.9,556900
SVD,3/9/2021 00:00:00,16,16.95,15.75,16.3,367500
SVD,3/10/2021 00:00:00,16.3,16.3,15.2,15.8,535400
SVD,3/11/2021 00:00:00,15.6,16.9,14.7,16.5,776400
SVD,3/12/2021 00:00:00,15.35,16.8,15.35,16.35,272000
SVD,3/15/2021 00:00:00,15.4,15.8,15.25,15.8,115200
SVD,3/16/2021 00:00:00,14.7,14.8,14.7,14.75,146900
SVD,3/17/2021 00:00:00,13.8,15.75,13.75,15.7,717100
SVD,3/18/2021 00:00:00,15,15,14.65,15,123800
SVD,3/19/2021 00:00:00,14.75,14.95,13.95,13.95,176700
SVD,3/22/2021 00:00:00,13.95,14.8,13,14,491700
SVD,3/23/2021 00:00:00,13.3,13.95,13.05,13.55,179400
SVD,3/24/2021 00:00:00,12.7,13.4,12.65,12.65,632900
SVD,3/25/2021 00:00:00,11.95,13,11.8,12.85,337300
SVD,3/26/2021 00:00:00,12.65,12.8,12,12.6,170500
SVD,3/29/2021 00:00:00,12.6,12.95,11.75,12.7,1.068e+006
SVD,3/30/2021 00:00:00,12.6,12.7,11.85,12.45,544100
SVD,3/31/2021 00:00:00,11.85,13.3,11.6,13,1.348e+006
SVD,4/1/2021 00:00:00,12.5,12.9,12.1,12.15,496700
SVD,4/2/2021 00:00:00,12,12,11.3,12,615000
SVD,4/5/2021 00:00:00,11.4,11.9,11.2,11.8,589600
SVD,4/6/2021 00:00:00,11.8,11.8,11,11,794600
SVD,4/7/2021 00:00:00,10.3,11.65,10.25,11.1,1.1098e+006
SVD,4/8/2021 00:00:00,11,11,10.35,10.8,403200
SVD,4/9/2021 00:00:00,10.2,10.45,10.05,10.05,602000
SVD,4/12/2021 00:00:00,9.4,10.05,9.35,9.35,1.0286e+006
SVD,4/13/2021 00:00:00,9,9.6,8.71,9.18,401300
SVD,4/14/2021 00:00:00,9.19,9.82,9.1,9.82,841200
SVD,4/15/2021 00:00:00,10.15,10.5,10.15,10.5,358200
SVD,4/16/2021 00:00:00,11,11,10,10.05,531000
SVD,4/19/2021 00:00:00,10.15,10.2,9.48,9.8,240400
SVD,4/20/2021 00:00:00,9.6,9.8,9.3,9.4,207200
SVD,4/22/2021 00:00:00,9.4,9.41,9,9,246000
SVD,4/23/2021 00:00:00,8.71,9.4,8.7,9.35,146000
SVD,4/26/2021 00:00:00,9.35,9.44,9,9.1,170000
SVD,4/27/2021 00:00:00,9.1,9.1,8.8,8.99,159800
SVD,4/28/2021 00:00:00,9,9.05,8.7,9.05,290500
SVD,4/29/2021 00:00:00,9.05,9.15,8.9,9.04,85900
SVD,5/4/2021 00:00:00,8.95,9,8.73,9,112100
SVD,5/5/2021 00:00:00,9,9,8.81,8.85,115900
SVD,5/6/2021 00:00:00,8.8,8.98,8.75,8.75,107700
SVD,5/7/2021 00:00:00,8.75,8.89,8.7,8.88,143100
SVD,5/10/2021 00:00:00,8.72,8.88,8.61,8.88,199700
SVD,5/11/2021 00:00:00,8.99,8.99,8.7,8.86,70400
SVD,5/12/2021 00:00:00,8.87,8.88,8.3,8.3,801400
SVD,5/13/2021 00:00:00,8.45,8.45,8.2,8.32,90300
SVD,5/14/2021 00:00:00,8.32,8.32,8.21,8.3,129300
SVD,5/17/2021 00:00:00,8.3,8.3,8.12,8.12,261000
SVD,5/18/2021 00:00:00,8.12,8.15,7.85,8.05,281600
SVD,5/19/2021 00:00:00,8.19,8.19,7.8,8.1,143100
SVD,5/20/2021 00:00:00,8.09,8.09,7.81,7.9,99300
SVD,5/21/2021 00:00:00,7.8,8,7.77,7.99,130600
SVD,5/24/2021 00:00:00,8,8.02,7.9,7.99,67600
SVD,5/25/2021 00:00:00,7.99,7.99,7.75,7.86,132600
SVD,5/26/2021 00:00:00,7.76,7.99,7.72,7.99,147600
SVD,5/27/2021 00:00:00,7.99,7.99,7.77,7.94,40400
SVD,5/28/2021 00:00:00,7.94,8.45,7.75,8.43,200700
SVD,5/31/2021 00:00:00,8.5,8.5,8.04,8.4,64000
SVD,6/1/2021 00:00:00,8.39,8.39,8.1,8.26,8500
SVD,6/2/2021 00:00:00,8.26,8.26,8.02,8.03,54600
SVD,6/3/2021 00:00:00,8.18,8.18,8.03,8.15,71800
SVD,6/4/2021 00:00:00,8.15,8.4,8.15,8.35,178100
SVD,6/7/2021 00:00:00,8.25,8.4,8.25,8.35,67200
SVD,6/8/2021 00:00:00,8.55,8.55,8.35,8.36,66600
SVD,6/9/2021 00:00:00,8,8.35,8,8.3,132000
SVD,6/10/2021 00:00:00,8.12,8.27,8.1,8.24,76400
