Ticker,Date/Time,Open,High,Low,Close,Volume
VEF,12/23/2015 00:00:00,11.7,11.7,10.1,10.5,2.7669e+006
VEF,12/24/2015 00:00:00,12,12,10.6,10.6,1.758e+006
VEF,12/25/2015 00:00:00,12,12.4,11,12.4,185200
VEF,12/28/2015 00:00:00,13.5,13.5,12.2,13.5,526100
VEF,12/29/2015 00:00:00,14,15,13.5,15,792300
VEF,12/30/2015 00:00:00,16.1,16.9,12.7,16.9,38500
VEF,12/31/2015 00:00:00,19.3,19.3,18,19.3,737200
VEF,1/4/2016 00:00:00,21,21.2,17,18.3,452100
VEF,1/5/2016 00:00:00,18.8,19,16.4,16.4,357500
VEF,1/6/2016 00:00:00,16,17.4,14.8,16.8,706000
VEF,1/7/2016 00:00:00,16.5,18.5,16.2,18.5,353000
VEF,1/8/2016 00:00:00,19,20.2,19,19.8,324200
VEF,1/11/2016 00:00:00,19.8,19.8,17.7,18.8,229200
VEF,1/12/2016 00:00:00,18.4,20.6,18,20.5,260600
VEF,1/13/2016 00:00:00,20.9,21.8,19.5,20,207500
VEF,1/14/2016 00:00:00,20.5,20.5,19,20,450900
VEF,1/15/2016 00:00:00,19.8,21.8,19.6,21.2,327600
VEF,1/18/2016 00:00:00,21.2,21.2,19.7,20.5,293400
VEF,1/19/2016 00:00:00,19,22,19,20.8,295300
VEF,1/20/2016 00:00:00,20.9,22.5,20.5,22.4,219100
VEF,1/21/2016 00:00:00,22.9,24.8,22.9,24.8,150700
VEF,1/22/2016 00:00:00,27.4,27.9,25.8,27.9,438000
VEF,1/25/2016 00:00:00,29.9,31.2,27,28.5,242200
VEF,1/26/2016 00:00:00,29,29.9,27.1,28,236400
VEF,1/27/2016 00:00:00,29,30.4,28,28.6,201400
VEF,1/28/2016 00:00:00,29.7,29.7,25.8,26.6,249000
VEF,1/29/2016 00:00:00,26.7,26.9,23.2,23.2,283200
VEF,2/1/2016 00:00:00,24.4,27,24.3,25.4,153600
VEF,2/2/2016 00:00:00,25.5,26,23.8,24,100700
VEF,2/3/2016 00:00:00,24,26.2,24,26,113600
VEF,2/4/2016 00:00:00,25.6,28.4,25.6,28,168910
VEF,2/5/2016 00:00:00,28.1,29.7,28,28.6,165900
VEF,2/15/2016 00:00:00,29.2,29.9,28.2,29.2,71500
VEF,2/16/2016 00:00:00,29.5,32.5,29.2,31.6,145900
VEF,2/17/2016 00:00:00,32,35.6,32,35.5,230300
VEF,2/18/2016 00:00:00,35.5,40,35.5,37.1,211300
VEF,2/19/2016 00:00:00,37,37.5,34.4,35.3,252400
VEF,2/22/2016 00:00:00,35.3,41.1,35.3,41.1,187700
VEF,2/23/2016 00:00:00,41,43.9,39.5,39.6,282700
VEF,2/24/2016 00:00:00,38.5,43.7,38.1,41.6,130720
VEF,2/25/2016 00:00:00,41,41,36.9,37,279000
VEF,2/26/2016 00:00:00,37.5,39.5,36.2,39.4,116000
VEF,2/29/2016 00:00:00,41.7,42,40,41,109640
VEF,3/1/2016 00:00:00,41,41.5,39.7,40.4,87200
VEF,3/2/2016 00:00:00,40.3,41.2,38.2,38.6,95000
VEF,3/3/2016 00:00:00,39.9,40,38.5,39.2,101120
VEF,3/4/2016 00:00:00,39,41,39,40.9,97500
VEF,3/7/2016 00:00:00,42,43.2,41.2,41.6,92000
VEF,3/8/2016 00:00:00,42,42,40.6,40.8,53530
VEF,3/9/2016 00:00:00,41,41.5,40.4,40.9,48000
VEF,3/10/2016 00:00:00,41.2,42.5,40.8,42.5,92660
VEF,3/11/2016 00:00:00,42,42.9,42,42.4,50410
VEF,3/14/2016 00:00:00,42.5,43.4,40.5,41.3,96200
VEF,3/15/2016 00:00:00,41.5,41.5,40.6,40.9,94350
VEF,3/16/2016 00:00:00,40.6,42,40.6,41.5,54400
VEF,3/17/2016 00:00:00,41.9,42.5,41.6,42.5,81700
VEF,3/18/2016 00:00:00,42,47.5,42,45.2,198350
VEF,3/21/2016 00:00:00,46,51.1,46,51.1,121080
VEF,3/22/2016 00:00:00,55,57.2,55,57.2,8700
VEF,3/23/2016 00:00:00,65.2,65.2,61,65.2,219670
VEF,3/24/2016 00:00:00,70,74.2,65.5,74.2,122790
VEF,3/25/2016 00:00:00,78,80,70,78,100040
VEF,3/28/2016 00:00:00,80,81,71,74,169930
VEF,3/29/2016 00:00:00,72,78,71.2,75.5,78969
VEF,3/30/2016 00:00:00,76,77,71.1,72,126400
VEF,3/31/2016 00:00:00,72.5,75,63.3,63.3,162500
VEF,4/1/2016 00:00:00,61,61,55.6,55.6,221250
VEF,4/4/2016 00:00:00,48.1,64.5,48,64.2,70120
VEF,4/5/2016 00:00:00,65,69.5,65,69.5,78300
VEF,4/6/2016 00:00:00,69.7,77.9,69.5,77.9,108420
VEF,4/7/2016 00:00:00,81,83,77,78,31150
VEF,4/8/2016 00:00:00,80,80,70.7,72,53121
VEF,4/11/2016 00:00:00,74.1,77.7,68.5,73,29519
VEF,4/12/2016 00:00:00,73,77,72.2,74.8,38920
VEF,4/13/2016 00:00:00,76.5,76.7,73.5,74.9,10510
VEF,4/14/2016 00:00:00,73.5,75,72.5,73,18600
VEF,4/15/2016 00:00:00,73.1,73.1,63,66,110700
VEF,4/19/2016 00:00:00,72.5,77.7,70,72,30600
VEF,4/20/2016 00:00:00,74.5,75,69.4,71,27400
VEF,4/21/2016 00:00:00,69.1,72,68.3,71,33600
VEF,4/22/2016 00:00:00,71.6,74.9,71.6,74,49600
VEF,4/25/2016 00:00:00,75,79,75,79,55610
VEF,4/26/2016 00:00:00,80,88.6,80,88.6,77161
VEF,4/27/2016 00:00:00,90,95,85,87.2,37835
VEF,4/28/2016 00:00:00,84,88.4,76.3,76.3,84800
VEF,4/29/2016 00:00:00,72,78,66.9,76.8,62100
VEF,5/4/2016 00:00:00,75.9,81.9,75,78.4,54700
VEF,5/5/2016 00:00:00,80,80.5,76.5,77.2,52305
VEF,5/6/2016 00:00:00,77.2,79,75,78,28200
VEF,5/9/2016 00:00:00,77.1,81.9,77.1,78.5,42150
VEF,5/10/2016 00:00:00,78.5,78.5,76.2,76.4,44100
VEF,5/11/2016 00:00:00,79,79.3,76.2,78.5,19100
VEF,5/12/2016 00:00:00,76.6,79,76.5,77.4,21100
VEF,5/13/2016 00:00:00,77.4,78,74.6,75.8,39239
VEF,5/16/2016 00:00:00,75,78,74.5,77.8,12100
VEF,5/17/2016 00:00:00,78,81.5,78,79.7,33920
VEF,5/18/2016 00:00:00,80,80,78,78,12089
VEF,5/19/2016 00:00:00,78.7,79.8,78,78,14910
VEF,5/20/2016 00:00:00,79.5,79.5,76.6,77,31820
VEF,5/23/2016 00:00:00,78.4,78.4,75.1,75.8,15110
VEF,5/24/2016 00:00:00,75.6,76.9,75.6,76.3,7700
VEF,5/25/2016 00:00:00,76,76.3,74.7,76.2,35400
VEF,5/26/2016 00:00:00,75.5,76.8,74.9,75.4,21200
VEF,5/27/2016 00:00:00,75.5,75.8,75.2,75.3,8900
VEF,5/30/2016 00:00:00,75.4,78,75.2,76.5,11009
VEF,5/31/2016 00:00:00,79,80,77.7,77.7,37640
VEF,6/1/2016 00:00:00,78.5,79.9,78.5,79.8,28723
VEF,6/2/2016 00:00:00,80,80,79,80,18007
VEF,6/3/2016 00:00:00,79.5,84,78.2,81,31850
VEF,6/6/2016 00:00:00,85,88,82,84.8,39269
VEF,6/7/2016 00:00:00,85,86.5,84.2,85.6,32610
VEF,6/8/2016 00:00:00,86.5,86.5,82,84.5,27294
VEF,6/9/2016 00:00:00,84,84,82.3,82.6,13500
VEF,6/10/2016 00:00:00,82.5,83.4,81,83.4,17661
VEF,6/13/2016 00:00:00,81.6,81.7,80.5,80.9,11800
VEF,6/14/2016 00:00:00,82.5,82.5,80.1,81,16300
VEF,6/15/2016 00:00:00,81,81,80,80.6,24600
VEF,6/16/2016 00:00:00,80.1,81.9,80.1,80.5,36915
VEF,6/17/2016 00:00:00,80.9,81.6,80.3,81,35205
VEF,6/20/2016 00:00:00,80.5,82,80.5,81,17800
VEF,6/21/2016 00:00:00,81,81.5,80,80,21900
VEF,6/22/2016 00:00:00,80,81,78,79.5,24060
VEF,6/23/2016 00:00:00,79.7,80,76.5,78,26845
VEF,6/24/2016 00:00:00,76.5,79.9,69,72,78700
VEF,6/27/2016 00:00:00,71,73,70,72.6,32000
VEF,6/28/2016 00:00:00,72,74.2,72,73.7,35500
VEF,6/29/2016 00:00:00,75,78,74,76.5,17200
VEF,6/30/2016 00:00:00,79,87.8,79,82.9,45200
VEF,7/1/2016 00:00:00,83.9,84.5,82,82.5,19400
VEF,7/4/2016 00:00:00,81,81,79.2,79.2,37100
VEF,7/5/2016 00:00:00,81,81,78.7,78.7,25000
VEF,7/6/2016 00:00:00,78,78.5,77.9,77.9,25100
VEF,7/7/2016 00:00:00,79,81,78.6,79.1,26000
VEF,7/8/2016 00:00:00,79,80.8,79,79,42010
VEF,7/11/2016 00:00:00,79,79,76.1,77.9,35000
VEF,7/12/2016 00:00:00,78.4,78.4,76.2,77.4,16700
VEF,7/13/2016 00:00:00,76.5,77.4,75,75,32200
VEF,7/14/2016 00:00:00,75.2,75.2,73,74,26130
VEF,7/15/2016 00:00:00,74,74,72,73.8,16700
VEF,7/18/2016 00:00:00,74.4,76.2,74.1,75.6,24220
