Ticker,Date/Time,Open,High,Low,Close,Volume
VNY,8/10/2018 00:00:00,3.6,3.6,3.6,3.6,404200
VNY,8/17/2018 00:00:00,3.1,3.1,3.1,3.1,404200
VNY,8/24/2018 00:00:00,2.7,2.7,2.7,2.7,100
VNY,8/31/2018 00:00:00,3.1,3.1,3.1,3.1,100
VNY,9/7/2018 00:00:00,3.5,3.5,3.5,3.5,100
VNY,9/14/2018 00:00:00,4,4,3,3,245400
VNY,9/21/2018 00:00:00,3.4,3.4,3.4,3.4,100
VNY,9/28/2018 00:00:00,3.9,3.9,3.9,3.9,200
VNY,10/5/2018 00:00:00,4.4,4.4,4.4,4.4,100
VNY,10/12/2018 00:00:00,5,5,5,5,100
VNY,10/19/2018 00:00:00,4.3,4.3,4.3,4.3,37000
VNY,10/26/2018 00:00:00,4.9,4.9,4.9,4.9,100
VNY,11/2/2018 00:00:00,5,5,5,5,500
VNY,11/9/2018 00:00:00,5.1,5.1,5.1,5.1,100
VNY,11/16/2018 00:00:00,4.4,4.4,4.4,4.4,6300
VNY,11/23/2018 00:00:00,5,5,5,5,100
VNY,12/7/2018 00:00:00,5,5,5,5,500
VNY,12/14/2018 00:00:00,5.7,5.7,5.7,5.7,100
VNY,1/4/2019 00:00:00,6,6,6,6,500
VNY,1/11/2019 00:00:00,5.1,5.1,5.1,5.1,46500
VNY,12/27/2019 00:00:00,6.5,6.5,6.5,6.5,100
VNY,3/13/2020 00:00:00,5.6,5.6,5.6,5.6,260000
VNY,3/20/2020 00:00:00,4.8,4.8,4.8,4.8,165000
VNY,8/21/2020 00:00:00,5.3,5.3,5.3,5.3,100
VNY,8/28/2020 00:00:00,6,6,6,6,200
VNY,9/11/2020 00:00:00,6.3,6.3,6.3,6.3,100
VNY,9/25/2020 00:00:00,7,7,7,7,600
VNY,10/2/2020 00:00:00,7.7,7.7,7.7,7.7,100
VNY,10/16/2020 00:00:00,8,8,8,8,100
VNY,10/30/2020 00:00:00,8.4,8.4,8.4,8.4,100
VNY,2/5/2021 00:00:00,8.6,8.6,8.6,8.6,37700
VNY,2/19/2021 00:00:00,9.8,9.8,8.7,8.7,1600
VNY,2/26/2021 00:00:00,9.9,9.9,9.9,9.9,100
VNY,3/5/2021 00:00:00,9.6,9.6,9.6,9.6,5000
VNY,3/12/2021 00:00:00,9.4,9.6,9.4,9.6,23000
VNY,3/26/2021 00:00:00,8.1,9.5,8.1,8.1,1800
VNY,4/2/2021 00:00:00,7.5,7.5,7.5,7.5,4000
VNY,4/9/2021 00:00:00,7,7,7,7,8700
VNY,4/16/2021 00:00:00,7,7,7,7,3000
VNY,4/23/2021 00:00:00,6,6,6,6,3000
VNY,5/28/2021 00:00:00,6.9,6.9,6.9,6.9,6000
VNY,6/4/2021 00:00:00,6.9,6.9,6.9,6.9,100
VNY,7/9/2021 00:00:00,6.6,6.6,6.6,6.6,700
VNY,11/19/2021 00:00:00,6.6,6.6,6.6,6.6,1000
VNY,12/31/2021 00:00:00,5.7,6,5.7,6,35000
VNY,1/7/2022 00:00:00,5.7,5.7,5.7,5.7,100
VNY,1/14/2022 00:00:00,6,6.5,6,6.5,13000
VNY,1/21/2022 00:00:00,6.5,6.5,6.5,6.5,20600
VNY,1/28/2022 00:00:00,6.6,6.6,6,6,1300
VNY,2/11/2022 00:00:00,6,6,6,6,12000
VNY,2/18/2022 00:00:00,6,6,5.6,5.6,5500
VNY,2/25/2022 00:00:00,6,6,6,6,100
VNY,3/4/2022 00:00:00,6,6,5.5,6,35800
VNY,3/11/2022 00:00:00,5.5,6.3,5.5,6.3,26300
VNY,3/18/2022 00:00:00,6,6.5,5.9,5.9,16500
VNY,3/25/2022 00:00:00,6.1,6.1,5.5,6,37800
VNY,4/1/2022 00:00:00,5.8,6.4,5.7,5.7,82500
