Ticker,Date/Time,Open,High,Low,Close,Volume
VVN,10/18/2017 00:00:00,17.4,17.4,17.4,17.4,600
VVN,10/19/2017 00:00:00,17.4,17.4,17.4,17.4,500
VVN,10/26/2017 00:00:00,15,15,15,15,100
VVN,10/31/2017 00:00:00,12.8,12.8,12.8,12.8,100
VVN,11/1/2017 00:00:00,10.9,10.9,10.9,10.9,200
VVN,11/6/2017 00:00:00,9.3,9.3,9.3,9.3,110
VVN,11/7/2017 00:00:00,8,8,8,8,100
VVN,11/8/2017 00:00:00,6.8,6.8,6.8,6.8,100
VVN,11/9/2017 00:00:00,5.8,5.8,5.8,5.8,100
VVN,11/15/2017 00:00:00,5.1,5.1,5.1,5.1,300
VVN,12/8/2017 00:00:00,4.5,4.5,4.5,4.5,2500
VVN,12/11/2017 00:00:00,4,4,4,4,2000
VVN,12/15/2017 00:00:00,4.5,4.5,4.5,4.5,700
VVN,12/20/2017 00:00:00,5.1,5.1,5.1,5.1,100
VVN,12/28/2017 00:00:00,5.8,5.8,5.8,5.8,100
VVN,12/29/2017 00:00:00,6.6,6.6,6.6,6.6,100
VVN,1/2/2018 00:00:00,7,7.4,6.6,7.4,500
VVN,1/3/2018 00:00:00,7.7,7.7,7.7,7.7,100
VVN,1/4/2018 00:00:00,8.4,8.4,8.4,8.4,100
VVN,1/5/2018 00:00:00,8.9,8.9,8.9,8.9,100
VVN,1/8/2018 00:00:00,9.5,9.5,7.6,7.6,400
VVN,1/9/2018 00:00:00,9.8,9.8,7.4,7.4,800
VVN,1/10/2018 00:00:00,8.9,8.9,8.9,8.9,1000
VVN,1/11/2018 00:00:00,10.2,10.2,10.2,10.2,400
VVN,1/17/2018 00:00:00,8.7,8.7,8.7,8.7,100
VVN,1/18/2018 00:00:00,7.4,7.4,7.4,7.4,200
VVN,1/19/2018 00:00:00,6.3,6.3,6.3,6.3,700
VVN,1/22/2018 00:00:00,5.4,5.4,5.4,5.4,2100
VVN,1/23/2018 00:00:00,4.6,4.6,4.6,4.6,1800
VVN,1/24/2018 00:00:00,4,4.5,4,4.5,5300
VVN,1/25/2018 00:00:00,3.9,4,3.9,4,2000
VVN,1/26/2018 00:00:00,4,4.2,4,4.2,7900
VVN,1/29/2018 00:00:00,3.5,3.5,3.4,3.4,1000
VVN,1/30/2018 00:00:00,3.9,3.9,3.9,3.9,100
VVN,1/31/2018 00:00:00,3.6,3.6,3.6,3.6,3300
VVN,2/1/2018 00:00:00,4.1,4.1,4.1,4.1,1000
VVN,2/2/2018 00:00:00,4.7,4.7,4.7,4.7,1300
VVN,2/5/2018 00:00:00,5.4,5.4,4,5,2700
VVN,2/6/2018 00:00:00,4.2,4.5,4.2,4.5,5300
VVN,2/7/2018 00:00:00,4.8,4.8,4.8,4.8,1700
VVN,2/9/2018 00:00:00,5,5,5,5,600
VVN,2/12/2018 00:00:00,5.6,5.6,5.6,5.6,4700
VVN,2/13/2018 00:00:00,5.6,6.3,5.6,6.3,1700
VVN,2/21/2018 00:00:00,5.1,5.1,5.1,5.1,400
VVN,2/22/2018 00:00:00,5,5,4.4,4.4,4900
VVN,2/23/2018 00:00:00,3.9,5.1,3.9,5.1,2900
VVN,2/26/2018 00:00:00,4.2,4.6,4.2,4.6,200
VVN,2/27/2018 00:00:00,5,5,5,5,600
VVN,2/28/2018 00:00:00,4.3,5.1,4.3,5.1,200
VVN,3/2/2018 00:00:00,4,4,4,4,800
VVN,3/5/2018 00:00:00,4.6,4.6,4.6,4.6,200
VVN,3/6/2018 00:00:00,5.2,5.2,5.1,5.1,200
VVN,3/7/2018 00:00:00,5.8,5.8,5.2,5.8,1400
VVN,3/8/2018 00:00:00,6,6,6,6,100
VVN,3/9/2018 00:00:00,6.6,6.6,5.1,5.1,1700
VVN,3/12/2018 00:00:00,5.5,5.5,5.5,5.5,1600
VVN,3/13/2018 00:00:00,6,6,6,6,100
VVN,3/14/2018 00:00:00,5.5,5.5,5.5,5.5,100
VVN,3/15/2018 00:00:00,5.5,5.5,4.7,4.7,1600
VVN,3/20/2018 00:00:00,4.2,4.2,4.1,4.1,1100
VVN,3/21/2018 00:00:00,4,4,4,4,700
VVN,3/22/2018 00:00:00,4,4.6,4,4.6,1400
VVN,3/23/2018 00:00:00,4.8,4.8,4.8,4.8,100
VVN,3/26/2018 00:00:00,5,5,4.2,4.7,4700
VVN,3/27/2018 00:00:00,4.5,5.3,4.2,4.8,2700
VVN,3/28/2018 00:00:00,5.2,5.2,5.2,5.2,100
VVN,3/29/2018 00:00:00,5.5,5.5,5.5,5.5,100
VVN,3/30/2018 00:00:00,6.1,6.1,6.1,6.1,100
VVN,4/2/2018 00:00:00,6.6,6.6,5.3,5.3,600
VVN,4/3/2018 00:00:00,6,6.2,4.9,5.5,1000
VVN,4/4/2018 00:00:00,5.9,6,4.6,6,4000
VVN,4/5/2018 00:00:00,6.3,6.3,5.3,6,900
VVN,4/6/2018 00:00:00,6,6,6,6,100
VVN,4/9/2018 00:00:00,6,6,6,6,300
VVN,4/10/2018 00:00:00,6,6,5.1,5.1,300
VVN,4/11/2018 00:00:00,4.7,5.5,4.7,4.7,700
VVN,4/12/2018 00:00:00,4.3,4.3,4.3,4.3,100
VVN,4/13/2018 00:00:00,4,4.9,4,4.9,400
VVN,4/16/2018 00:00:00,5.1,5.1,5.1,5.1,4700
VVN,4/17/2018 00:00:00,5.8,5.8,5.8,5.8,3500
VVN,4/18/2018 00:00:00,6.6,6.6,5.2,5.5,1100
VVN,4/19/2018 00:00:00,4.7,4.7,4.7,4.7,5700
VVN,4/20/2018 00:00:00,4,4,4,4,200
VVN,4/27/2018 00:00:00,3.5,3.5,3.5,3.5,200
VVN,5/4/2018 00:00:00,3.1,3.4,3,3.4,600
VVN,5/11/2018 00:00:00,3.3,3.5,3.3,3.5,200
VVN,5/25/2018 00:00:00,3.9,3.9,3.9,3.9,300
VVN,6/1/2018 00:00:00,4.4,4.4,4.4,4.4,200
VVN,6/8/2018 00:00:00,4.9,5,4.9,5,600
VVN,6/15/2018 00:00:00,4.2,4.5,4.2,4.5,200
VVN,6/29/2018 00:00:00,3.9,3.9,3.9,3.9,100
VVN,7/13/2018 00:00:00,4.4,4.4,4.4,4.4,200
VVN,7/20/2018 00:00:00,5,5,5,5,100
VVN,7/27/2018 00:00:00,5.7,5.7,5.7,5.7,100
VVN,8/3/2018 00:00:00,6.5,6.5,6.5,6.5,100
VVN,8/10/2018 00:00:00,7.4,7.4,7.4,7.4,100
VVN,8/31/2018 00:00:00,8.5,8.5,6.3,7,300
VVN,9/21/2018 00:00:00,7.3,7.3,7.3,7.3,100
VVN,4/5/2019 00:00:00,4.4,4.4,4.4,4.4,100
VVN,4/12/2019 00:00:00,3.8,3.8,3.8,3.8,300
VVN,5/17/2019 00:00:00,4,4,4,4,100
VVN,8/16/2019 00:00:00,3.5,3.5,3.5,3.5,300
VVN,8/30/2019 00:00:00,3.5,4,3.5,4,4000
VVN,9/6/2019 00:00:00,3.5,3.5,3.5,3.5,200
VVN,9/13/2019 00:00:00,4,4,3.5,3.5,10100
VVN,9/20/2019 00:00:00,3,3,3,3,25300
VVN,9/27/2019 00:00:00,3.4,3.4,3.4,3.4,900
VVN,10/25/2019 00:00:00,3.4,3.4,2.9,2.9,6200
VVN,11/1/2019 00:00:00,3,3.1,3,3.1,400
VVN,11/15/2019 00:00:00,2.7,2.7,2.7,2.7,700
VVN,11/22/2019 00:00:00,2.7,2.7,2.5,2.5,2700
VVN,11/29/2019 00:00:00,2.5,2.5,2.4,2.4,2000
VVN,12/6/2019 00:00:00,2.5,2.5,2.5,2.5,1400
VVN,12/27/2019 00:00:00,2.5,2.5,2.2,2.2,32500
VVN,2/14/2020 00:00:00,1.9,1.9,1.9,1.9,100
VVN,4/3/2020 00:00:00,1.9,1.9,1.9,1.9,100
VVN,4/17/2020 00:00:00,1.9,1.9,1.9,1.9,100
VVN,5/29/2020 00:00:00,2.1,2.1,2.1,2.1,100
VVN,6/5/2020 00:00:00,2.4,2.4,2.4,2.4,100
VVN,6/12/2020 00:00:00,2.7,2.7,2.7,2.7,400
VVN,6/19/2020 00:00:00,3.1,3.1,3.1,3.1,100
VVN,7/3/2020 00:00:00,3.1,3.1,3.1,3.1,1500
VVN,8/21/2020 00:00:00,2.8,2.8,2.8,2.8,700
VVN,8/28/2020 00:00:00,2.7,3.2,2.7,3.2,500
VVN,9/4/2020 00:00:00,3.2,3.2,2.9,3.2,15500
VVN,9/18/2020 00:00:00,3.5,3.5,3.5,3.5,38600
VVN,9/25/2020 00:00:00,3,3,3,3,1000
VVN,10/2/2020 00:00:00,3.4,3.4,3.4,3.4,3800
VVN,10/9/2020 00:00:00,3.4,3.9,2.9,3.4,25100
VVN,10/16/2020 00:00:00,3,3,3,3,700
VVN,10/23/2020 00:00:00,3.4,3.4,2.6,3.4,1600
VVN,10/30/2020 00:00:00,3.6,3.6,3.5,3.6,5400
VVN,11/13/2020 00:00:00,3.5,4.1,3.5,4.1,91300
VVN,11/20/2020 00:00:00,4,4,3.5,3.5,9800
VVN,11/27/2020 00:00:00,3.5,3.6,3.5,3.6,1900
VVN,12/4/2020 00:00:00,3.8,3.8,3.8,3.8,800
VVN,12/11/2020 00:00:00,4.3,4.3,4.3,4.3,600
VVN,12/18/2020 00:00:00,3.7,4.9,3.7,3.7,4400
VVN,12/25/2020 00:00:00,3.5,4.6,3.5,3.7,75400
VVN,1/8/2021 00:00:00,4,4,4,4,122500
VVN,1/15/2021 00:00:00,4.6,4.6,4.6,4.6,22900
VVN,1/22/2021 00:00:00,5,5.2,4,5.2,61700
VVN,1/29/2021 00:00:00,5.1,5.1,5.1,5.1,10800
VVN,2/5/2021 00:00:00,5.1,5.8,5.1,5.8,17700
VVN,2/19/2021 00:00:00,6.6,6.6,6.6,6.6,18300
VVN,2/26/2021 00:00:00,7,7.5,7,7.5,48000
VVN,3/5/2021 00:00:00,8.5,8.5,6.3,8,101500
VVN,3/12/2021 00:00:00,5.7,6.6,5.7,6.6,14900
VVN,3/19/2021 00:00:00,6,6.9,5.1,6.9,61000
VVN,3/26/2021 00:00:00,5.1,6.2,5.1,6.2,25000
VVN,4/2/2021 00:00:00,5.2,6.6,5.2,6.6,17700
VVN,4/9/2021 00:00:00,5.2,6.2,5.2,6,39600
VVN,4/16/2021 00:00:00,5.4,5.4,5.4,5.4,3000
VVN,4/23/2021 00:00:00,5.4,5.4,5.4,5.4,500
VVN,5/7/2021 00:00:00,5.5,5.5,5.5,5.5,500
VVN,5/14/2021 00:00:00,6,6.3,6,6.3,69800
VVN,5/21/2021 00:00:00,6.9,6.9,6.1,6.1,122800
VVN,5/28/2021 00:00:00,6.2,6.4,6.2,6.4,5600
VVN,6/4/2021 00:00:00,7.2,7.2,6,6,18100
VVN,6/18/2021 00:00:00,6,7.1,6,7.1,125900
VVN,6/25/2021 00:00:00,6.9,6.9,6.9,6.9,1000
VVN,7/2/2021 00:00:00,6.9,6.9,6.9,6.9,1100
VVN,7/9/2021 00:00:00,7.9,7.9,7.9,7.9,23700
VVN,7/16/2021 00:00:00,6.8,6.8,6.8,6.8,500
VVN,7/23/2021 00:00:00,6,6,6,6,2600
VVN,7/30/2021 00:00:00,5.4,5.4,5.4,5.4,100
VVN,8/6/2021 00:00:00,5.2,5.2,5.2,5.2,1900
VVN,8/20/2021 00:00:00,4.8,4.8,4.8,4.8,300
VVN,9/10/2021 00:00:00,4.1,4.1,4.1,4.1,100
VVN,10/1/2021 00:00:00,3.8,3.8,3.8,3.8,100
VVN,1/14/2022 00:00:00,4.3,4.3,4.3,4.3,100
VVN,2/11/2022 00:00:00,4.9,4.9,4.9,4.9,100
VVN,3/4/2022 00:00:00,5.6,5.6,5.6,5.6,100
VVN,3/11/2022 00:00:00,6.4,6.4,6.4,6.4,300
VVN,3/18/2022 00:00:00,6.6,6.6,5.8,5.9,600
VVN,3/25/2022 00:00:00,6,6.1,6,6.1,800
VVN,4/1/2022 00:00:00,6.2,7,6,7,4800
